
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
541792.000    39.6688021024   116.3138047571     26.599     -9.408     -0.854   -0.036       1 
541793.000    39.6687130500   116.3137984373     26.581    -10.360     -0.492    0.005       1 
541794.000    39.6686155041   116.3137938879     26.602    -11.267     -0.380    0.032       1 
541795.000    39.6685112629   116.3137903044     26.638    -11.757     -0.278    0.024       1 
541796.000    39.6684060880   116.3137849173     26.665    -11.555     -0.639    0.034       1 
541797.000    39.6683028635   116.3137766071     26.701    -11.408     -0.693    0.068       1 
541798.000    39.6681996590   116.3137694280     26.741    -11.586     -0.585   -0.007       1 
541799.000    39.6680939302   116.3137632658     26.796    -11.826     -0.517    0.051       1 
541800.000    39.6679873210   116.3137578630     26.816    -11.834     -0.433    0.046       1 
541801.000    39.6678807405   116.3137533494     26.841    -11.866     -0.367    0.022       1 
541802.000    39.6677727137   116.3137502471     26.879    -12.176     -0.168    0.064       1 
541803.000    39.6676615365   116.3137495109     26.929    -12.512     -0.054    0.053       1 
541804.000    39.6675475682   116.3137486871     26.963    -12.718     -0.078    0.043       1 
541805.000    39.6674337582   116.3137473703     26.977    -12.557     -0.136   -0.005       1 
541806.000    39.6673205275   116.3137461274     26.960    -12.611     -0.078    0.038       1 
541807.000    39.6672064749   116.3137456092     26.977    -12.657     -0.054   -0.007       1 
541808.000    39.6670929437   116.3137441387     26.960    -12.605     -0.184   -0.013       1 
541809.000    39.6669780603   116.3137411644     26.932    -12.855     -0.288    0.001       1 
541810.000    39.6668626420   116.3137374657     26.881    -12.734     -0.326   -0.088       1 
541811.000    39.6667485841   116.3137334715     26.830    -12.588     -0.335    0.005       1 
541812.000    39.6666359145   116.3137295385     26.813    -12.464     -0.303   -0.034       1 
541813.000    39.6665233412   116.3137263993     26.775    -12.546     -0.260   -0.053       1 
541814.000    39.6664106933   116.3137227147     26.743    -12.447     -0.357   -0.047       1 
541815.000    39.6662992980   116.3137177451     26.693    -12.253     -0.442   -0.049       1 
541816.000    39.6661909632   116.3137128287     26.649    -11.730     -0.405   -0.051       1 
