
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
 23157.000    39.7193244289   116.3384553951     29.745    -12.288     -2.409   -0.084       1 
 23158.000    39.7192148703   116.3384247722     29.629    -12.115     -2.568   -0.104       1 
 23159.000    39.7191059348   116.3383971617     29.575    -12.083     -2.251   -0.030       1 
 23160.000    39.7189961094   116.3383714594     29.547    -12.388     -2.230   -0.042       1 
 23161.000    39.7188819487   116.3383443197     29.523    -12.985     -2.420   -0.026       1 
 23162.000    39.7187625686   116.3383144249     29.497    -13.540     -2.658   -0.013       1 
 23163.000    39.7186379950   116.3382819425     29.493    -14.149     -2.872    0.008       1 
 23164.000    39.7185088713   116.3382476735     29.484    -14.372     -2.940   -0.053       1 
 23165.000    39.7183803078   116.3382152390     29.483    -14.153     -2.678    0.013       1 
 23166.000    39.7182538630   116.3381837196     29.494    -13.939     -2.661    0.032       1 
 23167.000    39.7181291944   116.3381545284     29.547    -13.729     -2.380    0.050       1 
 23168.000    39.7180069189   116.3381267088     29.597    -13.435     -2.382    0.068       1 
 23169.000    39.7178878275   116.3380984107     29.670    -12.992     -2.443    0.071       1 
 23170.000    39.7177737603   116.3380703306     29.745    -12.257     -2.327    0.060       0 
 23171.000    39.7176678600   116.3380449448     29.796    -11.252     -2.018    0.025       1 
 23172.000    39.7175702168   116.3380226614     29.861    -10.512     -1.819    0.075       1 
 23173.000    39.7174778666   116.3380022070     29.910    -10.053     -1.710    0.027       1 
 23174.000    39.7173888086   116.3379823873     29.950     -9.712     -1.705   -0.014       1 
 23175.000    39.7173029729   116.3379626146     29.979     -9.283     -1.671    0.039       1 
 23176.000    39.7172218297   116.3379432803     29.997     -8.742     -1.611   -0.021       1 
 23177.000    39.7171458723   116.3379247693     29.995     -8.058     -1.530   -0.009       1 
 23178.000    39.7170774184   116.3379076299     29.994     -7.186     -1.399   -0.009       1 
 23179.000    39.7170148148   116.3378919172     29.997     -6.744     -1.264    0.046       1 
 23180.000    39.7169576726   116.3378786006     30.038     -5.771     -1.031    0.022       1 
 23181.000    39.7169103664   116.3378674760     30.043     -4.756     -0.850    0.023       1 
 23182.000    39.7168706442   116.3378582623     30.061     -4.271     -0.766   -0.043       1 
 23183.000    39.7168324725   116.3378490770     30.054     -4.239     -0.794    0.012       1 
 23184.000    39.7167944616   116.3378391177     30.062     -4.223     -0.863    0.004       1 
 23185.000    39.7167569501   116.3378287104     30.056     -4.125     -0.869   -0.014       0 
 23186.000    39.7167198171   116.3378181202     30.059     -4.260     -0.940    0.011       0 
 23187.000    39.7166783614   116.3378062887     30.073     -4.987     -1.093   -0.021       0 
 23188.000    39.7166289212   116.3377918946     30.077     -5.969     -1.368    0.019       0 
 23189.000    39.7165708720   116.3377739058     30.083     -6.917     -1.689    0.031       0 
 23190.000    39.7165043397   116.3377515560     30.109     -7.891     -2.053    0.002       1 
 23191.000    39.7164285077   116.3377264088     30.123     -8.954     -2.250    0.096       1 
 23192.000    39.7163426314   116.3376993496     30.129    -10.102     -2.411   -0.085       1 
 23193.000    39.7162459110   116.3376715074     30.092    -11.332     -2.385   -0.053       1 
 23194.000    39.7161385963   116.3376445847     30.112    -12.452     -2.326    0.031       1 
 23195.000    39.7160222361   116.3376154320     30.125    -13.389     -2.706    0.006       1 
 23196.000    39.7158995243   116.3375787430     30.172    -13.785     -3.473    0.053       1 
 23197.000    39.7157742930   116.3375340719     30.204    -14.136     -3.980    0.083       1 
 23198.000    39.7156442906   116.3374868417     30.267    -14.749     -4.138    0.064       1 
 23199.000    39.7155086189   116.3374370519     30.339    -15.378     -4.434    0.136       1 
 23200.000    39.7153686513   116.3373818980     30.505    -15.737     -4.969    0.187       1 
 23201.000    39.7152256002   116.3373205485     30.692    -16.004     -5.456    0.208       1 
 23202.000    39.7150826421   116.3372542437     30.893    -15.706     -5.822    0.194       1 
 23203.000    39.7149423791   116.3371840733     31.099    -15.571     -6.160    0.215       1 
 23204.000    39.7148010718   116.3371098073     31.334    -15.848     -6.531    0.246       1 
 23205.000    39.7146568747   116.3370307282     31.600    -16.217     -7.005    0.279       1 
 23206.000    39.7145099645   116.3369450033     31.903    -16.446     -7.625    0.357       1 
 23207.000    39.7143609512   116.3368523669     32.244    -16.687     -8.167    0.336       1 
 23208.000    39.7142103278   116.3367543417     32.602    -16.720     -8.573    0.379       1 
 23209.000    39.7140606452   116.3366513777     32.989    -16.573     -9.042    0.412       1 
 23210.000    39.7139122815   116.3365429071     33.392    -16.407     -9.470    0.435       1 
 23211.000    39.7137656107   116.3364304517     33.828    -16.190     -9.759    0.426       1 
 23212.000    39.7136204205   116.3363146187     34.247    -16.085    -10.065    0.432       1 
 23213.000    39.7134763202   116.3361955842     34.695    -15.923    -10.316    0.460       1 
 23214.000    39.7133337017   116.3360733979     35.168    -15.823    -10.630    0.485       1 
 23215.000    39.7131909366   116.3359465684     35.661    -15.915    -11.087    0.493       1 
 23216.000    39.7130483680   116.3358156932     36.147    -15.700    -11.284    0.491       1 
