
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
 23157.000    39.7193289019   116.3384588129     30.043    -12.283     -2.434   -0.093       1 
 23158.000    39.7192192959   116.3384282536     29.930    -12.117     -2.573   -0.111       1 
 23159.000    39.7191104544   116.3384004637     29.874    -12.085     -2.245   -0.031       1 
 23160.000    39.7190006474   116.3383747464     29.844    -12.386     -2.235   -0.042       1 
 23161.000    39.7188864842   116.3383476438     29.817    -12.981     -2.421   -0.018       1 
 23162.000    39.7187670691   116.3383178069     29.792    -13.543     -2.659   -0.022       1 
 23163.000    39.7186424827   116.3382853594     29.788    -14.153     -2.881   -0.007       1 
 23164.000    39.7185133496   116.3382510780     29.782    -14.374     -2.926   -0.047       1 
 23165.000    39.7183848240   116.3382185613     29.781    -14.154     -2.686    0.004       1 
 23166.000    39.7182583832   116.3381870379     29.791    -13.943     -2.649    0.033       1 
 23167.000    39.7181337631   116.3381577461     29.843    -13.743     -2.358    0.036       1 
 23168.000    39.7180114813   116.3381299468     29.892    -13.433     -2.393    0.064       1 
 23169.000    39.7178923596   116.3381017335     29.965    -12.988     -2.446    0.078       1 
 23170.000    39.7177782826   116.3380736537     30.042    -12.250     -2.329    0.072       0 
 23171.000    39.7176723969   116.3380482376     30.093    -11.248     -2.013    0.039       1 
 23172.000    39.7175747877   116.3380258952     30.155    -10.514     -1.818    0.072       1 
 23173.000    39.7174824459   116.3380054037     30.206    -10.049     -1.704    0.039       1 
 23174.000    39.7173933697   116.3379856227     30.246     -9.709     -1.700   -0.003       1 
 23175.000    39.7173075173   116.3379659038     30.274     -9.284     -1.669    0.039       1 
 23176.000    39.7172263515   116.3379465768     30.296     -8.736     -1.614   -0.012       1 
 23177.000    39.7171503763   116.3379280958     30.295     -8.063     -1.532   -0.021       1 
 23178.000    39.7170819156   116.3379109755     30.293     -7.184     -1.400   -0.006       1 
 23179.000    39.7170193429   116.3378952302     30.294     -6.752     -1.264    0.027       1 
 23180.000    39.7169622216   116.3378818631     30.334     -5.769     -1.020    0.033       1 
 23181.000    39.7169149097   116.3378707328     30.341     -4.762     -0.844    0.015       1 
 23182.000    39.7168751982   116.3378615144     30.357     -4.264     -0.771   -0.033       1 
 23183.000    39.7168369897   116.3378523712     30.354     -4.235     -0.803    0.013       1 
 23184.000    39.7167989405   116.3378425499     30.358     -4.222     -0.871    0.002       1 
 23185.000    39.7167614144   116.3378321875     30.350     -4.132     -0.881   -0.037       0 
 23186.000    39.7167242660   116.3378216319     30.353     -4.260     -0.953    0.001       0 
 23187.000    39.7166828188   116.3378098085     30.365     -4.979     -1.100   -0.008       0 
 23188.000    39.7166333594   116.3377954504     30.369     -5.967     -1.367    0.025       0 
 23189.000    39.7165752582   116.3377775534     30.377     -6.918     -1.687    0.029       0 
 23190.000    39.7165087215   116.3377552427     30.400     -7.884     -2.051    0.019       1 
 23191.000    39.7164328941   116.3377300829     30.414     -8.960     -2.258    0.076       1 
 23192.000    39.7163470296   116.3377029335     30.426    -10.099     -2.383   -0.058       1 
 23193.000    39.7162503917   116.3376749237     30.389    -11.337     -2.364   -0.048       1 
 23194.000    39.7161431451   116.3376478614     30.407    -12.451     -2.334    0.029       1 
 23195.000    39.7160267384   116.3376188134     30.421    -13.386     -2.723   -0.000       1 
 23196.000    39.7159038985   116.3375824162     30.465    -13.773     -3.499    0.058       1 
 23197.000    39.7157786089   116.3375378472     30.499    -14.140     -3.973    0.080       1 
 23198.000    39.7156486120   116.3374905857     30.564    -14.752     -4.135    0.059       1 
 23199.000    39.7155129249   116.3374408361     30.635    -15.377     -4.453    0.125       1 
 23200.000    39.7153728893   116.3373858411     30.797    -15.733     -4.981    0.186       1 
 23201.000    39.7152297663   116.3373246117     30.985    -16.002     -5.469    0.201       1 
 23202.000    39.7150867152   116.3372584480     31.188    -15.694     -5.846    0.201       1 
 23203.000    39.7149464006   116.3371883772     31.392    -15.568     -6.161    0.220       1 
 23204.000    39.7148050466   116.3371141938     31.625    -15.844     -6.545    0.242       1 
 23205.000    39.7146607966   116.3370352035     31.890    -16.215     -7.016    0.275       1 
 23206.000    39.7145137972   116.3369496209     32.191    -16.449     -7.633    0.344       1 
 23207.000    39.7143647153   116.3368570729     32.533    -16.681     -8.173    0.345       1 
 23208.000    39.7142140224   116.3367591412     32.891    -16.713     -8.585    0.384       1 
 23209.000    39.7140642428   116.3366563040     33.277    -16.570     -9.055    0.407       1 
