
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
 60320.000    39.9979234796   116.6702164261     16.782      4.878      0.109   -0.012       1 
 60321.000    39.9979688619   116.6702179687     16.773      5.260      0.167    0.002       1 
 60322.000    39.9980192926   116.6702204043     16.787      5.931      0.246    0.015       1 
 60323.000    39.9980745423   116.6702237814     16.821      6.294      0.324    0.031       1 
 60324.000    39.9981324779   116.6702280573     16.863      6.535      0.394    0.044       1 
 60325.000    39.9981914687   116.6702331343     16.897      6.517      0.476    0.032       1 
 60326.000    39.9982499436   116.6702389516     16.936      6.458      0.519    0.023       1 
 60327.000    39.9983079308   116.6702455220     16.971      6.436      0.603    0.032       1 
 60328.000    39.9983662992   116.6702525089     17.007      6.587      0.610    0.033       1 
 60329.000    39.9984273004   116.6702599723     17.046      6.963      0.660    0.039       1 
 60330.000    39.9984908855   116.6702682250     17.094      7.116      0.739    0.031       1 
 60331.000    39.9985549060   116.6702772027     17.146      7.121      0.784    0.047       1 
 60332.000    39.9986192394   116.6702870616     17.192      7.164      0.907    0.058       1 
 60333.000    39.9986836113   116.6702980336     17.233      7.090      0.978    0.029       1 
 60334.000    39.9987465827   116.6703097547     17.277      6.891      1.019    0.047       1 
 60335.000    39.9988076452   116.6703219291     17.330      6.664      1.061    0.047       1 
 60336.000    39.9988665990   116.6703345487     17.380      6.446      1.096    0.049       1 
 60337.000    39.9989242086   116.6703476099     17.425      6.395      1.163    0.044       1 
 60338.000    39.9989830253   116.6703622751     17.463      6.724      1.370    0.024       1 
 60339.000    39.9990447084   116.6703795444     17.493      6.938      1.532    0.022       1 
 60340.000    39.9991083203   116.6703977679     17.533      7.201      1.581    0.049       1 
 60341.000    39.9991731241   116.6704162565     17.589      7.115      1.577    0.060       1 
 60342.000    39.9992363501   116.6704341019     17.644      6.915      1.499    0.062       1 
 60343.000    39.9992983787   116.6704518348     17.697      6.861      1.546    0.051       1 
 60344.000    39.9993615238   116.6704698777     17.766      7.318      1.581    0.050       1 
 60345.000    39.9994287581   116.6704885553     17.843      7.525      1.583    0.087       1 
 60346.000    39.9994963310   116.6705072599     17.918      7.428      1.624    0.067       1 
 60347.000    39.9995626669   116.6705263152     17.982      7.302      1.653    0.059       1 
 60348.000    39.9996275518   116.6705457153     18.042      7.104      1.651    0.053       1 
 60349.000    39.9996902789   116.6705652115     18.101      6.889      1.684    0.032       1 
 60350.000    39.9997531207   116.6705854407     18.152      7.113      1.782    0.068       1 
 60351.000    39.9998181986   116.6706068828     18.210      7.284      1.860    0.065       1 
 60352.000    39.9998854600   116.6706297449     18.280      7.757      2.066    0.068       1 
 60353.000    39.9999568141   116.6706549612     18.332      8.085      2.209    0.055       1 
 60354.000    40.0000314613   116.6706814543     18.397      8.382      2.282    0.079       1 
 60355.000    40.0001075479   116.6707082896     18.464      8.550      2.301    0.075       1 
 60356.000    40.0001870822   116.6707348813     18.523      9.166      2.218    0.055       1 
 60357.000    40.0002730396   116.6707603027     18.592      9.929      2.141    0.077       1 
 60358.000    40.0003658147   116.6707865821     18.653     10.655      2.345    0.070       1 
 60359.000    40.0004645170   116.6708151327     18.733     11.243      2.499    0.070       1 
 60360.000    40.0005681477   116.6708450435     18.789     11.769      2.594    0.075       1 
 60361.000    40.0006747253   116.6708745615     18.852     11.863      2.456    0.050       1 
 60362.000    40.0007827946   116.6709027487     18.888     12.162      2.395    0.032       1 
 60363.000    40.0008929242   116.6709300402     18.923     12.254      2.263    0.045       1 
 60364.000    40.0010039261   116.6709551554     18.952     12.365      2.016    0.019       1 
 60365.000    40.0011165590   116.6709773848     18.976     12.728      1.795    0.022       1 
 60366.000    40.0012327159   116.6709980171     18.991     12.954      1.710    0.022       1 
 60367.000    40.0013485912   116.6710170527     19.016     12.795      1.523    0.013       1 
 60368.000    40.0014640573   116.6710340423     19.020     12.927      1.379   -0.006       1 
 60369.000    40.0015812819   116.6710490232     19.018     13.119      1.165   -0.016       1 
 60370.000    40.0017011084   116.6710621435     19.009     13.477      1.109    0.001       1 
 60371.000    40.0018243909   116.6710753282     18.990     13.915      1.150   -0.005       1 
 60372.000    40.0019519497   116.6710889069     18.966     14.402      1.149   -0.027       1 
 60373.000    40.0020829023   116.6711020287     18.930     14.612      1.078   -0.062       1 
 60374.000    40.0022142757   116.6711141827     18.892     14.605      0.989   -0.035       1 
 60375.000    40.0023468925   116.6711254094     18.877     14.903      0.910    0.003       1 
 60376.000    40.0024830088   116.6711360168     18.883     15.285      0.935   -0.021       1 
 60377.000    40.0026205768   116.6711490019     18.857     15.251      1.262   -0.029       1 
 60378.000    40.0027583329   116.6711657782     18.837     15.394      1.603    0.005       1 
 60379.000    40.0028985759   116.6711860742     18.834     15.751      1.842   -0.023       1 
 60380.000    40.0030423014   116.6712088131     18.811     16.141      2.057   -0.003       1 
 60381.000    40.0031889992   116.6712344406     18.821     16.407      2.341    0.011       1 
 60382.000    40.0033378410   116.6712638842     18.827     16.606      2.661    0.034       1 
 60383.000    40.0034874317   116.6712972244     18.847     16.596      3.030   -0.003       1 
 60384.000    40.0036369442   116.6713345777     18.858     16.598      3.341    0.024       1 
 60385.000    40.0037863786   116.6713756416     18.878     16.631      3.648    0.061       1 
 60386.000    40.0039370114   116.6714199531     18.944     16.822      3.947    0.062       1 
 60387.000    40.0040890584   116.6714678812     19.013     16.928      4.289    0.077       1 
 60388.000    40.0042417288   116.6715211285     19.070     16.960      4.772    0.036       1 
 60389.000    40.0043944229   116.6715783543     19.121     16.998      4.979    0.042       1 
 60390.000    40.0045484396   116.6716375901     19.172     17.232      5.120    0.067       1 
 60391.000    40.0047042883   116.6716982084     19.227     17.344      5.230    0.057       1 
 60392.000    40.0048612208   116.6717598250     19.259     17.511      5.299    0.020       1 
 60393.000    40.0050190432   116.6718218236     19.297     17.498      5.296    0.069       1 
 60394.000    40.0051760433   116.6718835167     19.376     17.366      5.225    0.036       1 
 60395.000    40.0053317979   116.6719448333     19.433     17.240      5.249    0.086       1 
 60396.000    40.0054862919   116.6720058173     19.504     17.023      5.168    0.068       1 
 60397.000    40.0056379917   116.6720657361     19.562     16.720      5.087    0.047       1 
 60398.000    40.0057893981   116.6721257025     19.616     16.950      5.182    0.061       1 
 60399.000    40.0059432707   116.6721869155     19.674     17.210      5.254    0.045       1 
 60400.000    40.0060993203   116.6722487562     19.717     17.473      5.300    0.040       1 
 60401.000    40.0062581369   116.6723110768     19.784     17.738      5.316    0.076       1 
 60402.000    40.0064180899   116.6723731567     19.837     17.791      5.285    0.046       1 
 60403.000    40.0065780950   116.6724355807     19.896     17.659      5.372    0.070       1 
 60404.000    40.0067352125   116.6724982906     19.960     17.225      5.315    0.071       1 
 60405.000    40.0068885190   116.6725596005     20.016     16.819      5.161    0.064       1 
 60406.000    40.0070380517   116.6726192751     20.071     16.397      5.018    0.072       1 
 60407.000    40.0071838680   116.6726773592     20.116     15.984      4.862    0.051       1 
 60408.000    40.0073260612   116.6727335179     20.166     15.581      4.714    0.055       1 
 60409.000    40.0074646072   116.6727878522     20.225     15.184      4.576    0.052       1 
 60410.000    40.0075998105   116.6728407544     20.277     14.823      4.466    0.048       1 
 60411.000    40.0077313236   116.6728923148     20.329     14.362      4.325    0.051       1 
 60412.000    40.0078579508   116.6729420511     20.369     13.669      4.135    0.050       1 
 60413.000    40.0079771586   116.6729887945     20.421     12.783      3.839    0.067       1 
 60414.000    40.0080879298   116.6730320465     20.480     11.760      3.512    0.056       1 
 60415.000    40.0081883387   116.6730706426     20.530     10.542      3.067    0.037       1 
 60416.000    40.0082778071   116.6731040705     20.563      9.317      2.632    0.043       1 
 60417.000    40.0083563182   116.6731325010     20.603      8.109      2.220    0.051       1 
 60418.000    40.0084238899   116.6731562150     20.638      6.864      1.841    0.043       1 
 60419.000    40.0084799941   116.6731755413     20.671      5.574      1.464    0.046       1 
 60420.000    40.0085245139   116.6731906656     20.694      4.296      1.109    0.021       1 
 60421.000    40.0085574079   116.6732017733     20.709      3.023      0.771    0.014       1 
 60422.000    40.0085788808   116.6732090007     20.716      1.780      0.458    0.011       1 
 60423.000    40.0085915294   116.6732132416     20.722      1.134      0.288   -0.001       1 
 60424.000    40.0085996975   116.6732159933     20.726      0.707      0.184    0.009       1 
 60425.000    40.0086048918   116.6732177328     20.729      0.461      0.121    0.004       1 
 60426.000    40.0086076361   116.6732186493     20.733      0.099      0.024    0.003       1 
 60427.000    40.0086077275   116.6732186865     20.735     -0.000     -0.000    0.002       1 
 60428.000    40.0086077233   116.6732186923     20.736      0.000      0.001    0.002       1 
 60429.000    40.0086077212   116.6732186950     20.738     -0.000      0.002    0.001       1 
 60430.000    40.0086077213   116.6732186942     20.739      0.001     -0.001    0.001       1 
 60431.000    40.0086077244   116.6732186974     20.739      0.001      0.000    0.002       1 
 60432.000    40.0086077255   116.6732187025     20.739      0.001      0.002   -0.004       1 
 60433.000    40.0086077207   116.6732187037     20.739     -0.003     -0.002    0.005       1 
 60434.000    40.0086077783   116.6732187202     20.738      0.076      0.013   -0.002       1 
 60435.000    40.0086100603   116.6732194629     20.739      0.437      0.113   -0.001       1 
