
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
 60320.000    39.9979185932   116.6702141270     17.079      4.879      0.103   -0.014       1 
 60321.000    39.9979639861   116.6702156372     17.071      5.261      0.159   -0.002       1 
 60322.000    39.9980144193   116.6702180381     17.083      5.930      0.247    0.013       1 
 60323.000    39.9980696839   116.6702213647     17.117      6.293      0.326    0.031       1 
 60324.000    39.9981276385   116.6702255825     17.159      6.534      0.391    0.041       1 
 60325.000    39.9981866554   116.6702305924     17.195      6.519      0.470    0.030       1 
 60326.000    39.9982451486   116.6702363450     17.233      6.460      0.515    0.023       1 
 60327.000    39.9983031584   116.6702428581     17.269      6.438      0.601    0.035       1 
 60328.000    39.9983615271   116.6702498340     17.304      6.589      0.606    0.035       1 
 60329.000    39.9984225353   116.6702572588     17.342      6.968      0.648    0.041       1 
 60330.000    39.9984861341   116.6702654814     17.391      7.119      0.740    0.039       1 
 60331.000    39.9985501756   116.6702744081     17.443      7.124      0.780    0.049       1 
 60332.000    39.9986145312   116.6702841899     17.488      7.166      0.904    0.061       1 
 60333.000    39.9986789366   116.6702950853     17.531      7.095      0.968    0.031       1 
 60334.000    39.9987419282   116.6703067545     17.575      6.897      1.004    0.048       1 
 60335.000    39.9988030122   116.6703188703     17.627      6.668      1.054    0.049       1 
 60336.000    39.9988619901   116.6703314375     17.678      6.450      1.094    0.054       1 
 60337.000    39.9989196224   116.6703444417     17.723      6.399      1.154    0.046       1 
 60338.000    39.9989784918   116.6703589829     17.761      6.732      1.358    0.031       1 
 60339.000    39.9990402354   116.6703761266     17.792      6.939      1.530    0.022       1 
 60340.000    39.9991038456   116.6703943371     17.830      7.201      1.577    0.045       1 
 60341.000    39.9991686445   116.6704128310     17.886      7.118      1.568    0.060       1 
 60342.000    39.9992318710   116.6704306727     17.941      6.916      1.498    0.063       1 
 60343.000    39.9992939062   116.6704483819     17.993      6.860      1.543    0.046       1 
 60344.000    39.9993570344   116.6704664265     18.059      7.322      1.579    0.057       1 
 60345.000    39.9994242632   116.6704851138     18.136      7.522      1.580    0.078       1 
 60346.000    39.9994918486   116.6705037964     18.211      7.429      1.626    0.070       1 
 60347.000    39.9995582128   116.6705227946     18.275      7.302      1.646    0.054       1 
 60348.000    39.9996231232   116.6705421282     18.334      7.105      1.655    0.061       1 
 60349.000    39.9996858814   116.6705615675     18.394      6.891      1.686    0.038       1 
 60350.000    39.9997487367   116.6705817584     18.444      7.114      1.773    0.062       1 
 60351.000    39.9998138313   116.6706031641     18.502      7.280      1.856    0.052       1 
 60352.000    39.9998811156   116.6706259602     18.570      7.756      2.072    0.071       1 
 60353.000    39.9999524958   116.6706511315     18.622      8.082      2.210    0.048       1 
 60354.000    40.0000271456   116.6706776113     18.686      8.379      2.278    0.070       1 
 60355.000    40.0001032318   116.6707044451     18.753      8.551      2.298    0.075       1 
 60356.000    40.0001827004   116.6707311577     18.811      9.158      2.242    0.056       1 
 60357.000    40.0002685846   116.6707567183     18.880      9.922      2.154    0.071       1 
 60358.000    40.0003613731   116.6707829570     18.940     10.658      2.342    0.075       1 
 60359.000    40.0004600911   116.6708114559     19.017     11.242      2.493    0.063       1 
 60360.000    40.0005637205   116.6708413589     19.073     11.764      2.599    0.068       1 
 60361.000    40.0006702707   116.6708709289     19.136     11.863      2.459    0.053       1 
 60362.000    40.0007783183   116.6708991728     19.173     12.161      2.398    0.031       1 
 60363.000    40.0008884177   116.6709265242     19.207     12.252      2.270    0.047       1 
 60364.000    40.0009993728   116.6709517609     19.238     12.360      2.030    0.018       1 
 60365.000    40.0011119476   116.6709741130     19.260     12.723      1.811    0.025       1 
 60366.000    40.0012280787   116.6709948218     19.277     12.952      1.718    0.023       1 
 60367.000    40.0013439284   116.6710139377     19.303     12.792      1.536    0.015       1 
 60368.000    40.0014593607   116.6710310193     19.307     12.926      1.389    0.001       1 
 60369.000    40.0015765478   116.6710461341     19.308     13.116      1.177   -0.013       1 
 60370.000    40.0016963532   116.6710593133     19.299     13.478      1.101   -0.005       1 
 60371.000    40.0018196320   116.6710725192     19.281     13.916      1.147   -0.005       1 
 60372.000    40.0019471871   116.6710861356     19.258     14.399      1.149   -0.032       1 
 60373.000    40.0020781295   116.6710993260     19.225     14.617      1.090   -0.040       1 
 60374.000    40.0022094908   116.6711115304     19.188     14.605      0.990   -0.035       1 
 60375.000    40.0023420885   116.6711227954     19.172     14.899      0.914   -0.002       1 
 60376.000    40.0024782080   116.6711334099     19.179     15.289      0.927   -0.019       1 
 60377.000    40.0026158169   116.6711462831     19.154     15.254      1.251   -0.031       1 
 60378.000    40.0027536069   116.6711629497     19.133     15.398      1.589    0.003       1 
 60379.000    40.0028938804   116.6711831836     19.131     15.749      1.839   -0.031       1 
 60380.000    40.0030376232   116.6712058778     19.108     16.144      2.040   -0.009       1 
 60381.000    40.0031843565   116.6712314160     19.119     16.413      2.320    0.008       1 
 60382.000    40.0033332387   116.6712607605     19.125     16.605      2.644    0.021       1 
 60383.000    40.0034828824   116.6712939936     19.147     16.596      3.031   -0.003       1 
 60384.000    40.0036324413   116.6713312426     19.158     16.597      3.334    0.017       1 
 60385.000    40.0037819092   116.6713722111     19.176     16.632      3.638    0.057       1 
 60386.000    40.0039325856   116.6714164026     19.240     16.825      3.929    0.055       1 
 60387.000    40.0040846866   116.6714642013     19.307     16.932      4.276    0.074       1 
 60388.000    40.0042374417   116.6715172892     19.365     16.969      4.757    0.044       1 
 60389.000    40.0043901760   116.6715744339     19.415     16.998      4.976    0.039       1 
 60390.000    40.0045442009   116.6716336450     19.466     17.233      5.112    0.063       1 
 60391.000    40.0047000606   116.6716942484     19.522     17.345      5.224    0.053       1 
 60392.000    40.0048570002   116.6717558536     19.553     17.516      5.302    0.032       1 
 60393.000    40.0050148217   116.6718178487     19.591     17.497      5.296    0.066       1 
 60394.000    40.0051718265   116.6718795392     19.670     17.368      5.227    0.042       1 
 60395.000    40.0053275709   116.6719408687     19.727     17.239      5.251    0.085       1 
 60396.000    40.0054820722   116.6720018478     19.799     17.023      5.167    0.067       1 
 60397.000    40.0056337739   116.6720617674     19.857     16.719      5.089    0.047       1 
 60398.000    40.0057851823   116.6721217138     19.909     16.953      5.173    0.061       1 
 60399.000    40.0059390589   116.6721829235     19.968     17.213      5.246    0.045       1 
 60400.000    40.0060951053   116.6722447686     20.011     17.474      5.294    0.037       1 
 60401.000    40.0062539049   116.6723071125     20.077     17.738      5.319    0.078       1 
 60402.000    40.0064138553   116.6723692070     20.131     17.790      5.289    0.047       1 
 60403.000    40.0065738796   116.6724315944     20.190     17.659      5.371    0.069       1 
 60404.000    40.0067310127   116.6724942865     20.255     17.225      5.309    0.068       1 
 60405.000    40.0068843148   116.6725556041     20.310     16.819      5.166    0.068       1 
 60406.000    40.0070338470   116.6726152817     20.366     16.398      5.015    0.072       1 
 60407.000    40.0071796639   116.6726733719     20.412     15.976      4.872    0.042       1 
 60408.000    40.0073218466   116.6727295462     20.461     15.581      4.710    0.052       1 
 60409.000    40.0074603840   116.6727838858     20.519     15.184      4.579    0.056       1 
 60410.000    40.0075955924   116.6728367896     20.572     14.820      4.470    0.043       1 
 60411.000    40.0077271076   116.6728883492     20.625     14.359      4.329    0.047       1 
 60412.000    40.0078537381   116.6729380815     20.665     13.667      4.130    0.042       1 
 60413.000    40.0079729460   116.6729848141     20.716     12.780      3.836    0.059       1 
 60414.000    40.0080837188   116.6730280608     20.775     11.763      3.512    0.063       1 
 60415.000    40.0081841197   116.6730666660     20.824     10.545      3.064    0.040       1 
