GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
125724.000    39.9429026384   116.7250412657     14.264      3.126      6.215   -0.080       1 
125725.000    39.9429303887   116.7251141034     14.210      3.120      6.323   -0.042       1 
125726.000    39.9429594090   116.7251914622     14.169      3.270      6.759   -0.037       1 
125727.000    39.9429885076   116.7252698404     14.193      3.166      6.643    0.018       1 
125728.000    39.9430166915   116.7253466623     14.184      3.123      6.542   -0.022       1 
125729.000    39.9430461629   116.7254263539     14.162      3.491      7.161   -0.020       1 
125730.000    39.9430798413   116.7255140877     14.194      3.962      7.811    0.030       1 
125731.000    39.9431171181   116.7256084198     14.221      4.299      8.264    0.019       1 
125732.000    39.9431573252   116.7257082750     14.224      4.608      8.792   -0.008       1 
125733.000    39.9431990705   116.7258115859     14.226      4.618      8.808    0.024       1 
125734.000    39.9432400243   116.7259139433     14.254      4.474      8.651    0.028       1 
125735.000    39.9432796935   116.7260141593     14.228      4.313      8.481    0.035       1 
125736.000    39.9433190589   116.7261146509     14.217      4.484      8.810   -0.022       1 
125737.000    39.9433596738   116.7262194261     14.202      4.498      8.948   -0.010       1 
125738.000    39.9433990841   116.7263233497     14.214      4.256      8.804    0.013       1 
125739.000    39.9434355873   116.7264257288     14.225      3.869      8.709    0.022       1 
125740.000    39.9434681842   116.7265268891     14.236      3.411      8.575   -0.001       1 
125741.000    39.9434961052   116.7266250386     14.240      2.841      8.200   -0.007       1 
125742.000    39.9435178794   116.7267167567     14.243      2.070      7.531   -0.020       1 
125743.000    39.9435329139   116.7268002400     14.240      1.427      6.844   -0.006       1 
125744.000    39.9435434956   116.7268769424     14.236      1.034      6.306   -0.020       1 
125745.000    39.9435521125   116.7269439899     14.224      0.888      5.112   -0.013       1 
125746.000    39.9435594567   116.7269963850     14.215      0.716      3.842   -0.023       1 
125747.000    39.9435648408   116.7270338910     14.210      0.472      2.575   -0.010       1 
125748.000    39.9435680740   116.7270570996     14.207      0.277      1.543    0.007       1 
125749.000    39.9435701585   116.7270725821     14.206      0.203      1.145    0.003       1 
125750.000    39.9435718137   116.7270850903     14.205      0.177      1.027    0.000       1 
125751.000    39.9435732494   116.7270960294     14.207      0.136      0.794    0.000       1 
125752.000    39.9435742696   116.7271038914     14.208      0.099      0.568   -0.001       1 
125753.000    39.9435749847   116.7271093951     14.207      0.063      0.354   -0.003       1 
125754.000    39.9435752869   116.7271116378     14.206      0.007      0.034   -0.002       1 
125755.000    39.9435753006   116.7271116317     14.204     -0.000     -0.004    0.001       1 
125756.000    39.9435753104   116.7271116155     14.203      0.000     -0.006    0.001       1 
125757.000    39.9435753141   116.7271116006     14.201     -0.001     -0.000   -0.001       1 
125758.000    39.9435753138   116.7271115889     14.200     -0.001     -0.002    0.001       1 
125759.000    39.9435753117   116.7271115819     14.200      0.002      0.001   -0.005       1 
125760.000    39.9435753090   116.7271115823     14.200      0.000     -0.000   -0.000       1 
125761.000    39.9435753066   116.7271115850     14.200      0.000     -0.003   -0.002       1 
125762.000    39.9435753072   116.7271115829     14.200     -0.000     -0.002    0.002       1 
125763.000    39.9435753101   116.7271115759     14.200      0.001     -0.002   -0.002       1 
125764.000    39.9435753135   116.7271115665     14.200      0.000     -0.002    0.002       1 
125765.000    39.9435753148   116.7271115605     14.201     -0.000     -0.000    0.001       1 
125766.000    39.9435753125   116.7271115684     14.202     -0.001      0.001    0.001       1 
125767.000    39.9435753043   116.7271115892     14.204     -0.001     -0.000    0.004       1 
125768.000    39.9435753586   116.7271121377     14.206      0.010      0.073    0.003       1 
125769.000    39.9435755201   116.7271135356     14.209      0.046      0.281    0.002       1 
125770.000    39.9435762260   116.7271191282     14.212      0.112      0.675    0.003       1 
125771.000    39.9435774514   116.7271289885     14.215      0.167      0.994   -0.004       1 
125772.000    39.9435790753   116.7271421695     14.217      0.207      1.310    0.009       1 
125773.000    39.9435815030   116.7271622546     14.221      0.342      2.180    0.015       1 
125774.000    39.9435850305   116.7271926865     14.228      0.416      2.748    0.008       1 
125775.000    39.9435885330   116.7272245032     14.232      0.378      2.665    0.001       1 
125776.000    39.9435916641   116.7272543391     14.240      0.346      2.483    0.017       1 
125777.000    39.9435944740   116.7272834689     14.242      0.334      2.594    0.031       1 
125778.000    39.9435979606   116.7273212100     14.245      0.464      3.755   -0.002       1 
