GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
136770.000    40.0232331707   116.8031824710     23.318     -6.514      0.329   -0.047       1 
136771.000    40.0231732299   116.8031858609     23.288     -6.871      0.268   -0.026       1 
136772.000    40.0231084233   116.8031891616     23.274     -7.681      0.283    0.005       1 
136773.000    40.0230345636   116.8031927029     23.271     -8.687      0.307   -0.036       1 
136774.000    40.0229534792   116.8031963918     23.250     -9.165      0.323    0.018       1 
136775.000    40.0228708925   116.8032004211     23.275     -9.255      0.351    0.035       1 
136776.000    40.0227863960   116.8032050102     23.299     -9.431      0.407    0.017       1 
136777.000    40.0227011094   116.8032102571     23.269     -9.561      0.446   -0.025       1 
136778.000    40.0226132370   116.8032157944     23.259     -9.964      0.484    0.008       1 
136779.000    40.0225216116   116.8032215559     23.259    -10.406      0.499   -0.017       1 
136780.000    40.0224257327   116.8032274963     23.254    -10.886      0.512    0.012       1 
136781.000    40.0223255710   116.8032335730     23.243    -11.351      0.514   -0.039       1 
136782.000    40.0222214475   116.8032394550     23.245    -11.747      0.510   -0.018       1 
136783.000    40.0221143013   116.8032452685     23.216    -11.947      0.495   -0.061       1 
136784.000    40.0220061705   116.8032509477     23.178    -12.148      0.491    0.012       1 
136785.000    40.0218949014   116.8032568147     23.151    -12.477      0.511   -0.044       1 
136786.000    40.0217830023   116.8032627695     23.126    -12.348      0.496   -0.040       1 
136787.000    40.0216717577   116.8032688083     23.068    -12.362      0.519   -0.003       1 
136788.000    40.0215597443   116.8032747760     23.033    -12.518      0.503   -0.066       1 
136789.000    40.0214458933   116.8032805063     22.972    -12.755      0.510    0.060       1 
136790.000    40.0213314906   116.8032864368     22.950    -12.640      0.519   -0.060       1 
136791.000    40.0212184021   116.8032921783     22.866    -12.478      0.487   -0.079       1 
136792.000    40.0211069980   116.8032978150     22.856    -12.245      0.479   -0.099       1 
136793.000    40.0209973064   116.8033037444     22.785    -12.087      0.508   -0.072       1 
136794.000    40.0208892544   116.8033097965     22.748    -11.913      0.529    0.027       1 
136795.000    40.0207829855   116.8033162043     22.732    -11.698      0.554   -0.050       1 
136796.000    40.0206784299   116.8033226928     22.684    -11.524      0.544   -0.054       1 
136797.000    40.0205749268   116.8033290166     22.638    -11.566      0.554   -0.025       1 
136798.000    40.0204687167   116.8033356041     22.606    -12.042      0.579   -0.016       1 
136799.000    40.0203579356   116.8033423586     22.566    -12.573      0.553   -0.039       1 
136800.000    40.0202435958   116.8033487542     22.527    -12.697      0.555   -0.025       1 
136801.000    40.0201280270   116.8033551551     22.482    -13.012      0.531   -0.041       1 
136802.000    40.0200109637   116.8033615901     22.441    -12.905      0.529   -0.080       1 
136803.000    40.0198954782   116.8033684031     22.398    -12.709      0.604   -0.051       1 
136804.000    40.0197820993   116.8033757920     22.355    -12.445      0.629   -0.058       1 
136805.000    40.0196712716   116.8033834651     22.309    -12.146      0.634   -0.023       1 
136806.000    40.0195633258   116.8033906901     22.275    -11.820      0.602   -0.015       1 
136807.000    40.0194581051   116.8033969345     22.270    -11.587      0.493   -0.023       1 
