GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
136770.000    40.0232381833   116.8031842720     23.615     -6.515      0.329   -0.050       1 
136771.000    40.0231782323   116.8031876980     23.585     -6.869      0.266   -0.023       1 
136772.000    40.0231134399   116.8031909958     23.568     -7.684      0.281   -0.001       1 
136773.000    40.0230395765   116.8031945419     23.566     -8.687      0.316   -0.028       1 
136774.000    40.0229584877   116.8031982126     23.546     -9.170      0.328    0.010       1 
136775.000    40.0228759127   116.8032022255     23.570     -9.256      0.355    0.036       1 
136776.000    40.0227914164   116.8032067550     23.596     -9.437      0.420    0.012       1 
136777.000    40.0227061211   116.8032120209     23.567     -9.561      0.445   -0.024       1 
136778.000    40.0226182589   116.8032175460     23.555     -9.967      0.485    0.001       1 
136779.000    40.0225266339   116.8032233021     23.555    -10.405      0.500   -0.015       1 
136780.000    40.0224307569   116.8032292432     23.550    -10.887      0.509    0.009       1 
136781.000    40.0223305907   116.8032353530     23.539    -11.346      0.513   -0.027       1 
136782.000    40.0222264620   116.8032412223     23.542    -11.740      0.511   -0.003       1 
136783.000    40.0221192986   116.8032470513     23.516    -11.940      0.487   -0.052       1 
136784.000    40.0220111803   116.8032527477     23.475    -12.147      0.489    0.011       1 
136785.000    40.0218999011   116.8032586291     23.449    -12.473      0.516   -0.031       1 
136786.000    40.0217880113   116.8032645726     23.422    -12.341      0.498   -0.024       1 
136787.000    40.0216767664   116.8032706030     23.366    -12.360      0.497   -0.017       1 
136788.000    40.0215647424   116.8032766006     23.331    -12.507      0.504   -0.042       1 
136789.000    40.0214509095   116.8032823231     23.267    -12.760      0.494    0.037       1 
136790.000    40.0213364809   116.8032882571     23.250    -12.637      0.494   -0.072       1 
136791.000    40.0212233826   116.8032940119     23.167    -12.479      0.481   -0.085       1 
136792.000    40.0211119848   116.8032996049     23.158    -12.233      0.480   -0.073       1 
136793.000    40.0210023029   116.8033055143     23.086    -12.081      0.512   -0.055       1 
136794.000    40.0208942671   116.8033115549     23.046    -11.921      0.523    0.004       1 
136795.000    40.0207879940   116.8033179464     23.032    -11.698      0.553   -0.049       1 
136796.000    40.0206834366   116.8033244335     22.984    -11.527      0.554   -0.054       1 
136797.000    40.0205799398   116.8033307612     22.937    -11.566      0.540   -0.035       1 
136798.000    40.0204737384   116.8033373436     22.903    -12.045      0.577   -0.023       1 
136799.000    40.0203629481   116.8033441314     22.863    -12.573      0.553   -0.040       1 
136800.000    40.0202486015   116.8033505351     22.826    -12.694      0.554   -0.020       1 
136801.000    40.0201330301   116.8033569365     22.782    -13.019      0.546   -0.044       1 
136802.000    40.0200159621   116.8033633839     22.740    -12.906      0.562   -0.058       1 
136803.000    40.0199004841   116.8033701638     22.697    -12.708      0.609   -0.045       1 
136804.000    40.0197871062   116.8033775142     22.656    -12.445      0.640   -0.051       1 
136805.000    40.0196762885   116.8033852135     22.606    -12.139      0.627   -0.014       1 
136806.000    40.0195683375   116.8033924517     22.573    -11.820      0.601   -0.017       1 
136807.000    40.0194631042   116.8033987409     22.569    -11.585      0.482   -0.029       1 
136808.000    40.0193596185   116.8034032622     22.530    -11.427      0.295   -0.058       1 
136809.000    40.0192575643   116.8034062959     22.494    -11.306      0.276   -0.030       1 
136810.000    40.0191561613   116.8034099944     22.458    -11.186      0.333   -0.050       1 
136811.000    40.0190562086   116.8034137675     22.426    -11.000      0.312    0.011       1 
136812.000    40.0189583800   116.8034177665     22.407    -10.726      0.386   -0.046       1 
136813.000    40.0188625948   116.8034230583     22.386    -10.527      0.508   -0.025       1 
136814.000    40.0187686237   116.8034290478     22.369    -10.347      0.479   -0.012       1 
136815.000    40.0186761247   116.8034348878     22.348    -10.179      0.509   -0.006       1 
