
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
450670.000    30.4888589105   114.5587749170     27.227    3.20758436    2.71253921   99.13324829 
450671.000    30.4888483121   114.5588620461     27.308    3.36701264    2.51092916   98.91886596 
450672.000    30.4888378313   114.5589518297     27.434    3.42949024    2.56237081   98.71591662 
450673.000    30.4888274142   114.5590425578     27.552    3.47025453    2.31492966   98.62008962 
450674.000    30.4888167400   114.5591342976     27.656    3.47129923    2.51046454   98.84690992 
450675.000    30.4888051736   114.5592268594     27.761    3.65931946    2.56771907   99.37342197 
450676.000    30.4887924971   114.5593207805     27.864    3.59525039    2.55603671  100.01399224 
450677.000    30.4887786041   114.5594165502     27.972    3.57213734    2.65832317  100.59019540 
450678.000    30.4887637111   114.5595141423     28.061    3.79923099    2.52371219  100.85850191 
450679.000    30.4887486144   114.5596137130     28.148    4.15682322    2.48956720  100.63562277 
450680.000    30.4887333589   114.5597153886     28.216    4.15591131    2.43972060  100.56507099 
450681.000    30.4887182298   114.5598186339     28.256    4.06714062    2.04952270  100.25276875 
450682.000    30.4887034329   114.5599226230     28.303    4.04403752    2.19456630   99.95558303 
450683.000    30.4886888066   114.5600274403     28.326    4.02765228    1.80822619   99.74403050 
450684.000    30.4886742648   114.5601331199     28.372    3.99181687    2.02255892   99.63521658 
450685.000    30.4886595639   114.5602399523     28.401    3.93068064    2.21460851   99.65146718 
450686.000    30.4886444022   114.5603487985     28.424    4.04206396    2.15822304   99.70253171 
450687.000    30.4886287596   114.5604596717     28.442    4.05511831    1.96662131   99.78212198 
450688.000    30.4886126456   114.5605722873     28.485    4.28439686    2.14426203   99.85287408 
450689.000    30.4885962973   114.5606862584     28.527    4.10453199    1.96915607   99.88289495 
450690.000    30.4885797951   114.5608009610     28.554    4.33363515    1.91668623   99.86067110 
450691.000    30.4885630678   114.5609163328     28.584    4.14612615    2.03933056   99.90447415 
450692.000    30.4885463080   114.5610312426     28.620    4.14736856    2.00177233   99.92881986 
450693.000    30.4885296020   114.5611452009     28.659    4.23000506    2.07993145   99.81665640 
450694.000    30.4885132718   114.5612589699     28.696    4.24654150    2.08989835   99.50841641 
450695.000    30.4884972189   114.5613730828     28.733    4.29503309    2.12994425   99.36330294 
450696.000    30.4884811553   114.5614878986     28.762    4.18175655    2.15564738   99.30821103 
450697.000    30.4884648734   114.5616040592     28.798    4.28699567    2.11070352   99.28420931 
450698.000    30.4884483471   114.5617218720     28.834    4.12937139    2.23510537   99.25664768 
450699.000    30.4884315248   114.5618413335     28.862    4.02599799    2.10531371   99.20143567 
450700.000    30.4884144608   114.5619623472     28.904    4.23829683    2.26183079   99.20582717 
450701.000    30.4883971940   114.5620847545     28.947    4.34043708    2.25622694   99.19377120 
450702.000    30.4883798174   114.5622077672     28.975    4.14814305    2.05374120   99.21314338 
450703.000    30.4883626180   114.5623290751     29.004    4.35659958    2.11660060   99.19655368 
450704.000    30.4883456443   114.5624485070     29.033    4.30952110    2.04009878   99.21828947 
450705.000    30.4883284756   114.5625685867     29.063    4.25800956    2.15263648   99.19954621 
450706.000    30.4883111277   114.5626903835     29.071    4.31053386    2.03704616   99.11259311 
450707.000    30.4882937616   114.5628135651     29.068    4.31581857    2.03002751   98.95910201 
450708.000    30.4882767011   114.5629356792     29.055    4.44978229    1.80808235   98.85117695 
450709.000    30.4882601963   114.5630543833     29.007    4.30751234    1.72970906   98.81823952 
450710.000    30.4882440754   114.5631694083     28.971    4.49155195    1.81221560   98.85161472 
450711.000    30.4882285128   114.5632805944     28.935    4.19781763    1.66968101   98.76633135 
450712.000    30.4882139390   114.5633879542     28.914    3.91838443    1.81805000   98.36711044 
450713.000    30.4882006602   114.5634912478     28.881    3.98579449    1.78140438   97.86442816 
450714.000    30.4881885855   114.5635901759     28.847    3.95989329    1.66118385   97.46184438 
450715.000    30.4881775902   114.5636827429     28.821    3.70007268    1.67738072   97.29598488 
450716.000    30.4881675052   114.5637687909     28.808    3.27529712    1.64997816   97.24108891 
450717.000    30.4881574545   114.5638493581     28.798    3.54137189    1.88278656   97.63078846 
450718.000    30.4881478691   114.5639225938     28.808    3.84377689    1.88890803   98.00016696 
450719.000    30.4881392771   114.5639861191     28.821    4.11255215    1.91835252   98.23598362 
450720.000    30.4881321992   114.5640420580     28.856    4.69898109    2.57499825   97.17644669 
450721.000    30.4881303859   114.5640958258     28.942    5.75381124    3.06718305   90.00937687 
450722.000    30.4881395557   114.5641494148     29.105    5.86410283    4.00882572   76.75128166 
450723.000    30.4881601158   114.5642010820     29.267    5.59615405    4.23469409   63.19487499 
450724.000    30.4881920290   114.5642473899     29.471    4.99258396    4.25172163   49.12178438 
450725.000    30.4882346938   114.5642848227     29.685    4.73905243    4.23465270   34.55739090 
450726.000    30.4882864275   114.5643115551     29.899    4.51348140    3.97318410   22.08068478 
450727.000    30.4883427717   114.5643349230     30.131    3.87068326    3.94658272   19.56110706 
450728.000    30.4884020599   114.5643602601     30.392    4.31432729    4.11772043   19.66128332 
450729.000    30.4884650276   114.5643870101     30.638    4.38572936    3.94871606   19.60323848 
450730.000    30.4885316311   114.5644150551     30.910    4.06380135    4.13552983   19.45210769 
450731.000    30.4886014425   114.5644442739     31.192    3.97307774    3.90627978   19.32585214 
450732.000    30.4886729582   114.5644741920     31.460    3.96846671    3.65247261   19.31060220 
450733.000    30.4887433400   114.5645038727     31.729    4.16422410    3.85791255   19.42166298 
450734.000    30.4888104123   114.5645325640     31.978    4.36653220    3.27188252   19.75254443 
450735.000    30.4888711577   114.5645594573     32.158    4.30883576    2.74796907   20.56022672 
450736.000    30.4889249464   114.5645854206     32.347    4.78078340    3.19517961   22.30545415 
450737.000    30.4889733231   114.5646129754     32.505    4.74722045    3.61223336   26.45772411 
450738.000    30.4890161366   114.5646459843     32.708    4.36579413    3.72374759   34.31216972 
450739.000    30.4890528875   114.5646858855     32.781    3.56028442    2.17265808   43.65375515 
450740.000    30.4890827317   114.5647351163     32.785    3.22928821    1.91184248   56.09396528 
450741.000    30.4891003230   114.5647923382     32.831    3.60124374    2.67495263   71.43241066 
