   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 451981.00    30.4671526880   114.6595703684      8.069     -0.921      7.291   -0.040 
 451982.00    30.4672195421   114.6595608103      8.034     -0.926      7.498   -0.001 
 451983.00    30.4672874094   114.6595512156      8.040     -0.896      7.507   -0.017 
 451984.00    30.4673547465   114.6595420683      8.024     -0.871      7.419   -0.021 
 451985.00    30.4674212114   114.6595330581      8.019     -0.890      7.319   -0.018 
 451986.00    30.4674866946   114.6595235707      8.028     -0.946      7.224    0.006 
 451987.00    30.4675515602   114.6595137457      8.031     -0.867      7.131    0.010 
 451988.00    30.4676141762   114.6595046522      8.025     -0.920      6.720    0.015 
 451989.00    30.4676731845   114.6594951327      8.041     -0.950      6.424    0.039 
 451990.00    30.4677306965   114.6594848111      8.033     -1.050      6.240    0.005 
 451991.00    30.4677849594   114.6594731598      8.035     -1.203      5.785   -0.010 
 451992.00    30.4678365359   114.6594606525      8.049     -1.269      5.671    0.025 
 451993.00    30.4678892536   114.6594469015      8.086     -1.389      6.098    0.028 
 451994.00    30.4679461459   114.6594315460      8.099     -1.572      6.451    0.027 
 451995.00    30.4680026004   114.6594149973      8.116     -1.558      5.987    0.000 
 451996.00    30.4680498801   114.6594000759      8.134     -1.297      4.144   -0.004 
 451997.00    30.4680763091   114.6593893633      8.152     -0.839      2.299    0.019 
 451998.00    30.4680964323   114.6593811107      8.170     -0.800      2.331    0.017 
 451999.00    30.4681213704   114.6593721318      8.184     -0.915      3.310   -0.000 
 452000.00    30.4681564033   114.6593620316      8.197     -0.969      4.435    0.011 
 452001.00    30.4682006681   114.6593526346      8.209     -0.790      5.362   -0.001 
 452002.00    30.4682527291   114.6593456844      8.206     -0.557      6.167    0.012 
 452003.00    30.4683090047   114.6593407513      8.207     -0.427      6.102    0.012 
 452004.00    30.4683614244   114.6593360630      8.215     -0.501      5.454    0.007 
 452005.00    30.4684053166   114.6593295363      8.221     -0.755      4.231    0.003 
 452006.00    30.4684381904   114.6593204948      8.239     -1.010      3.039    0.010 
 452007.00    30.4684612580   114.6593088847      8.263     -1.308      2.310    0.021 
 452008.00    30.4684803726   114.6592917751      8.260     -2.127      1.777   -0.034 
 452009.00    30.4684904483   114.6592657787      8.251     -2.834      0.341   -0.023 
 452010.00    30.4684873387   114.6592366931      8.211     -2.872     -1.162   -0.045 
 452011.00    30.4684691781   114.6592101297      8.166     -2.286     -3.154   -0.043 
 452012.00    30.4684338649   114.6591955871      8.146     -0.690     -4.707   -0.016 
 452013.00    30.4683884345   114.6591928010      8.117      0.128     -5.544   -0.028 
 452014.00    30.4683351461   114.6591990885      8.110      0.852     -6.354    0.003 
 452015.00    30.4682739500   114.6592086162      8.110      0.969     -7.225    0.030 
 452016.00    30.4682047576   114.6592189538      8.092      1.082     -8.087   -0.080 
 452017.00    30.4681289726   114.6592304904      8.092      1.133     -8.712    0.024 
 452018.00    30.4680478098   114.6592426721      8.093      1.195     -9.238   -0.030 
 452019.00    30.4679633195   114.6592550564      8.079      1.187     -9.498   -0.021 
 452020.00    30.4678758561   114.6592674959      8.048      1.203     -9.920   -0.021 
 452021.00    30.4677845976   114.6592801828      8.048      1.267    -10.292    0.000 
 452022.00    30.4676905520   114.6592939676      8.037      1.392    -10.560   -0.013 
 452023.00    30.4675937414   114.6593087978      8.039      1.491    -10.937   -0.070 
 452024.00    30.4674935866   114.6593250298      8.004      1.611    -11.306   -0.013 
 452025.00    30.4673894836   114.6593429353      7.997      1.796    -11.782    0.034 
 452026.00    30.4672809849   114.6593622210      7.977      1.911    -12.260   -0.072 
 452027.00    30.4671692966   114.6593825452      7.968      1.957    -12.479   -0.050 
 452028.00    30.4670555422   114.6594037796      7.967      2.093    -12.783   -0.033 
 452029.00    30.4669384032   114.6594260854      7.975      2.192    -13.201    0.016 
 452030.00    30.4668182626   114.6594491714      7.973      2.220    -13.358   -0.021 
 452031.00    30.4666979918   114.6594723499      7.946      2.237    -13.321   -0.051 
 452032.00    30.4665771861   114.6594958322      7.946      2.227    -13.409    0.009 
 452033.00    30.4664574001   114.6595190158      7.917      2.193    -13.115   -0.025 
 452034.00    30.4663403974   114.6595410366      7.910      2.048    -12.878   -0.039 
 452035.00    30.4662234561   114.6595619932      7.906      1.995    -13.094   -0.030 
 452036.00    30.4661049028   114.6595825892      7.875      1.977    -13.130    0.001 
 452037.00    30.4659869114   114.6596037137      7.814      2.113    -13.009    0.000 
 452038.00    30.4658701253   114.6596278580      7.827      2.463    -12.965    0.017 
 452039.00    30.4657518034   114.6596528282      7.840      2.363    -13.266    0.055 
 452040.00    30.4656304059   114.6596768490      7.832      2.289    -13.620   -0.069 
 452041.00    30.4655063323   114.6597011187      7.839      2.364    -13.846   -0.094 
 452042.00    30.4653814431   114.6597258716      7.803      2.373    -13.815   -0.006 
 452043.00    30.4652563139   114.6597497967      7.764      2.234    -13.934    0.008 
 452044.00    30.4651300090   114.6597730526      7.764      2.195    -14.053    0.065 
 452045.00    30.4650036365   114.6597956169      7.822      2.121    -13.926    0.063 
 452046.00    30.4648789940   114.6598178282      7.869      2.156    -13.727    0.028 
 452047.00    30.4647548170   114.6598402713      7.842      2.179    -13.852    0.210 
 452048.00    30.4646290342   114.6598624258      7.862      2.085    -14.045    0.063 
 452049.00    30.4645012538   114.6598835704      7.883      1.994    -14.281    0.032 
 452050.00    30.4643720349   114.6599036596      7.885      1.855    -14.278    0.011 
 452051.00    30.4642442473   114.6599225556      7.845      1.837    -14.070    0.110 
 452052.00    30.4641171982   114.6599423550      7.935      1.843    -14.103    0.064 
 452053.00    30.4639895136   114.6599620173      7.972      1.926    -14.215    0.082 
 452054.00    30.4638605630   114.6599821156      7.991      1.966    -14.370    0.049 
 452055.00    30.4637302480   114.6600023870      8.027      1.923    -14.530    0.033 
 452056.00    30.4635983599   114.6600220937      8.054      1.922    -14.706    0.022 
 452057.00    30.4634651606   114.6600431503      8.088      2.116    -14.830    0.077 
 452058.00    30.4633307816   114.6600654265      8.133      2.176    -14.942    0.022 
 452059.00    30.4631959394   114.6600880453      8.152      2.129    -15.001    0.002 
 452060.00    30.4630597006   114.6601093839      8.200      1.988    -15.208    0.029 
 452061.00    30.4629216876   114.6601293074      8.229      1.830    -15.343    0.081 
 452062.00    30.4627832449   114.6601477961      8.243      1.761    -15.328    0.008 
 452063.00    30.4626450778   114.6601667595      8.255      1.871    -15.351    0.037 
 452064.00    30.4625057786   114.6601868965      8.283      1.977    -15.549    0.006 
 452065.00    30.4623644408   114.6602077484      8.287      2.040    -15.787   -0.032 
 452066.00    30.4622210783   114.6602292220      8.310      2.078    -15.974    0.036 
 452067.00    30.4620770272   114.6602509198      8.322      2.075    -15.953    0.036 
 452068.00    30.4619327212   114.6602721072      8.348      2.017    -16.073    0.062 
 452069.00    30.4617867566   114.6602929089      8.353      2.000    -16.282   -0.003 
 452070.00    30.4616396116   114.6603137248      8.330      1.998    -16.317   -0.004 
 452071.00    30.4614921770   114.6603344697      8.320      2.005    -16.397   -0.063 
 452072.00    30.4613446534   114.6603554403      8.336      2.055    -16.292    0.014 
