
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
453507.000    30.4540856008   114.5848399483     19.827    2.85954747    1.92406807  300.20114919 
453508.000    30.4541558885   114.5846856614     19.867    3.05100071    1.87112106  300.08668374 
453509.000    30.4542272215   114.5845278658     19.945    3.19729029    1.61416757  300.00076056 
453510.000    30.4542996545   114.5843668572     20.044    3.44297274    1.76747386  299.86253872 
453511.000    30.4543726191   114.5842033329     20.109    3.52647211    1.64658027  299.63527348 
453512.000    30.4544459011   114.5840377063     20.221    3.52902310    1.79164799  299.39741178 
453513.000    30.4545194604   114.5838698966     20.301    3.19523564    1.94722875  299.15454940 
453514.000    30.4545934631   114.5837001086     20.386    3.85210850    1.92650323  298.92397322 
453515.000    30.4546678800   114.5835289521     20.508    3.30840225    1.77674318  298.82240949 
453516.000    30.4547420056   114.5833563458     20.583    3.35291092    1.49444016  298.56044860 
453517.000    30.4548163864   114.5831822216     20.641    3.32753039    1.80696740  298.52339160 
453518.000    30.4548915073   114.5830067982     20.708    3.45780559    1.73172850  298.60685222 
453519.000    30.4549679521   114.5828302997     20.769    3.42222952    1.68338770  298.85466751 
453520.000    30.4550457923   114.5826524310     20.820    3.80338201    1.52983168  298.97945859 
453521.000    30.4551244651   114.5824736114     20.838    3.84337288    1.58528104  299.08270392 
453522.000    30.4552037253   114.5822941575     20.865    3.90722124    1.51042077  298.95381283 
453523.000    30.4552826311   114.5821131348     20.901    3.65905379    1.48285380  298.69172333 
453524.000    30.4553619986   114.5819303710     20.923    3.67612959    1.43913228  298.59782226 
453525.000    30.4554417082   114.5817465270     20.919    3.75477488    1.38706300  298.55028389 
453526.000    30.4555220355   114.5815614901     20.891    4.24741085    1.18649334  298.16952182 
453527.000    30.4556025178   114.5813735095     20.872    4.01019637    1.30570852  297.95842783 
453528.000    30.4556831640   114.5811820128     20.842    4.45073857    1.26682211  297.46549781 
453529.000    30.4557639327   114.5809869237     20.795    4.32509581    1.36885429  297.16513352 
453530.000    30.4558454586   114.5807886479     20.740    3.97985044    1.43093180  297.04693861 
453531.000    30.4559279873   114.5805877148     20.678    3.57637719    1.44473082  296.96787184 
453532.000    30.4560116035   114.5803839374     20.577    3.47680361    1.25120149  296.90506207 
453533.000    30.4560974695   114.5801775206     20.443    3.34068100    1.23110427  297.53780241 
453534.000    30.4561868473   114.5799690155     20.292    3.54724072    1.22622003  297.98298041 
453535.000    30.4562781844   114.5797576153     20.153    3.70158887    1.41951109  297.92209317 
453536.000    30.4563705838   114.5795429438     20.010    3.59341260    1.49570005  297.82575995 
453537.000    30.4564641887   114.5793252008     19.862    3.53998124    1.40542585  297.88492482 
453538.000    30.4565593132   114.5791053344     19.683    3.67950091    1.16123104  297.80695824 
453539.000    30.4566540216   114.5788871066     19.512    3.55528181    1.04137245  298.01998689 
453540.000    30.4567482590   114.5786727281     19.337    3.31298827    1.08041635  298.31872394 
453541.000    30.4568419486   114.5784602983     19.173    3.68598066    1.20973670  298.05539218 
453542.000    30.4569352709   114.5782462158     19.007    3.72224626    1.44068432  297.71354356 
453543.000    30.4570291003   114.5780300240     18.873    3.93500848    1.31748155  297.76094330 
