
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
453507.000    30.4540860684   114.5848402613     19.824    2.85954747    1.92406807  300.20114919 
453508.000    30.4541563566   114.5846859732     19.864    3.05100071    1.87112106  300.08668374 
453509.000    30.4542276899   114.5845281769     19.942    3.19729029    1.61416757  300.00076056 
453510.000    30.4543001235   114.5843671667     20.040    3.44297274    1.76747386  299.86253872 
453511.000    30.4543730891   114.5842036403     20.105    3.52647211    1.64658027  299.63527348 
453512.000    30.4544463722   114.5840380113     20.217    3.52902310    1.79164799  299.39741178 
453513.000    30.4545199329   114.5838701994     20.298    3.19523564    1.94722875  299.15454940 
453514.000    30.4545939363   114.5837004088     20.382    3.85210850    1.92650323  298.92397322 
453515.000    30.4546683538   114.5835292518     20.505    3.30840225    1.77674318  298.82240949 
453516.000    30.4547424805   114.5833566431     20.579    3.35291092    1.49444016  298.56044860 
453517.000    30.4548168616   114.5831825184     20.637    3.32753039    1.80696740  298.52339160 
453518.000    30.4548919821   114.5830070958     20.705    3.45780559    1.73172850  298.60685222 
453519.000    30.4549684257   114.5828305997     20.765    3.42222952    1.68338770  298.85466751 
453520.000    30.4550462651   114.5826527320     20.816    3.80338201    1.52983168  298.97945859 
453521.000    30.4551249375   114.5824739133     20.834    3.84337288    1.58528104  299.08270392 
453522.000    30.4552041982   114.5822944582     20.861    3.90722124    1.51042077  298.95381283 
453523.000    30.4552831053   114.5821134332     20.897    3.65905379    1.48285380  298.69172333 
453524.000    30.4553624732   114.5819306686     20.919    3.67612959    1.43913228  298.59782226 
453525.000    30.4554421830   114.5817468240     20.915    3.75477488    1.38706300  298.55028389 
453526.000    30.4555225117   114.5815617834     20.887    4.24741085    1.18649334  298.16952182 
453527.000    30.4556029951   114.5813738008     20.868    4.01019637    1.30570852  297.95842783 
453528.000    30.4556836432   114.5811822991     20.837    4.45073857    1.26682211  297.46549781 
453529.000    30.4557644133   114.5809872071     20.790    4.32509581    1.36885429  297.16513352 
453530.000    30.4558459399   114.5807889303     20.736    3.97985044    1.43093180  297.04693861 
453531.000    30.4559284691   114.5805879967     20.674    3.57637719    1.44473082  296.96787184 
453532.000    30.4560120856   114.5803842189     20.573    3.47680361    1.25120149  296.90506207 
453533.000    30.4560979489   114.5801778083     20.439    3.34068100    1.23110427  297.53780241 
453534.000    30.4561873246   114.5799693074     20.288    3.54724072    1.22622003  297.98298041 
453535.000    30.4562786621   114.5797579063     20.149    3.70158887    1.41951109  297.92209317 
453536.000    30.4563710619   114.5795432339     20.006    3.59341260    1.49570005  297.82575995 
453537.000    30.4564646666   114.5793254916     19.858    3.53998124    1.40542585  297.88492482 
453538.000    30.4565597913   114.5791056246     19.679    3.67950091    1.16123104  297.80695824 
453539.000    30.4566544988   114.5788873989     19.508    3.55528181    1.04137245  298.01998689 
453540.000    30.4567487349   114.5786730233     19.333    3.31298827    1.08041635  298.31872394 
453541.000    30.4568424255   114.5784605908     19.169    3.68598066    1.20973670  298.05539218 
453542.000    30.4569357495   114.5782465048     19.003    3.72224626    1.44068432  297.71354356 
453543.000    30.4570295785   114.5780303135     18.869    3.93500848    1.31748155  297.76094330 
453544.000    30.4571248959   114.5778116588     18.701    3.80972887    1.31944719  297.81680003 
453545.000    30.4572221037   114.5775898029     18.552    4.00404018    1.39876099  297.85269372 
453546.000    30.4573207591   114.5773644451     18.389    3.78670804    1.32597510  297.73145749 
453547.000    30.4574202526   114.5771351324     18.222    3.86792375    1.36401062  297.48149955 
453548.000    30.4575210889   114.5769021470     18.031    3.92321309    1.34902338  297.51751032 
453549.000    30.4576240197   114.5766660668     17.861    3.91733030    1.29855636  297.66946662 
453550.000    30.4577286674   114.5764269487     17.674    3.80658047    1.34507105  297.66820250 
453551.000    30.4578350763   114.5761848982     17.476    3.93333320    1.22492936  297.66751974 
