
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
453507.000    30.4540870419   114.5848413696     19.755    2.85954747    1.92406807  300.20114919 
453508.000    30.4541573301   114.5846870785     19.795    3.05100071    1.87112106  300.08668374 
453509.000    30.4542286620   114.5845292823     19.873    3.19729029    1.61416757  300.00076056 
453510.000    30.4543010966   114.5843682661     19.970    3.44297274    1.76747386  299.86253872 
453511.000    30.4543740646   114.5842047360     20.035    3.52647211    1.64658027  299.63527348 
453512.000    30.4544473523   114.5840391007     20.147    3.52902310    1.79164799  299.39741178 
453513.000    30.4545209208   114.5838712845     20.228    3.19523564    1.94722875  299.15454940 
453514.000    30.4545949220   114.5837014850     20.311    3.85210850    1.92650323  298.92397322 
453515.000    30.4546693453   114.5835303314     20.435    3.30840225    1.77674318  298.82240949 
453516.000    30.4547434744   114.5833577203     20.510    3.35291092    1.49444016  298.56044860 
453517.000    30.4548178579   114.5831835916     20.567    3.32753039    1.80696740  298.52339160 
453518.000    30.4548929754   114.5830081706     20.635    3.45780559    1.73172850  298.60685222 
453519.000    30.4549694151   114.5828316803     20.696    3.42222952    1.68338770  298.85466751 
453520.000    30.4550472482   114.5826538142     20.745    3.80338201    1.52983168  298.97945859 
453521.000    30.4551259188   114.5824749967     20.763    3.84337288    1.58528104  299.08270392 
453522.000    30.4552051806   114.5822955394     20.790    3.90722124    1.51042077  298.95381283 
453523.000    30.4552840941   114.5821145112     20.827    3.65905379    1.48285380  298.69172333 
453524.000    30.4553634632   114.5819317450     20.849    3.67612959    1.43913228  298.59782226 
453525.000    30.4554431727   114.5817478996     20.844    3.75477488    1.38706300  298.55028389 
453526.000    30.4555235018   114.5815628504     20.815    4.24741085    1.18649334  298.16952182 
453527.000    30.4556039915   114.5813748638     20.796    4.01019637    1.30570852  297.95842783 
453528.000    30.4556846430   114.5811833498     20.765    4.45073857    1.26682211  297.46549781 
453529.000    30.4557654196   114.5809882513     20.718    4.32509581    1.36885429  297.16513352 
453530.000    30.4558469518   114.5807899737     20.665    3.97985044    1.43093180  297.04693861 
453531.000    30.4559294862   114.5805890407     20.604    3.57637719    1.44473082  296.96787184 
453532.000    30.4560131036   114.5803852645     20.503    3.47680361    1.25120149  296.90506207 
453533.000    30.4560989580   114.5801788679     20.370    3.34068100    1.23110427  297.53780241 
453534.000    30.4561883246   114.5799703747     20.218    3.54724072    1.22622003  297.98298041 
453535.000    30.4562796626   114.5797589693     20.078    3.70158887    1.41951109  297.92209317 
453536.000    30.4563720654   114.5795442948     19.936    3.59341260    1.49570005  297.82575995 
453537.000    30.4564656692   114.5793265550     19.788    3.53998124    1.40542585  297.88492482 
453538.000    30.4565607925   114.5791066883     19.609    3.67950091    1.16123104  297.80695824 
453539.000    30.4566554972   114.5788884690     19.438    3.55528181    1.04137245  298.01998689 
453540.000    30.4567497309   114.5786741006     19.264    3.31298827    1.08041635  298.31872394 
453541.000    30.4568434230   114.5784616590     19.099    3.68598066    1.20973670  298.05539218 
453542.000    30.4569367533   114.5782475632     18.932    3.72224626    1.44068432  297.71354356 
453543.000    30.4570305789   114.5780313728     18.798    3.93500848    1.31748155  297.76094330 
453544.000    30.4571258966   114.5778127201     18.631    3.80972887    1.31944719  297.81680003 
453545.000    30.4572231024   114.5775908628     18.481    4.00404018    1.39876099  297.85269372 
453546.000    30.4573217614   114.5773655047     18.319    3.78670804    1.32597510  297.73145749 
453547.000    30.4574212583   114.5771361860     18.151    3.86792375    1.36401062  297.48149955 
453548.000    30.4575220935   114.5769032012     17.960    3.92321309    1.34902338  297.51751032 
453549.000    30.4576250216   114.5766671247     17.790    3.91733030    1.29855636  297.66946662 
453550.000    30.4577296707   114.5764280067     17.603    3.80658047    1.34507105  297.66820250 
453551.000    30.4578360777   114.5761859567     17.405    3.93333320    1.22492936  297.66751974 
453552.000    30.4579440790   114.5759410427     17.196    3.99482072    1.30465729  297.71126360 
453553.000    30.4580539004   114.5756939538     16.972    3.81487329    1.23592878  297.99334005 
453554.000    30.4581644494   114.5754481586     16.773    3.77154973    1.06008931  298.09253977 
453555.000    30.4582730713   114.5752062421     16.593    3.75997881    0.94419713  298.01253383 
453556.000    30.4583794458   114.5749679556     16.427    3.62947272    1.10229259  297.89762473 
453557.000    30.4584848507   114.5747324077     16.247    3.72603466    0.95406994  297.90630466 
453558.000    30.4585896100   114.5744976947     16.094    3.92228710    1.14270054  297.83177142 
453559.000    30.4586944158   114.5742643048     15.919    3.80847929    1.14284899  298.07559618 
453560.000    30.4587995339   114.5740328667     15.742    4.09576699    1.14491023  298.16010628 
453561.000    30.4589031560   114.5738029196     15.561    4.34026939    1.07204555  297.72781103 
453562.000    30.4590044882   114.5735741717     15.361    4.25193957    1.09481372  297.33725208 
453563.000    30.4591047743   114.5733445915     15.189    4.20815795    1.21074626  297.06638622 
453564.000    30.4592055858   114.5731137783     15.009    4.19783295    1.24966323  297.22715189 
453565.000    30.4593079628   114.5728816765     14.828    3.97651352    1.21607437  297.39782663 
453566.000    30.4594113863   114.5726476368     14.661    3.71277157    1.49376248  297.10347416 
453567.000    30.4595137259   114.5724117485     14.461    4.33078559    1.29828648  296.83264175 
453568.000    30.4596157647   114.5721764561     14.373    4.23492725    1.39227070  296.84446500 
453569.000    30.4597162807   114.5719418711     14.285    4.30875093    1.45818567  296.13298652 
453570.000    30.4598129203   114.5717076040     14.293    4.25231490    1.71739196  295.14845741 
453571.000    30.4599073955   114.5714721974     14.346    4.21610791    1.83338882  294.85510625 
453572.000    30.4600015735   114.5712353600     14.471    4.06727067    1.95549674  294.64022342 
453573.000    30.4600955979   114.5709968964     14.655    4.08444174    2.18437366  294.39630110 
453574.000    30.4601889842   114.5707571674     14.895    3.80301337    2.17144779  294.07646431 
453575.000    30.4602814640   114.5705166515     15.189    3.58905547    2.43578193  293.74408521 
453576.000    30.4603728221   114.5702759137     15.581    3.74313102    2.57769109  293.47592355 
453577.000    30.4604628638   114.5700345044     16.025    3.84012621    2.80806739  292.98819569 
453578.000    30.4605516246   114.5697923022     16.561    3.78068493    2.77633763  292.67959044 
453579.000    30.4606396723   114.5695499500     17.094    4.15122836    2.97356593  292.51825682 
453580.000    30.4607270158   114.5693074980     17.706    3.70626912    2.95243995  292.31886455 
453581.000    30.4608133184   114.5690648756     18.314    3.95269877    2.93953395  291.99192229 
