
   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
455554.000    30.4875725076   114.5639922358     27.382    3.31843593    0.27286448  198.52659386 
455555.000    30.4875129417   114.5639660728     27.222    3.42922580    0.15063078  198.04545662 
455556.000    30.4874554625   114.5639420509     27.103    3.36618891    0.20711400  197.37850532 
455557.000    30.4874007170   114.5639199232     27.005    3.51743142    0.24803161  196.98005092 
455558.000    30.4873493084   114.5638987647     26.889    3.62314285    0.10241484  197.30685955 
455559.000    30.4873012529   114.5638786192     26.792    3.65744056    0.32809752  197.65101263 
455560.000    30.4872568889   114.5638597782     26.708    3.56503214    0.34769344  197.90759180 
455561.000    30.4872167257   114.5638425217     26.628    3.44293322    0.32398807  198.14307925 
455562.000    30.4871767149   114.5638250063     26.550    3.25839700    0.64393494  198.50219146 
455563.000    30.4871292557   114.5638037241     26.458    3.47001738    0.94596892  198.90082645 
455564.000    30.4870740323   114.5637784948     26.361    3.67828060    1.09432119  199.37636156 
455565.000    30.4870123605   114.5637496399     26.237    3.82555129    1.04033126  199.91729653 
455566.000    30.4869457899   114.5637176550     26.103    3.63203108    0.93374041  200.48677623 
455567.000    30.4868802499   114.5636852454     25.972    3.57960749    0.67471643  200.98623150 
455568.000    30.4868174511   114.5636542723     25.846    3.87494821    0.86217689  200.45677690 
455569.000    30.4867570246   114.5636266478     25.737    4.12648565    0.76123510  198.89614731 
455570.000    30.4866995483   114.5636026904     25.637    4.16167983    0.67206053  197.28443173 
455571.000    30.4866461435   114.5635821343     25.540    4.00851205    0.53072138  196.07453307 
455572.000    30.4865992626   114.5635643748     25.441    3.95836980    0.35648215  195.98528579 
455573.000    30.4865620974   114.5635501286     25.365    3.97678239    0.22809217  196.05783338 
455574.000    30.4865380203   114.5635408940     25.323    3.94331942    0.33645165  196.11092172 
455575.000    30.4865199320   114.5635339461     25.289    4.05115833    0.35336161  196.10582695 
455576.000    30.4865057120   114.5635284927     25.260    4.16525692    0.34447000  196.07040292 
455577.000    30.4864955588   114.5635246336     25.246    4.14289098    0.44992761  196.00401733 
455578.000    30.4864895457   114.5635223254     25.231    4.23104676    0.43046057  196.00457927 
455579.000    30.4864883600   114.5635218788     25.229    4.24365355    0.56514717  195.98430368 
455580.000    30.4864883747   114.5635218967     25.229    4.25429052    0.56833352  195.98058942 
455581.000    30.4864883595   114.5635218973     25.229    4.24968909    0.59344491  195.98142272 
455582.000    30.4864883606   114.5635218880     25.228    4.24384469    0.63276954  195.97877154 
455583.000    30.4864883636   114.5635218893     25.228    4.24316677    0.63875821  195.97836845 
455584.000    30.4864883660   114.5635218916     25.229    4.24534633    0.66208070  195.97982209 
455585.000    30.4864883676   114.5635218978     25.229    4.25241565    0.66606600  195.97850015 
455586.000    30.4864883659   114.5635218981     25.228    4.25788238    0.66588547  195.98411025 
455587.000    30.4864883717   114.5635218997     25.228    4.25975849    0.66593360  195.98883272 
455588.000    30.4864883732   114.5635219085     25.228    4.26274468    0.66534087  195.99095442 
455589.000    30.4864883697   114.5635218926     25.228    4.25370708    0.67012411  195.99592990 
455590.000    30.4864883705   114.5635218885     25.226    4.25457348    0.66651135  195.99906806 
455591.000    30.4864883713   114.5635218904     25.226    4.24704093    0.65707380  196.00689660 
455592.000    30.4864883705   114.5635218906     25.225    4.24728843    0.65757396  196.00850239 
455593.000    30.4864883727   114.5635218905     25.223    4.23997628    0.64923648  196.00445568 
455594.000    30.4864883760   114.5635218879     25.224    4.24371631    0.65840124  195.99639859 
455595.000    30.4864883774   114.5635218844     25.224    4.24503503    0.66289654  195.99346959 
455596.000    30.4864882052   114.5635218269     25.226    4.24106461    0.66949386  195.98691578 
455597.000    30.4864877863   114.5635216918     25.226    4.23397497    0.67354722  195.98277161 
455598.000    30.4864873164   114.5635215120     25.224    4.22587870    0.68271654  195.97760292 
455599.000    30.4864866979   114.5635212688     25.221    4.21297990    0.69352345  195.97258377 
455600.000    30.4864859644   114.5635209867     25.219    4.19622952    0.71186051  195.96820080 
455601.000    30.4864851048   114.5635206736     25.219    4.18490103    0.74613116  195.94270333 
455602.000    30.4864839820   114.5635202654     25.219    4.17340874    0.75708122  195.91523586 
455603.000    30.4864825231   114.5635197231     25.214    4.18893752    0.73682271  195.88760431 
455604.000    30.4864807403   114.5635190581     25.209    4.21928699    0.72850670  195.84886415 
455605.000    30.4864785848   114.5635182784     25.203    4.23584040    0.72172499  195.80039996 
455606.000    30.4864760861   114.5635173763     25.197    4.23966934    0.69399631  195.74119801 
455607.000    30.4864732035   114.5635163124     25.193    4.24316937    0.69400231  195.67323608 
455608.000    30.4864700549   114.5635151681     25.185    4.24684005    0.68189871  195.58996679 
455609.000    30.4864662618   114.5635137678     25.172    4.44728533    0.66460881  195.49836965 
455610.000    30.4864620143   114.5635123657     25.166    4.35522922    0.67699753  195.19473615 
455611.000    30.4864575198   114.5635111324     25.161    4.37380024    0.75540208  194.31810092 
455612.000    30.4864526028   114.5635100143     25.155    4.35624685    0.79842182  193.09720396 
455613.000    30.4864475327   114.5635091187     25.148    4.24826462    0.83689991  191.61973314 
455614.000    30.4864422176   114.5635082796     25.135    4.34063171    0.90844085  190.16115160 
455615.000    30.4864365871   114.5635074056     25.121    4.26545297    0.86763223  189.00125752 
455616.000    30.4864308508   114.5635064734     25.109    4.30817286    0.86433855  188.19628112 
455617.000    30.4864248481   114.5635055689     25.100    4.29250598    0.84227493  187.46422552 
455618.000    30.4864187444   114.5635047175     25.090    4.27749569    0.86709699  186.74234548 
455619.000    30.4864132861   114.5635040183     25.080    4.24653233    0.86923764  186.14029003 
455620.000    30.4864091414   114.5635034164     25.075    4.30758026    0.86484380  185.92117159 
455621.000    30.4864065341   114.5635030395     25.071    4.32582491    0.81122007  185.82210313 
455622.000    30.4864064414   114.5635030273     25.072    4.34674609    0.81002941  185.82678591 
455623.000    30.4864064391   114.5635030280     25.071    4.34964214    0.82764619  185.82549836 
455624.000    30.4864064439   114.5635030286     25.070    4.35183888    0.83852014  185.82268901 
455625.000    30.4864064505   114.5635030309     25.068    4.34340444    0.85985166  185.81886418 
455626.000    30.4864064505   114.5635030281     25.068    4.34764527    0.87038174  185.82179405 
455627.000    30.4864064477   114.5635030217     25.068    4.34466105    0.87959742  185.82512499 
455628.000    30.4864064491   114.5635030150     25.070    4.34754850    0.88111147  185.83240646 
455629.000    30.4864064512   114.5635030157     25.071    4.34720469    0.88261956  185.83602456 
455630.000    30.4864064518   114.5635030191     25.071    4.34722647    0.89362609  185.84082722 
455631.000    30.4864064548   114.5635030179     25.071    4.34154996    0.88799660  185.83668711 
455632.000    30.4864064475   114.5635030143     25.071    4.34450481    0.89077118  185.83115762 
455633.000    30.4864064444   114.5635030093     25.072    4.34184174    0.89297076  185.83677608 
455634.000    30.4864064471   114.5635030090     25.073    4.33867569    0.89037111  185.84456741 
455635.000    30.4864064409   114.5635030103     25.074    4.33889809    0.89512404  185.84442518 
455636.000    30.4864064367   114.5635030154     25.074    4.34155387    0.90039516  185.84366788 
455637.000    30.4864064304   114.5635030076     25.075    4.34284010    0.90190403  185.85004639 
455638.000    30.4864064246   114.5635030069     25.077    4.34182967    0.90672958  185.84347073 
455639.000    30.4864064159   114.5635030191     25.078    4.35150432    0.90323518  185.84670039 
455640.000    30.4864064159   114.5635030177     25.079    4.35122767    0.90622453  185.83598124 
455641.000    30.4864064213   114.5635030157     25.080    4.35822392    0.89734635  185.83435716 
455642.000    30.4864064202   114.5635030222     25.079    4.35743403    0.89813816  185.82699845 
455643.000    30.4864064151   114.5635030233     25.077    4.35871998    0.89923401  185.82234563 
455644.000    30.4864064138   114.5635030155     25.076    4.35362491    0.90781943  185.81569701 
455645.000    30.4864064103   114.5635030126     25.076    4.35270219    0.90680644  185.81131752 
455646.000    30.4864064046   114.5635030172     25.077    4.35393123    0.90650561  185.81034574 
455647.000    30.4864063984   114.5635030095     25.078    4.35098125    0.90444569  185.81640146 
455648.000    30.4864064080   114.5635030150     25.078    4.35703082    0.89751883  185.81937333 
455649.000    30.4864064083   114.5635030243     25.078    4.35668359    0.89493835  185.81676588 
455650.000    30.4864064168   114.5635030262     25.078    4.35687539    0.89397171  185.81367951 
455651.000    30.4864064188   114.5635030252     25.076    4.35914249    0.89763596  185.81687341 
455652.000    30.4864064173   114.5635030249     25.075    4.35785012    0.89097443  185.81902654 
455653.000    30.4864064122   114.5635030210     25.075    4.36213027    0.88494914  185.81656538 
455654.000    30.4864064186   114.5635030241     25.074    4.36691659    0.88536211  185.81905869 
455655.000    30.4864064251   114.5635030273     25.074    4.36679307    0.88052772  185.82318608 
455656.000    30.4864064303   114.5635030354     25.074    4.36733367    0.87761317  185.82695230 
455657.000    30.4864064332   114.5635030373     25.075    4.37120108    0.87488377  185.81907863 
455658.000    30.4864064161   114.5635030373     25.077    4.37575106    0.87239050  185.81793442 
455659.000    30.4864064143   114.5635030357     25.077    4.38206616    0.86372059  185.81660151 
455660.000    30.4864064215   114.5635030278     25.076    4.38641161    0.85491613  185.82240349 
455661.000    30.4864064194   114.5635030226     25.076    4.39633870    0.84651538  185.82732323 
455662.000    30.4864064174   114.5635030268     25.076    4.38770803    0.82813130  185.83234407 
455663.000    30.4864064183   114.5635030237     25.076    4.40290493    0.82303977  185.83009642 
455664.000    30.4864064253   114.5635030211     25.076    4.40305946    0.81664003  185.82967296 
455665.000    30.4864064306   114.5635030282     25.075    4.40831417    0.81017387  185.83399389 
455666.000    30.4864064225   114.5635030278     25.076    4.40744963    0.80114287  185.82170246 
455667.000    30.4864064161   114.5635030192     25.076    4.41312724    0.79078930  185.83493000 
455668.000    30.4864064204   114.5635030270     25.077    4.41550403    0.79058178  185.81698411 
455669.000    30.4864049130   114.5635029222     25.079    4.37681248    0.90804999  185.54479989 
455670.000    30.4863962732   114.5635028815     25.072    4.48362602    1.35756376  182.77594284 
455671.000    30.4863748198   114.5635045007     25.041    4.39580601    1.50608391  176.74399409 
455672.000    30.4863431885   114.5635071666     24.989    4.16239832    1.35934346  174.54799036 
455673.000    30.4863050537   114.5635089024     24.930    4.12500997    1.28825563  175.60967775 
455674.000    30.4862643719   114.5635093373     24.867    4.09475423    1.18817221  177.31756932 
455675.000    30.4862222811   114.5635081268     24.795    4.12350520    1.14899085  179.22848735 
455676.000    30.4861790379   114.5635057271     24.727    3.95544375    1.04617245  180.50079416 
455677.000    30.4861349091   114.5635035204     24.644    4.22844230    0.95918407  179.98103336 
455678.000    30.4860904121   114.5635030091     24.561    4.37358118    1.05652709  178.23481523 
455679.000    30.4860459617   114.5635032553     24.489    4.18798582    0.95403178  177.74526773 
455680.000    30.4860057762   114.5635032314     24.423    4.17236559    0.70613210  177.85652904 
455681.000    30.4859721714   114.5635031874     24.367    4.09211259    0.59489742  177.85046560 
455682.000    30.4859454746   114.5635024641     24.329    4.07167125    0.71849503  179.05161477 
455683.000    30.4859212711   114.5635004250     24.290    4.22171753    0.70770945  181.14123789 
455684.000    30.4858987261   114.5634978287     24.248    4.43243674    0.70995565  182.68733130 
455685.000    30.4858777745   114.5634959941     24.203    4.49819943    0.74269464  182.23888121 
455686.000    30.4858584677   114.5634948735     24.162    4.41954298    0.70278747  181.28392743 
