   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   Q
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 486548.00    30.4871447706   114.5638129318     26.462     -2.755     -8.006   -0.110 
 486549.00    30.4870700364   114.5637824773     26.334     -3.032     -8.562   -0.109 
 486550.00    30.4869926315   114.5637502207     26.184     -3.124     -8.607   -0.156 
 486551.00    30.4869141132   114.5637171254     26.036     -3.230     -8.818   -0.135 
 486552.00    30.4868336704   114.5636834458     25.887     -3.221     -9.029   -0.107 
 486553.00    30.4867515661   114.5636505242     25.755     -3.143     -9.186   -0.113 
 486554.00    30.4866678918   114.5636188764     25.609     -2.984     -9.402   -0.154 
 486555.00    30.4865814276   114.5635895870     25.442     -2.751     -9.747   -0.176 
 486556.00    30.4864926405   114.5635643627     25.283     -2.262     -9.930   -0.158 
 486557.00    30.4864019902   114.5635447918     25.123     -1.719    -10.199   -0.166 
 486558.00    30.4863086233   114.5635304771     24.947     -1.223    -10.505   -0.168 
 486559.00    30.4862127439   114.5635205319     24.766     -0.861    -10.751   -0.197 
 486560.00    30.4861148467   114.5635129867     24.596     -0.646    -10.977   -0.167 
 486561.00    30.4860151202   114.5635086704     24.438     -0.296    -11.107   -0.183 
 486562.00    30.4859155176   114.5635084266     24.267      0.119    -11.026   -0.194 
 486563.00    30.4858161341   114.5635125801     24.082      0.549    -11.063   -0.205 
 486564.00    30.4857152812   114.5635207884     23.900      0.894    -11.303   -0.166 
 486565.00    30.4856128275   114.5635321041     23.747      1.185    -11.423   -0.166 
 486566.00    30.4855087471   114.5635458375     23.559      1.385    -11.691   -0.211 
 486567.00    30.4854023494   114.5635609917     23.400      1.487    -11.875   -0.094 
 486568.00    30.4852947977   114.5635764999     23.343      1.471    -11.985   -0.085 
 486569.00    30.4851864387   114.5635903740     23.220      1.265    -12.018   -0.097 
 486570.00    30.4850787066   114.5636022179     23.136      1.069    -11.807   -0.124 
 486571.00    30.4849728374   114.5636145556     23.067      1.175    -11.677   -0.028 
 486572.00    30.4848678363   114.5636281903     23.019      1.359    -11.637   -0.025 
 486573.00    30.4847626578   114.5636428185     23.008      1.421    -11.712    0.002 
 486574.00    30.4846563187   114.5636576094     22.966      1.412    -11.871   -0.044 
 486575.00    30.4845491530   114.5636714585     22.912      1.260    -11.845   -0.042 
 486576.00    30.4844422858   114.5636835054     22.869      1.110    -11.891   -0.007 
 486577.00    30.4843345722   114.5636946159     22.860      1.049    -11.966   -0.014 
 486578.00    30.4842266965   114.5637050202     22.843      0.989    -11.952   -0.022 
 486579.00    30.4841190167   114.5637163212     22.792      1.139    -11.965    0.015 
 486580.00    30.4840113672   114.5637290220     22.779      1.254    -11.945   -0.013 
 486581.00    30.4839036246   114.5637431636     22.756      1.434    -11.968    0.048 
 486582.00    30.4837959833   114.5637588692     22.747      1.503    -11.929    0.023 
 486583.00    30.4836900286   114.5637732743     22.765      1.333    -11.540    0.027 
 486584.00    30.4835878077   114.5637858051     22.774      1.121    -11.069   -0.060 
 486585.00    30.4834904404   114.5637967390     22.803      1.016    -10.467   -0.005 
 486586.00    30.4833986591   114.5638069301     22.801      0.948     -9.817   -0.006 
 486587.00    30.4833162546   114.5638161264     22.818      0.798     -8.408    0.007 
 486588.00    30.4832443589   114.5638243451     22.835      0.772     -7.691   -0.007 
 486589.00    30.4831776338   114.5638321492     22.844      0.747     -7.100    0.010 
 486590.00    30.4831169165   114.5638411896     22.858      0.851     -6.238    0.017 
 486591.00    30.4830683920   114.5638498258     22.869      0.749     -4.768   -0.009 
 486592.00    30.4830286820   114.5638582367     22.869      0.778     -4.204    0.013 
 486593.00    30.4829883046   114.5638711669     22.866      1.416     -4.693    0.082 
 486594.00    30.4829490155   114.5638938541     22.953      2.329     -4.230    0.087 
 486595.00    30.4829154337   114.5639308120     23.037      3.916     -3.688    0.052 
 486596.00    30.4828876047   114.5639836836     23.084      5.509     -3.025    0.046 
 486597.00    30.4828642831   114.5640486829     23.142      6.602     -2.362    0.048 
 486598.00    30.4828487836   114.5641246340     23.234      7.647     -1.530    0.109 
 486599.00    30.4828359880   114.5642087667     23.330      8.427     -1.435    0.072 
 486600.00    30.4828226869   114.5642998971     23.428      9.026     -1.536    0.130 
 486601.00    30.4828080720   114.5643961358     23.564      9.422     -1.700    0.142 
 486602.00    30.4827911995   114.5644924410     23.688      9.049     -1.992    0.136 
 486603.00    30.4827714685   114.5645845182     23.801      8.714     -2.284    0.112 
 486604.00    30.4827506898   114.5646742161     23.913      8.538     -2.276    0.154 
 486605.00    30.4827313764   114.5647646929     24.053      8.858     -2.109    0.119 
 486606.00    30.4827116856   114.5648563409     24.133      8.679     -2.192    0.033 
 486607.00    30.4826929589   114.5649441569     24.206      8.201     -2.054    0.101 
 486608.00    30.4826726381   114.5650272361     24.334      7.929     -2.395    0.154 
 486609.00    30.4826494467   114.5651090274     24.448      7.883     -2.600    0.107 
 486610.00    30.4826278736   114.5651923103     24.541      8.046     -2.186    0.072 
 486611.00    30.4826106041   114.5652779867     24.630      8.297     -1.811    0.093 
 486612.00    30.4825956455   114.5653653871     24.723      8.412     -1.555    0.084 
 486613.00    30.4825826718   114.5654516745     24.823      8.035     -1.414    0.123 
 486614.00    30.4825692609   114.5655320010     24.951      7.394     -1.537    0.128 
 486615.00    30.4825547681   114.5656048065     25.065      6.616     -1.616    0.104 
 486616.00    30.4825386029   114.5656693488     25.151      5.853     -1.862    0.087 
 486617.00    30.4825190328   114.5657243013     25.237      4.902     -2.301    0.099 
 486618.00    30.4824928860   114.5657692075     25.326      4.219     -3.093    0.069 
 486619.00    30.4824593977   114.5658071861     25.387      3.577     -3.945    0.055 
 486620.00    30.4824180776   114.5658367007     25.399      2.788     -4.905    0.030 
 486621.00    30.4823676918   114.5658578751     25.419      1.990     -6.004    0.051 
 486622.00    30.4823085623   114.5658751036     25.451      1.677     -7.018    0.004 
 486623.00    30.4822400215   114.5658892176     25.449      1.270     -8.085   -0.013 
 486624.00    30.4821623841   114.5658991666     25.439      0.959     -9.051    0.018 
 486625.00    30.4820768297   114.5659099718     25.415      1.113     -9.897    0.021 
 486626.00    30.4819840448   114.5659226727     25.401      1.315    -10.674   -0.107 
 486627.00    30.4818844977   114.5659381104     25.356      1.616    -11.391    0.008 
 486628.00    30.4817788482   114.5659566365     25.318      1.868    -12.050    0.002 
 486629.00    30.4816672425   114.5659765166     25.305      1.907    -12.693   -0.017 
 486630.00    30.4815497778   114.5659961643     25.274      1.877    -13.342   -0.018 
 486631.00    30.4814265728   114.5660148715     25.265      1.747    -13.958   -0.021 
 486632.00    30.4812980439   114.5660326610     25.304      1.748    -14.511    0.066 
 486633.00    30.4811649589   114.5660512529     25.363      1.806    -15.003    0.061 
 486634.00    30.4810275408   114.5660701646     25.453      1.828    -15.475    0.137 
 486635.00    30.4808859661   114.5660892525     25.532      1.858    -15.926    0.093 
 486636.00    30.4807424692   114.5661081456     25.587      1.782    -15.774    0.032 
 486637.00    30.4806019290   114.5661263489     25.670      1.734    -15.348   -0.000 
 486638.00    30.4804651728   114.5661445482     25.665      1.721    -14.963    0.040 
 486639.00    30.4803315257   114.5661623680     25.692      1.699    -14.715   -0.027 
 486640.00    30.4801994731   114.5661799631     25.685      1.702    -14.544   -0.082 
 486641.00    30.4800688155   114.5661975657     25.649      1.687    -14.415   -0.039 
 486642.00    30.4799394120   114.5662152102     25.599      1.696    -14.287   -0.080 
 486643.00    30.4798110902   114.5662334586     25.581      1.790    -14.182   -0.019 
 486644.00    30.4796836017   114.5662523857     25.530      1.802    -14.086   -0.052 
 486645.00    30.4795570866   114.5662706223     25.503      1.723    -13.899   -0.030 
 486646.00    30.4794334827   114.5662886949     25.529      1.746    -13.524    0.015 
 486647.00    30.4793133716   114.5663068781     25.529      1.741    -13.090    0.009 
 486648.00    30.4791977425   114.5663244875     25.510      1.623    -12.441   -0.041 
 486649.00    30.4790907436   114.5663399135     25.496      1.390    -11.434   -0.047 
 486650.00    30.4789918496   114.5663534627     25.540      1.214    -10.312    0.050 
 486651.00    30.4789060311   114.5663656026     25.515      1.089     -8.730   -0.033 
 486652.00    30.4788336997   114.5663764931     25.516      0.970     -7.445    0.006 
 486653.00    30.4787721074   114.5663864635     25.499      0.880     -6.075   -0.031 
 486654.00    30.4787251965   114.5663956682     25.471      0.771     -4.332    0.000 
 486655.00    30.4786907454   114.5664040190     25.477      0.721     -3.406    0.028 
 486656.00    30.4786643943   114.5664119777     25.493      0.658     -2.591    0.033 
 486657.00    30.4786412729   114.5664206092     25.510      0.795     -2.576    0.016 
 486658.00    30.4786204529   114.5664307588     25.538      0.882     -2.172   -0.013 
 486659.00    30.4786031439   114.5664427300     25.551      1.002     -1.807    0.004 
 486660.00    30.4785884431   114.5664557076     25.550      1.228     -1.740    0.002 
 486661.00    30.4785723542   114.5664699636     25.552      1.386     -1.965   -0.010 
 486662.00    30.4785512302   114.5664846751     25.548      1.427     -2.366   -0.016 
 486663.00    30.4785282313   114.5664971168     25.546      1.274     -2.661   -0.015 
 486664.00    30.4785021341   114.5665076934     25.564      1.115     -3.033   -0.002 
 486665.00    30.4784724913   114.5665181234     25.549      1.045     -3.338   -0.037 
 486666.00    30.4784478547   114.5665279886     25.512      0.681     -1.946   -0.026 
 486667.00    30.4784312148   114.5665361400     25.492      0.781     -1.904   -0.019 
 486668.00    30.4784142445   114.5665465902     25.457      0.970     -1.915   -0.049 
 486669.00    30.4783974820   114.5665603754     25.422      1.365     -2.060   -0.047 
 486670.00    30.4783795171   114.5665802095     25.374      2.027     -2.184   -0.049 
 486671.00    30.4783606043   114.5666110657     25.301      3.394     -2.325   -0.101 
 486672.00    30.4783428669   114.5666561766     25.210      4.743     -1.947   -0.106 
 486673.00    30.4783297327   114.5667147983     25.090      6.108     -1.421   -0.080 
 486674.00    30.4783201296   114.5667849165     24.966      7.128     -0.872   -0.170 
 486675.00    30.4783155623   114.5668639912     24.805      7.905     -0.354   -0.161 
 486676.00    30.4783148431   114.5669502692     24.650      8.601      0.029   -0.156 
 486677.00    30.4783159743   114.5670435164     24.502      9.260      0.156   -0.148 
 486678.00    30.4783172527   114.5671433327     24.338      9.881      0.123   -0.149 
 486679.00    30.4783179006   114.5672495398     24.155     10.538      0.018   -0.244 
 486680.00    30.4783171409   114.5673623818     23.953     11.030     -0.137   -0.188 
 486681.00    30.4783153439   114.5674763238     23.769     10.846     -0.236   -0.179 
 486682.00    30.4783133872   114.5675877919     23.575     10.525     -0.182   -0.207 
 486683.00    30.4783125629   114.5676952384     23.405     10.155     -0.008   -0.180 
 486684.00    30.4783131788   114.5677999536     23.234      9.935      0.103   -0.202 
 486685.00    30.4783144854   114.5679021771     23.064      9.697      0.172   -0.162 
 486686.00    30.4783174152   114.5680022035     22.884      9.532      0.432   -0.170 
 486687.00    30.4783227781   114.5681016053     22.714      9.526      0.694   -0.175 
 486688.00    30.4783301094   114.5682024744     22.558      9.865      0.857   -0.166 
 486689.00    30.4783368990   114.5683080249     22.391     10.432      0.643   -0.150 
 486690.00    30.4783411868   114.5684192900     22.226     10.991      0.361   -0.138 
 486691.00    30.4783428646   114.5685368124     22.038     11.562      0.104   -0.224 
 486692.00    30.4783428529   114.5686576951     21.838     11.637     -0.075   -0.184 
 486693.00    30.4783421857   114.5687814960     21.647     12.115     -0.080   -0.231 
 486694.00    30.4783411997   114.5689092750     21.423     12.521     -0.149   -0.225 
 486695.00    30.4783400268   114.5690416878     21.193     12.776     -0.114   -0.150 
 486696.00    30.4783394388   114.5691752070     20.979     12.860     -0.040   -0.213 
 486697.00    30.4783394378   114.5693109413     20.668     13.230      0.021   -0.441 
 486698.00    30.4783399189   114.5694500177     20.498     13.377      0.116   -0.284 
 486699.00    30.4783404449   114.5695885239     20.260     13.287      0.040   -0.256 
 486700.00    30.4783400190   114.5697271080     20.032     13.378     -0.107   -0.233 
 486701.00    30.4783384621   114.5698672927     19.807     13.580     -0.221   -0.230 
 486702.00    30.4783359004   114.5700098757     19.573     13.843     -0.298   -0.257 
 486703.00    30.4783339239   114.5701561272     19.323     14.266     -0.148   -0.254 
