   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 483829.00    30.4888621736   114.5587886217     27.126     10.313     -1.191    0.124 
 483830.00    30.4888492265   114.5588987985     27.249     10.902     -1.610    0.144 
 483831.00    30.4888335501   114.5590155137     27.407     11.543     -1.840    0.153 
 483832.00    30.4888163367   114.5591393976     27.543     12.248     -1.941    0.124 
 483833.00    30.4887983686   114.5592703256     27.687     12.905     -2.040    0.138 
 483834.00    30.4887793029   114.5594076482     27.842     13.480     -2.183    0.183 
 483835.00    30.4887592623   114.5595509332     27.980     13.931     -2.255    0.117 
 483836.00    30.4887385272   114.5596947185     28.083     13.626     -2.304    0.075 
 483837.00    30.4887178934   114.5598358856     28.153     13.579     -2.254    0.080 
 483838.00    30.4886978827   114.5599788924     28.217     13.947     -2.260    0.004 
 483839.00    30.4886769861   114.5601267409     28.261     14.454     -2.332    0.044 
 483840.00    30.4886558810   114.5602802242     28.303     14.969     -2.349    0.011 
 483841.00    30.4886344976   114.5604360687     28.324     14.866     -2.379   -0.007 
 483842.00    30.4886128035   114.5605890063     28.376     14.536     -2.409    0.025 
 483843.00    30.4885906637   114.5607396232     28.432     14.460     -2.505    0.076 
 483844.00    30.4885683136   114.5608904660     28.463     14.432     -2.454    0.027 
 483845.00    30.4885464681   114.5610396568     28.511     14.201     -2.385    0.031 
 483846.00    30.4885250745   114.5611868085     28.561     14.156     -2.359    0.020 
 483847.00    30.4885034222   114.5613350481     28.599     14.336     -2.407    0.050 
 483848.00    30.4884817933   114.5614855971     28.640     14.569     -2.393    0.072 
 483849.00    30.4884604860   114.5616385018     28.692     14.785     -2.360    0.073 
 483850.00    30.4884389902   114.5617939234     28.742     15.067     -2.441    0.053 
 483851.00    30.4884169309   114.5619524814     28.788     15.376     -2.453    0.050 
 483852.00    30.4883946952   114.5621137716     28.849     15.576     -2.475    0.046 
 483853.00    30.4883723429   114.5622764828     28.878     15.588     -2.472    0.033 
 483854.00    30.4883497133   114.5624376818     28.928     15.458     -2.566    0.015 
 483855.00    30.4883262358   114.5625972574     28.957     15.136     -2.602    0.055 
 483856.00    30.4883032887   114.5627528746     28.955     14.758     -2.499    0.001 
 483857.00    30.4882810861   114.5629044200     28.937     14.341     -2.440    0.008 
 483858.00    30.4882595388   114.5630495975     28.880     13.411     -2.323   -0.099 
 483859.00    30.4882390010   114.5631871609     28.838     12.996     -2.175   -0.060 
 483860.00    30.4882210143   114.5633201216     28.800     12.458     -1.813   -0.042 
 483861.00    30.4882075990   114.5634410302     28.767     10.899     -1.309   -0.025 
 483862.00    30.4881965292   114.5635525286     28.745     10.508     -1.242   -0.013 
 483863.00    30.4881839174   114.5636592799     28.719     10.037     -1.480   -0.045 
 483864.00    30.4881700313   114.5637611658     28.700      9.559     -1.553   -0.023 
 483865.00    30.4881559932   114.5638583588     28.683      9.125     -1.521   -0.015 
 483866.00    30.4881429111   114.5639508472     28.701      8.643     -1.365   -0.008 
 483867.00    30.4881333954   114.5640383550     28.728      7.957     -0.737    0.068 
 483868.00    30.4881318302   114.5641142719     28.863      6.413      0.217    0.196 
 483869.00    30.4881404842   114.5641758535     29.024      5.147      1.336    0.094 
 483870.00    30.4881580289   114.5642232451     29.180      3.585      2.086    0.156 
 483871.00    30.4881804277   114.5642555490     29.324      2.728      2.612    0.132 
 483872.00    30.4882100101   114.5642822608     29.470      2.325      3.748    0.158 
 483873.00    30.4882509128   114.5643036776     29.645      1.778      5.042    0.189 
 483874.00    30.4883005714   114.5643231222     29.840      1.973      5.877    0.207 
 483875.00    30.4883569268   114.5643452022     30.071      2.239      6.615    0.263 
 483876.00    30.4884193208   114.5643697484     30.332      2.455      7.231    0.246 
 483877.00    30.4884877436   114.5643963871     30.600      2.689      7.936    0.265 
 483878.00    30.4885620704   114.5644258838     30.907      2.930      8.509    0.363 
 483879.00    30.4886414689   114.5644583271     31.211      3.244      9.027    0.310 
 483880.00    30.4887217165   114.5644924024     31.508      3.311      8.741    0.335 
 483881.00    30.4887997185   114.5645267417     31.813      3.270      8.445    0.254 
 483882.00    30.4888729896   114.5645598767     32.040      3.096      7.769    0.220 
 483883.00    30.4889396663   114.5645915796     32.274      3.101      6.970    0.177 
 483884.00    30.4889972801   114.5646254318     32.507      3.344      5.846    0.237 
 483885.00    30.4890431344   114.5646610672     32.657      3.570      4.471    0.012 
 483886.00    30.4890762498   114.5646997715     32.676      3.869      3.071    0.020 
 483887.00    30.4890962845   114.5647405242     32.694      4.235      1.947    0.025 
 483888.00    30.4891093306   114.5647897199     32.740      5.415      1.247    0.054 
 483889.00    30.4891139157   114.5648494644     32.767      6.254      0.256    0.041 
 483890.00    30.4891116819   114.5649177361     32.781      7.064     -0.487    0.024 
 483891.00    30.4891042263   114.5649953127     32.794      7.954     -0.959    0.025 
 483892.00    30.4890946464   114.5650826541     32.828      8.841     -1.150    0.025 
 483893.00    30.4890828495   114.5651790761     32.855      9.707     -1.466    0.037 
 483894.00    30.4890670632   114.5652835496     32.905     10.421     -1.924    0.009 
 483895.00    30.4890485680   114.5653950895     32.939     10.963     -2.052    0.039 
 483896.00    30.4890317247   114.5655091236     33.004     10.832     -1.713    0.077 
 483897.00    30.4890166632   114.5656227228     33.095     10.967     -1.665    0.111 
 483898.00    30.4890022339   114.5657380479     33.208     11.245     -1.597    0.123 
 483899.00    30.4889875079   114.5658572149     33.323     11.605     -1.672    0.139 
 483900.00    30.4889718600   114.5659793770     33.460     11.837     -1.795    0.149 
 483901.00    30.4889548995   114.5661021460     33.612     11.566     -1.915    0.144 
 483902.00    30.4889382633   114.5662133344     33.738      9.667     -1.680    0.094 
 483903.00    30.4889252506   114.5663025043     33.839      7.359     -1.219    0.096 
 483904.00    30.4889165693   114.5663651995     33.907      4.574     -0.713    0.049 
 483905.00    30.4889125135   114.5663960775     33.945      1.433     -0.212    0.015 
 483906.00    30.4889120459   114.5663996066     33.961      0.004      0.007   -0.005 
 483907.00    30.4889120418   114.5663996490     33.963     -0.004     -0.012    0.025 
 483908.00    30.4889120412   114.5663996464     33.963      0.000      0.006   -0.011 
 483909.00    30.4889120338   114.5663996507     33.963      0.002     -0.011    0.019 
 483910.00    30.4889120279   114.5663996575     33.963      0.004      0.015   -0.029 
 483911.00    30.4889120209   114.5663996677     33.962     -0.003     -0.000   -0.001 
 483912.00    30.4889120143   114.5663996729     33.963     -0.001     -0.003    0.000 
 483913.00    30.4889120114   114.5663996787     33.962      0.002      0.016   -0.034 
 483914.00    30.4889120108   114.5663996764     33.962     -0.006     -0.014    0.028 
 483915.00    30.4889120177   114.5663996742     33.962      0.000      0.007   -0.009 
 483916.00    30.4889120276   114.5663996738     33.963      0.006      0.012   -0.019 
 483917.00    30.4889120310   114.5663996714     33.964      0.002     -0.012    0.028 
 483918.00    30.4889120362   114.5663996670     33.964      0.002      0.018   -0.032 
 483919.00    30.4889120412   114.5663996686     33.965      0.000      0.000   -0.001 
 483920.00    30.4889120431   114.5663996751     33.964      0.001      0.001   -0.003 
 483921.00    30.4889120410   114.5663996747     33.964      0.000     -0.002    0.001 
 483922.00    30.4889120366   114.5663996740     33.964      0.005     -0.004    0.007 
 483923.00    30.4889120306   114.5663996702     33.965      0.001     -0.004    0.009 
 483924.00    30.4889120285   114.5663996694     33.965     -0.003     -0.004    0.013 
 483925.00    30.4889120295   114.5663996649     33.966      0.001     -0.015    0.035 
 483926.00    30.4889120358   114.5663996631     33.967      0.003      0.006   -0.007 
 483927.00    30.4889120426   114.5663996614     33.967      0.000     -0.002    0.008 
 483928.00    30.4889120440   114.5663996576     33.967     -0.004     -0.008    0.014 
 483929.00    30.4889120388   114.5663996567     33.967     -0.005     -0.014    0.023 
 483930.00    30.4889120312   114.5663996558     33.967     -0.008     -0.010    0.013 
 483931.00    30.4889120242   114.5663996546     33.967      0.001     -0.004    0.008 
 483932.00    30.4889120205   114.5663996546     33.968      0.002      0.009   -0.017 
 483933.00    30.4889120216   114.5663996497     33.968      0.001      0.012   -0.019 
 483934.00    30.4889120259   114.5663996478     33.968      0.007     -0.002    0.010 
 483935.00    30.4889120301   114.5663996480     33.968     -0.002     -0.003    0.010 
 483936.00    30.4889120330   114.5663996537     33.968     -0.005     -0.009    0.014 
 483937.00    30.4889120309   114.5663996487     33.968     -0.005     -0.004    0.004 
 483938.00    30.4889119589   114.5664002477     33.971      0.349     -0.055   -0.017 
 483939.00    30.4889103943   114.5664122858     33.994      2.044     -0.303    0.019 
 483940.00    30.4889064683   114.5664426954     34.038      3.819     -0.567    0.053 
 483941.00    30.4889002838   114.5664907205     34.109      5.379     -0.803    0.078 
 483942.00    30.4888923573   114.5665491461     34.174      5.549     -0.891    0.063 
 483943.00    30.4888837947   114.5666069347     34.235      5.770     -1.016    0.067 
 483944.00    30.4888738141   114.5666710449     34.307      6.620     -1.176    0.096 
 483945.00    30.4888628245   114.5667441318     34.392      7.224     -1.221    0.087 
 483946.00    30.4888521105   114.5668176196     34.478      7.067     -1.183    0.108 
 483947.00    30.4888412750   114.5668941270     34.577      7.704     -1.234    0.123 
 483948.00    30.4888297871   114.5669778283     34.685      8.342     -1.295    0.097 
 483949.00    30.4888188649   114.5670683003     34.785      8.944     -1.158    0.157 
 483950.00    30.4888102752   114.5671645474     34.926      9.430     -0.935    0.152 
 483951.00    30.4888016971   114.5672643574     35.056      9.679     -0.961    0.126 
 483952.00    30.4887933415   114.5673633922     35.188      9.267     -0.921    0.144 
 483953.00    30.4887853724   114.5674587033     35.317      9.146     -0.878    0.124 
 483954.00    30.4887785309   114.5675528507     35.425      8.891     -0.635    0.118 
 483955.00    30.4887757857   114.5676452835     35.543      8.738     -0.035    0.158 
 483956.00    30.4887769423   114.5677368859     35.659      8.903      0.109    0.157 
 483957.00    30.4887774263   114.5678307727     35.814      9.149     -0.010    0.131 
 483958.00    30.4887764906   114.5679271775     35.947      9.291     -0.182    0.139 
 483959.00    30.4887730609   114.5680232736     36.088      9.323     -0.518    0.174 
 483960.00    30.4887668455   114.5681202662     36.224      9.332     -0.798    0.127 
 483961.00    30.4887585140   114.5682170190     36.365      9.374     -0.967    0.068 
 483962.00    30.4887483784   114.5683159844     36.487      9.644     -1.244    0.072 
 483963.00    30.4887356676   114.5684176186     36.593      9.902     -1.466    0.130 
 483964.00    30.4887219724   114.5685222018     36.711     10.178     -1.563    0.145 
 483965.00    30.4887074123   114.5686296997     36.822     10.471     -1.664    0.093 
 483966.00    30.4886916186   114.5687391897     36.903     10.406     -1.842    0.119 
 483967.00    30.4886748583   114.5688478666     37.000     10.564     -1.895    0.042 
 483968.00    30.4886577112   114.5689590823     37.079     10.767     -1.883    0.101 
 483969.00    30.4886404704   114.5690724273     37.152     10.992     -1.918    0.043 
 483970.00    30.4886233149   114.5691868327     37.203     10.900     -1.898    0.091 
 483971.00    30.4886068909   114.5693008022     37.258     11.012     -1.804    0.069 
 483972.00    30.4885907660   114.5694163078     37.311     11.125     -1.783    0.020 
 483973.00    30.4885743570   114.5695331151     37.356     11.342     -1.858    0.022 
 483974.00    30.4885572240   114.5696533295     37.382     11.752     -1.937    0.017 
 483975.00    30.4885398568   114.5697778849     37.404     12.133     -1.904   -0.002 
 483976.00    30.4885225802   114.5699058419     37.416     12.396     -1.906    0.009 
 483977.00    30.4885054461   114.5700361050     37.427     12.599     -1.883   -0.049 
 483978.00    30.4884879361   114.5701688537     37.420     12.924     -1.984    0.021 
 483979.00    30.4884695768   114.5703056600     37.398     13.363     -2.094   -0.016 
 483980.00    30.4884501723   114.5704467950     37.367     13.785     -2.192   -0.104 
 483981.00    30.4884294489   114.5705908002     37.333     13.782     -2.370    0.020 
 483982.00    30.4884086329   114.5707328376     37.262     13.509     -2.249   -0.053 
 483983.00    30.4883878864   114.5708721523     37.186     13.359     -2.388   -0.050 
 483984.00    30.4883658622   114.5710121133     37.099     13.534     -2.447   -0.103 
 483985.00    30.4883443101   114.5711546324     37.010     13.814     -2.349   -0.073 
 483986.00    30.4883238464   114.5712988526     36.915     13.772     -2.206   -0.091 
 483987.00    30.4883036979   114.5714431770     36.791     13.942     -2.240   -0.126 
 483988.00    30.4882841297   114.5715893745     36.647     14.074     -2.126   -0.131 
 483989.00    30.4882652472   114.5717370271     36.505     14.271     -2.116   -0.141 
 483990.00    30.4882456246   114.5718862948     36.343     14.415     -2.237   -0.182 
 483991.00    30.4882246850   114.5720370569     36.154     14.556     -2.381   -0.203 
 483992.00    30.4882024050   114.5721890398     35.961     14.617     -2.503   -0.248 
 483993.00    30.4881798006   114.5723416926     35.746     14.701     -2.509   -0.205 
 483994.00    30.4881573920   114.5724947314     35.521     14.705     -2.438   -0.356 
 483995.00    30.4881353279   114.5726477084     35.270     14.756     -2.439   -0.265 
 483996.00    30.4881132047   114.5728025509     35.008     14.884     -2.464   -0.258 
 483997.00    30.4880909338   114.5729572350     34.743     14.856     -2.483   -0.275 
 483998.00    30.4880687083   114.5731117031     34.466     14.857     -2.454   -0.254 
 483999.00    30.4880470779   114.5732665972     34.179     14.881     -2.365   -0.274 
 484000.00    30.4880257817   114.5734219033     33.901     14.933     -2.383   -0.283 
 484001.00    30.4880039023   114.5735787570     33.613     15.207     -2.466   -0.285 
 484002.00    30.4879812234   114.5737388979     33.321     15.507     -2.538   -0.299 
 484003.00    30.4879580224   114.5739020727     33.012     15.821     -2.605   -0.302 
 484004.00    30.4879344645   114.5740683092     32.699     16.107     -2.619   -0.353 
 484005.00    30.4879107433   114.5742375811     32.386     16.402     -2.626   -0.344 
 484006.00    30.4878869790   114.5744101014     32.056     16.705     -2.622   -0.360 
 484007.00    30.4878634909   114.5745859363     31.724     17.054     -2.623   -0.253 
 484008.00    30.4878396640   114.5747636620     31.418     16.986     -2.683   -0.330 
 484009.00    30.4878151076   114.5749396242     31.115     16.928     -2.752   -0.316 
 484010.00    30.4877899341   114.5751177489     30.786     17.290     -2.819   -0.340 
 484011.00    30.4877641617   114.5753000762     30.464     17.718     -2.891   -0.340 
 484012.00    30.4877373259   114.5754865537     30.107     18.084     -3.057   -0.326 
 484013.00    30.4877094100   114.5756766466     29.758     18.415     -3.160   -0.323 
 484014.00    30.4876807255   114.5758698632     29.400     18.625     -3.228   -0.331 
 484015.00    30.4876516399   114.5760630661     29.055     18.508     -3.220   -0.397 
 484016.00    30.4876226239   114.5762563487     28.693     18.615     -3.211   -0.377 
 484017.00    30.4875938639   114.5764503773     28.330     18.606     -3.145   -0.360 
 484018.00    30.4875657350   114.5766442220     27.971     18.625     -3.109   -0.347 
 484019.00    30.4875378476   114.5768378674     27.600     18.456     -3.081   -0.344 
 484020.00    30.4875104258   114.5770290208     27.242     18.222     -3.012   -0.345 
 484021.00    30.4874835895   114.5772174071     26.905     17.954     -2.895   -0.328 
 484022.00    30.4874575509   114.5774029884     26.564     17.694     -2.846   -0.269 
 484023.00    30.4874322679   114.5775858296     26.207     17.397     -2.788   -0.310 
 484024.00    30.4874073039   114.5777659433     25.875     17.186     -2.750   -0.355 
 484025.00    30.4873825357   114.5779433791     25.541     16.913     -2.749   -0.322 
 484026.00    30.4873578823   114.5781181294     25.243     16.653     -2.706   -0.342 
 484027.00    30.4873335227   114.5782902116     24.913     16.408     -2.711   -0.282 
 484028.00    30.4873089445   114.5784595386     24.604     16.124     -2.727   -0.314 
 484029.00    30.4872848633   114.5786263533     24.301     15.889     -2.656   -0.301 
 484030.00    30.4872610369   114.5787907124     23.995     15.704     -2.593   -0.342 
 484031.00    30.4872380927   114.5789526148     23.702     15.427     -2.527   -0.251 
 484032.00    30.4872159610   114.5791121208     23.468     15.202     -2.396   -0.256 
 484033.00    30.4871948010   114.5792689693     23.257     14.931     -2.298   -0.163 
 484034.00    30.4871743347   114.5794210882     23.074     14.062     -2.211   -0.192 
 484035.00    30.4871549693   114.5795598340     22.883     12.534     -2.063   -0.143 
 484036.00    30.4871375516   114.5796812675     22.741     10.742     -1.759   -0.114 
 484037.00    30.4871236836   114.5797834519     22.632      8.834     -1.352   -0.072 
 484038.00    30.4871129442   114.5798646805     22.548      6.742     -1.048   -0.066 
 484039.00    30.4871049954   114.5799228915     22.490      4.370     -0.695   -0.052 
 484040.00    30.4871005674   114.5799545682     22.457      1.901     -0.313   -0.013 
 484041.00    30.4870984891   114.5799690841     22.449      1.116     -0.179   -0.016 
 484042.00    30.4870973093   114.5799772403     22.442      0.426     -0.070    0.001 
 484043.00    30.4870971408   114.5799783741     22.445      0.002      0.001   -0.003 
 484044.00    30.4870971373   114.5799783712     22.445     -0.001      0.004   -0.012 
 484045.00    30.4870971306   114.5799783728     22.445     -0.000     -0.008    0.017 
 484046.00    30.4870971247   114.5799783730     22.445     -0.000     -0.004    0.008 
 484047.00    30.4870971240   114.5799783742     22.444     -0.002     -0.012    0.030 
 484048.00    30.4870971267   114.5799783767     22.444      0.005      0.017   -0.033 
 484049.00    30.4870971245   114.5799784587     22.444      0.060     -0.009    0.004 
 484050.00    30.4870967529   114.5799810276     22.442      0.518     -0.086   -0.007 
 484051.00    30.4870954827   114.5799898391     22.432      1.149     -0.193   -0.017 
 484052.00    30.4870933737   114.5800042531     22.417      1.586     -0.272   -0.002 
 484053.00    30.4870905624   114.5800232539     22.398      2.321     -0.396   -0.011 
 484054.00    30.4870864318   114.5800514130     22.376      2.941     -0.503   -0.012 
 484055.00    30.4870816069   114.5800845929     22.349      3.419     -0.586    0.012 
 484056.00    30.4870758882   114.5801249587     22.324      4.364     -0.709   -0.013 
 484057.00    30.4870691290   114.5801752313     22.279      5.216     -0.762   -0.108 
 484058.00    30.4870619215   114.5802333294     22.238      6.003     -0.848   -0.059 
 484059.00    30.4870532980   114.5803024763     22.204      7.280     -1.058   -0.086 
 484060.00    30.4870425823   114.5803841790     22.206      8.397     -1.293    0.029 
 484061.00    30.4870299753   114.5804771063     22.202      9.438     -1.505   -0.059 
 484062.00    30.4870153476   114.5805804773     22.165     10.419     -1.731   -0.072 
 484063.00    30.4869983717   114.5806937586     22.103     11.335     -1.995   -0.071 
 484064.00    30.4869791514   114.5808163287     22.043     12.206     -2.212   -0.021 
 484065.00    30.4869588605   114.5809475621     22.058     12.974     -2.282    0.069 
 484066.00    30.4869383985   114.5810866714     22.055     13.630     -2.279   -0.025 
 484067.00    30.4869183843   114.5812282716     22.067     13.484     -2.159    0.014 
 484068.00    30.4868987096   114.5813681087     22.115     13.470     -2.222    0.018 
 484069.00    30.4868782452   114.5815094744     22.214     13.733     -2.265    0.022 
 484070.00    30.4868575252   114.5816543800     22.297     13.988     -2.277    0.167 
 484071.00    30.4868370100   114.5817992553     22.370     13.938     -2.278    0.144 
 484072.00    30.4868161060   114.5819445887     22.469     14.001     -2.373    0.108 
 484073.00    30.4867948426   114.5820891663     22.560     13.869     -2.302    0.102 
 484074.00    30.4867746262   114.5822325611     22.638     13.773     -2.196    0.044 
 484075.00    30.4867549312   114.5823767774     22.761     13.938     -2.158    0.083 
 484076.00    30.4867357377   114.5825237444     22.814     14.249     -2.087    0.064 
 484077.00    30.4867175852   114.5826735416     22.897     14.444     -1.969    0.085 
 484078.00    30.4867002032   114.5828247016     23.041     14.577     -1.884    0.094 
 484079.00    30.4866838218   114.5829777398     23.132     14.829     -1.737   -0.047 
 484080.00    30.4866677687   114.5831333110     23.217     15.022     -1.818    0.131 
 484081.00    30.4866511172   114.5832899916     23.360     15.107     -1.852    0.025 
 484082.00    30.4866346915   114.5834478044     23.468     15.160     -1.795    0.145 
 484083.00    30.4866188009   114.5836042102     23.599     14.997     -1.749    0.083 
 484084.00    30.4866032803   114.5837612565     23.706     15.187     -1.687    0.079 
 484085.00    30.4865884874   114.5839188121     23.812     14.982     -1.564    0.058 
 484086.00    30.4865749683   114.5840737334     23.907     14.776     -1.466    0.137 
 484087.00    30.4865624994   114.5842267715     24.009     14.592     -1.336    0.066 
 484088.00    30.4865508260   114.5843779700     24.109     14.401     -1.226    0.080 
 484089.00    30.4865400868   114.5845276045     24.217     14.283     -1.132    0.068 
 484090.00    30.4865305795   114.5846760412     24.301     14.202     -0.959    0.109 
 484091.00    30.4865219323   114.5848231019     24.414     14.026     -0.929    0.077 
 484092.00    30.4865138137   114.5849680138     24.502     13.822     -0.875    0.095 
 484093.00    30.4865061111   114.5851118124     24.593     13.781     -0.817    0.111 
 484094.00    30.4864988235   114.5852536672     24.716     13.396     -0.775    0.157 
 484095.00    30.4864922155   114.5853914497     24.833     13.072     -0.682    0.114 
 484096.00    30.4864859283   114.5855276355     24.935     13.113     -0.667    0.096 
 484097.00    30.4864799707   114.5856648397     25.016     13.209     -0.644    0.113 
 484098.00    30.4864744717   114.5858026425     25.100     13.282     -0.624    0.175 
 484099.00    30.4864706853   114.5859412869     25.185     13.378     -0.356    0.111 
 484100.00    30.4864680930   114.5860805860     25.282     13.370     -0.296    0.101 
 484101.00    30.4864653251   114.5862199569     25.379     13.467     -0.329   -0.024 
 484102.00    30.4864623782   114.5863596318     25.465     13.421     -0.313    0.066 
 484103.00    30.4864602768   114.5864985222     25.559     13.250     -0.142    0.129 
 484104.00    30.4864599859   114.5866369861     25.657     13.325     -0.034    0.083 
 484105.00    30.4864596606   114.5867756469     25.761     13.290     -0.095    0.102 
 484106.00    30.4864590928   114.5869136734     25.846     13.214     -0.039    0.115 
 484107.00    30.4864591813   114.5870518751     25.921     13.321      0.024    0.102 
 484108.00    30.4864599863   114.5871918780     26.024     13.589      0.132    0.059 
 484109.00    30.4864614150   114.5873345064     26.110     13.757      0.200    0.067 
 484110.00    30.4864634079   114.5874774941     26.205     13.681      0.176    0.278 
 484111.00    30.4864657391   114.5876208659     26.305     13.759      0.237    0.151 
 484112.00    30.4864683644   114.5877643893     26.401     13.845      0.293    0.144 
 484113.00    30.4864715166   114.5879096399     26.495     14.054      0.364    0.088 
 484114.00    30.4864753989   114.5880570547     26.615     14.190      0.472    0.182 
 484115.00    30.4864803839   114.5882043418     26.717     14.118      0.594    0.092 
 484116.00    30.4864858145   114.5883523998     26.807     14.309      0.593    0.100 
 484117.00    30.4864912646   114.5885024564     26.907     14.505      0.635    0.142 
 484118.00    30.4864972701   114.5886545262     27.017     14.694      0.728    0.022 
 484119.00    30.4865037420   114.5888087262     27.095     14.925      0.738    0.088 
 484120.00    30.4865104252   114.5889648077     27.156     15.053      0.868   -0.065 
 484121.00    30.4865181581   114.5891203261     27.202     14.852      0.915    0.131 
 484122.00    30.4865277566   114.5892747813     27.255     14.808      1.170   -0.023 
 484123.00    30.4865386716   114.5894284775     27.285     14.646      1.221    0.049 
 484124.00    30.4865499727   114.5895796890     27.294     14.321      1.277    0.071 
 484125.00    30.4865618697   114.5897273878     27.282     14.130      1.323    0.016 
 484126.00    30.4865739578   114.5898736553     27.259     13.931      1.387   -0.139 
 484127.00    30.4865866793   114.5900186851     27.197     13.887      1.496   -0.122 
 484128.00    30.4866021033   114.5901618911     27.160     13.604      1.870   -0.082 
 484129.00    30.4866199143   114.5903034828     27.097     13.588      2.071   -0.075 
 484130.00    30.4866381830   114.5904446110     27.024     13.441      1.921   -0.096 
 484131.00    30.4866549093   114.5905849833     26.931     13.571      1.836   -0.137 
 484132.00    30.4866710524   114.5907275241     26.823     13.724      1.770   -0.146 
 484133.00    30.4866861541   114.5908711627     26.693     13.858      1.673   -0.127 
 484134.00    30.4867016226   114.5910156586     26.535     13.874      1.777   -0.160 
