   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 486548.00    30.4871450929   114.5638117387     26.461     -2.755     -8.008   -0.109 
 486549.00    30.4870703687   114.5637812879     26.333     -3.032     -8.564   -0.108 
 486550.00    30.4869929714   114.5637490342     26.182     -3.124     -8.608   -0.155 
 486551.00    30.4869144563   114.5637159401     26.035     -3.230     -8.817   -0.134 
 486552.00    30.4868340054   114.5636822576     25.885     -3.221     -9.027   -0.106 
 486553.00    30.4867518870   114.5636493308     25.752     -3.143     -9.184   -0.114 
 486554.00    30.4866681895   114.5636176751     25.606     -2.984     -9.398   -0.154 
 486555.00    30.4865816908   114.5635883750     25.440     -2.751     -9.742   -0.177 
 486556.00    30.4864928495   114.5635631368     25.280     -2.262     -9.923   -0.158 
 486557.00    30.4864021389   114.5635435542     25.120     -1.719    -10.193   -0.165 
 486558.00    30.4863087170   114.5635292323     24.945     -1.223    -10.500   -0.166 
 486559.00    30.4862128013   114.5635192839     24.764     -0.861    -10.749   -0.198 
 486560.00    30.4861148783   114.5635117376     24.594     -0.646    -10.973   -0.167 
 486561.00    30.4860151167   114.5635074208     24.436     -0.296    -11.102   -0.185 
 486562.00    30.4859154743   114.5635071781     24.264      0.119    -11.021   -0.196 
 486563.00    30.4858160492   114.5635113346     24.079      0.549    -11.059   -0.205 
 486564.00    30.4857151642   114.5635195462     23.897      0.894    -11.300   -0.166 
 486565.00    30.4856126851   114.5635308655     23.744      1.185    -11.421   -0.166 
 486566.00    30.4855085891   114.5635446011     23.557      1.385    -11.690   -0.205 
 486567.00    30.4854021838   114.5635597566     23.399      1.487    -11.874   -0.096 
 486568.00    30.4852946355   114.5635752644     23.341      1.471    -11.987   -0.087 
 486569.00    30.4851862960   114.5635891351     23.219      1.265    -12.021   -0.098 
 486570.00    30.4850785758   114.5636009773     23.134      1.069    -11.804   -0.127 
 486571.00    30.4849726935   114.5636133170     23.065      1.175    -11.676   -0.027 
 486572.00    30.4848676797   114.5636269538     23.017      1.359    -11.637   -0.024 
 486573.00    30.4847624959   114.5636415829     23.006      1.421    -11.712    0.002 
 486574.00    30.4846561600   114.5636563732     22.965      1.412    -11.872   -0.044 
 486575.00    30.4845490080   114.5636702200     22.910      1.260    -11.848   -0.042 
 486576.00    30.4844421535   114.5636822651     22.868      1.110    -11.891   -0.007 
 486577.00    30.4843344465   114.5636933747     22.858      1.049    -11.966   -0.015 
 486578.00    30.4842265764   114.5637037783     22.841      0.989    -11.952   -0.022 
 486579.00    30.4841188817   114.5637150814     22.790      1.139    -11.963    0.016 
 486580.00    30.4840112225   114.5637277837     22.777      1.254    -11.944   -0.010 
 486581.00    30.4839034647   114.5637419279     22.753      1.434    -11.969    0.049 
 486582.00    30.4837958165   114.5637576345     22.745      1.503    -11.932    0.031 
 486583.00    30.4836898757   114.5637720371     22.763      1.333    -11.543    0.029 
 486584.00    30.4835876669   114.5637845660     22.772      1.121    -11.069   -0.059 
 486585.00    30.4834903051   114.5637954992     22.802      1.016    -10.468   -0.005 
 486586.00    30.4833985248   114.5638056900     22.800      0.948     -9.818   -0.005 
 486587.00    30.4833161188   114.5638148866     22.816      0.798     -8.408    0.010 
 486588.00    30.4832442214   114.5638231055     22.834      0.772     -7.692   -0.008 
 486589.00    30.4831774889   114.5638309109     22.842      0.747     -7.097    0.007 
 486590.00    30.4831167408   114.5638399565     22.856      0.851     -6.236    0.019 
 486591.00    30.4830681946   114.5638485971     22.868      0.749     -4.765   -0.009 
 486592.00    30.4830284533   114.5638570152     22.867      0.778     -4.197    0.014 
 486593.00    30.4829879700   114.5638699786     22.864      1.416     -4.675    0.086 
 486594.00    30.4829484767   114.5638927704     22.950      2.329     -4.196    0.089 
 486595.00    30.4829146369   114.5639299670     23.033      3.916     -3.651    0.052 
 486596.00    30.4828866495   114.5639830970     23.081      5.509     -3.007    0.048 
 486597.00    30.4828632590   114.5640482804     23.138      6.602     -2.340    0.051 
 486598.00    30.4828477181   114.5641244159     23.231      7.647     -1.522    0.113 
 486599.00    30.4828349163   114.5642085928     23.328      8.427     -1.434    0.071 
 486600.00    30.4828216151   114.5642997243     23.425      9.026     -1.537    0.130 
 486601.00    30.4828070015   114.5643959518     23.562      9.422     -1.702    0.141 
 486602.00    30.4827901353   114.5644922132     23.686      9.049     -1.998    0.136 
 486603.00    30.4827704133   114.5645842402     23.800      8.714     -2.287    0.110 
 486604.00    30.4827496363   114.5646739299     23.911      8.538     -2.275    0.154 
 486605.00    30.4827303168   114.5647644377     24.052      8.858     -2.108    0.119 
 486606.00    30.4827106293   114.5648560687     24.131      8.679     -2.192    0.026 
 486607.00    30.4826919013   114.5649438916     24.204      8.201     -2.059    0.101 
 486608.00    30.4826715924   114.5650269147     24.331      7.929     -2.402    0.152 
 486609.00    30.4826484097   114.5651086704     24.445      7.883     -2.598    0.105 
 486610.00    30.4826268229   114.5651920132     24.536      8.046     -2.179    0.076 
 486611.00    30.4826095413   114.5652777526     24.627      8.297     -1.808    0.092 
 486612.00    30.4825945767   114.5653651935     24.720      8.412     -1.550    0.083 
 486613.00    30.4825816007   114.5654514958     24.821      8.035     -1.417    0.128 
 486614.00    30.4825681943   114.5655317885     24.949      7.394     -1.540    0.130 
 486615.00    30.4825537085   114.5656045515     25.065      6.616     -1.620    0.105 
 486616.00    30.4825375596   114.5656690159     25.152      5.853     -1.872    0.089 
 486617.00    30.4825180317   114.5657238262     25.238      4.902     -2.322    0.097 
 486618.00    30.4824919838   114.5657685171     25.325      4.219     -3.117    0.067 
 486619.00    30.4824586364   114.5658062976     25.388      3.577     -3.970    0.053 
 486620.00    30.4824175077   114.5658356381     25.399      2.788     -4.934    0.028 
 486621.00    30.4823673148   114.5658567036     25.418      1.990     -6.018    0.047 
 486622.00    30.4823082784   114.5658738976     25.449      1.677     -7.027    0.003 
 486623.00    30.4822398220   114.5658879893     25.448      1.270     -8.095   -0.012 
 486624.00    30.4821622389   114.5658979283     25.437      0.959     -9.051    0.015 
 486625.00    30.4820766777   114.5659087347     25.413      1.113     -9.896    0.019 
 486626.00    30.4819838815   114.5659214376     25.398      1.315    -10.672   -0.110 
 486627.00    30.4818843155   114.5659368789     25.353      1.616    -11.390    0.007 
 486628.00    30.4817786505   114.5659554081     25.315      1.868    -12.048    0.002 
 486629.00    30.4816670497   114.5659752871     25.303      1.907    -12.694   -0.014 
 486630.00    30.4815495959   114.5659949324     25.272      1.877    -13.343   -0.018 
 486631.00    30.4814264076   114.5660136365     25.264      1.747    -13.960   -0.021 
 486632.00    30.4812978827   114.5660314253     25.302      1.748    -14.511    0.067 
 486633.00    30.4811647981   114.5660500171     25.361      1.806    -15.003    0.060 
 486634.00    30.4810273821   114.5660689284     25.451      1.828    -15.476    0.140 
 486635.00    30.4808858097   114.5660880161     25.530      1.858    -15.928    0.093 
 486636.00    30.4807423171   114.5661069084     25.586      1.782    -15.775    0.031 
 486637.00    30.4806017755   114.5661251120     25.667      1.734    -15.347    0.001 
 486638.00    30.4804650177   114.5661433114     25.664      1.721    -14.962    0.041 
 486639.00    30.4803313703   114.5661611313     25.691      1.699    -14.715   -0.028 
 486640.00    30.4801993168   114.5661787267     25.683      1.702    -14.545   -0.083 
 486641.00    30.4800686586   114.5661963293     25.647      1.687    -14.415   -0.036 
 486642.00    30.4799392531   114.5662139741     25.597      1.696    -14.287   -0.077 
 486643.00    30.4798109236   114.5662322239     25.579      1.790    -14.181   -0.020 
 486644.00    30.4796834330   114.5662511513     25.529      1.802    -14.087   -0.048 
 486645.00    30.4795569212   114.5662693874     25.501      1.723    -13.898   -0.029 
 486646.00    30.4794333130   114.5662874609     25.527      1.746    -13.523    0.012 
 486647.00    30.4793131992   114.5663056445     25.527      1.741    -13.091    0.010 
 486648.00    30.4791975721   114.5663232534     25.509      1.623    -12.442   -0.039 
 486649.00    30.4790905824   114.5663386777     25.495      1.390    -11.436   -0.045 
 486650.00    30.4789916913   114.5663522264     25.539      1.214    -10.311    0.048 
 486651.00    30.4789058667   114.5663643674     25.514      1.089     -8.730   -0.033 
 486652.00    30.4788335286   114.5663752591     25.516      0.970     -7.444    0.003 
 486653.00    30.4787719234   114.5663852320     25.499      0.880     -6.072   -0.031 
 486654.00    30.4787249816   114.5663944434     25.472      0.771     -4.328    0.001 
 486655.00    30.4786904937   114.5664028035     25.478      0.721     -3.402    0.028 
 486656.00    30.4786640981   114.5664107757     25.494      0.658     -2.586    0.031 
 486657.00    30.4786409243   114.5664194262     25.511      0.795     -2.567    0.013 
 486658.00    30.4786200265   114.5664296103     25.540      0.882     -2.158   -0.011 
 486659.00    30.4786026083   114.5664416443     25.553      1.002     -1.794    0.005 
