   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 483829.00    30.4888585693   114.5587819627     27.671     10.270     -1.205    0.144 
 483830.00    30.4888458078   114.5588920201     27.795     10.888     -1.626    0.137 
 483831.00    30.4888301832   114.5590086884     27.951     11.538     -1.850    0.145 
 483832.00    30.4888129705   114.5591325833     28.089     12.258     -1.927    0.132 
 483833.00    30.4887949909   114.5592635326     28.234     12.899     -2.049    0.132 
 483834.00    30.4887759445   114.5594008342     28.389     13.480     -2.189    0.174 
 483835.00    30.4887558977   114.5595441413     28.529     13.919     -2.247    0.139 
 483836.00    30.4887351879   114.5596879485     28.636     13.620     -2.302    0.084 
 483837.00    30.4887145445   114.5598291188     28.705     13.579     -2.270    0.059 
 483838.00    30.4886945109   114.5599721424     28.770     13.953     -2.247    0.016 
 483839.00    30.4886736222   114.5601199774     28.813     14.442     -2.324    0.065 
 483840.00    30.4886524838   114.5602734955     28.856     14.966     -2.333    0.034 
 483841.00    30.4886311415   114.5604293600     28.882     14.854     -2.390   -0.010 
 483842.00    30.4886094542   114.5605822592     28.930     14.532     -2.405    0.034 
 483843.00    30.4885873427   114.5607328368     28.984     14.468     -2.525    0.043 
 483844.00    30.4885649922   114.5608837043     29.018     14.430     -2.455    0.028 
 483845.00    30.4885431450   114.5610328882     29.065     14.202     -2.376    0.042 
 483846.00    30.4885217401   114.5611800345     29.113     14.156     -2.347    0.035 
 483847.00    30.4885000854   114.5613282852     29.153     14.320     -2.416    0.053 
 483848.00    30.4884784386   114.5614788342     29.192     14.574     -2.396    0.063 
 483849.00    30.4884571057   114.5616317602     29.244     14.785     -2.380    0.046 
 483850.00    30.4884356392   114.5617871674     29.295     15.068     -2.448    0.043 
 483851.00    30.4884135479   114.5619457256     29.339     15.379     -2.458    0.042 
 483852.00    30.4883913039   114.5621070191     29.400     15.578     -2.466    0.056 
 483853.00    30.4883689602   114.5622697743     29.435     15.567     -2.490    0.029 
 483854.00    30.4883463683   114.5624309418     29.484     15.440     -2.571    0.024 
 483855.00    30.4883229170   114.5625905016     29.513     15.135     -2.622    0.028 
 483856.00    30.4882999564   114.5627461266     29.510     14.759     -2.500   -0.001 
 483857.00    30.4882777434   114.5628976911     29.494     14.345     -2.451   -0.011 
 483858.00    30.4882562177   114.5630428992     29.442     13.411     -2.317   -0.092 
 483859.00    30.4882356248   114.5631804371     29.393     12.991     -2.155   -0.029 
 483860.00    30.4882175427   114.5633134836     29.358     12.480     -1.787   -0.027 
