
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
473203.000    30.4888486106   114.5589082366     27.237     -1.007      7.070    0.141 
473204.000    30.4888390865   114.5589824564     27.335     -1.097      7.223    0.100 
473205.000    30.4888287363   114.5590581568     27.423     -1.189      7.350    0.117 
473206.000    30.4888178967   114.5591352550     27.513     -1.224      7.511    0.106 
473207.000    30.4888065829   114.5592149749     27.603     -1.278      7.804    0.109 
473208.000    30.4887949800   114.5592968248     27.692     -1.289      7.859    0.093 
473209.000    30.4887834944   114.5593785403     27.780     -1.273      7.853    0.104 
473210.000    30.4887720416   114.5594601971     27.868     -1.272      7.854    0.100 
473211.000    30.4887605952   114.5595420542     27.943     -1.275      7.891    0.086 
473212.000    30.4887489649   114.5596251545     28.016     -1.305      8.096    0.073 
473213.000    30.4887369884   114.5597104924     28.073     -1.348      8.293    0.066 
473214.000    30.4887246701   114.5597970427     28.111     -1.378      8.316    0.041 
473215.000    30.4887121223   114.5598836788     28.143     -1.400      8.328    0.056 
473216.000    30.4886994078   114.5599703456     28.180     -1.405      8.337    0.016 
473217.000    30.4886866933   114.5600573095     28.192     -1.407      8.383    0.036 
473218.000    30.4886739829   114.5601446352     28.232     -1.401      8.418    0.007 
473219.000    30.4886613618   114.5602326232     28.254     -1.408      8.490    0.059 
473220.000    30.4886487316   114.5603216187     28.271     -1.408      8.607    0.044 
473221.000    30.4886360773   114.5604119018     28.290     -1.393      8.736    0.015 
473222.000    30.4886233061   114.5605035119     28.314     -1.423      8.866    0.029 
473223.000    30.4886103078   114.5605963923     28.345     -1.447      8.978   -0.006 
473224.000    30.4885970742   114.5606904178     28.387     -1.481      9.083    0.011 
473225.000    30.4885834899   114.5607856294     28.412     -1.520      9.210   -0.026 
473226.000    30.4885696407   114.5608820971     28.434     -1.535      9.310    0.012 
473227.000    30.4885557356   114.5609797497     28.468     -1.538      9.418    0.002 
473228.000    30.4885419546   114.5610785933     28.499     -1.508      9.513    0.003 
473229.000    30.4885281761   114.5611788102     28.531     -1.556      9.740    0.027 
473230.000    30.4885138527   114.5612817113     28.562     -1.611     10.021    0.017 
473231.000    30.4884989380   114.5613874639     28.593     -1.691     10.279    0.044 
473232.000    30.4884833673   114.5614958597     28.620     -1.767     10.526    0.076 
473233.000    30.4884673644   114.5616066886     28.655     -1.786     10.758    0.014 
473234.000    30.4884512063   114.5617189765     28.692     -1.803     10.781    0.029 
473235.000    30.4884349216   114.5618308947     28.720     -1.793     10.731    0.025 
473236.000    30.4884189394   114.5619427156     28.758     -1.767     10.778    0.065 
473237.000    30.4884032171   114.5620552570     28.797     -1.739     10.843    0.044 
473238.000    30.4883876809   114.5621686294     28.827     -1.724     10.918    0.046 
473239.000    30.4883720898   114.5622828979     28.853     -1.752     11.015    0.013 
473240.000    30.4883560016   114.5623979132     28.896     -1.793     11.058    0.007 
473241.000    30.4883395438   114.5625126099     28.917     -1.837     10.939    0.040 
473242.000    30.4883229330   114.5626256255     28.930     -1.832     10.769    0.008 
473243.000    30.4883066678   114.5627368320     28.925     -1.786     10.594    0.022 
473244.000    30.4882908578   114.5628459473     28.916     -1.722     10.380    0.013 
473245.000    30.4882753802   114.5629528812     28.901     -1.697     10.165   -0.028 
473246.000    30.4882601850   114.5630578585     28.853     -1.676     10.011   -0.048 
473247.000    30.4882452520   114.5631614730     28.819     -1.628      9.888   -0.063 
473248.000    30.4882310785   114.5632640561     28.787     -1.495      9.723   -0.049 
473249.000    30.4882183489   114.5633635232     28.765     -1.342      9.344   -0.027 
473250.000    30.4882070942   114.5634588328     28.737     -1.206      8.927   -0.001 
473251.000    30.4881967423   114.5635495936     28.713     -1.123      8.490    0.001 
473252.000    30.4881866936   114.5636354641     28.698     -1.101      8.016   -0.011 
473253.000    30.4881766300   114.5637161371     28.676     -1.102      7.492   -0.011 
473254.000    30.4881666064   114.5637912617     28.657     -1.100      6.947   -0.007 
473255.000    30.4881569261   114.5638604417     28.652     -1.028      6.343   -0.025 
473256.000    30.4881480376   114.5639232580     28.664     -0.929      5.701    0.020 
473257.000    30.4881400906   114.5639789520     28.675     -0.821      4.993   -0.015 
473258.000    30.4881332024   114.5640285230     28.694     -0.708      4.645    0.034 
