
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
473203.000    30.4888480745   114.5589081505     27.237     -1.008      7.070    0.140 
473204.000    30.4888385513   114.5589823638     27.335     -1.097      7.223    0.099 
473205.000    30.4888282018   114.5590580589     27.423     -1.189      7.350    0.116 
473206.000    30.4888173624   114.5591351549     27.513     -1.225      7.511    0.105 
473207.000    30.4888060487   114.5592148743     27.603     -1.279      7.804    0.110 
473208.000    30.4887944458   114.5592967244     27.692     -1.289      7.859    0.092 
473209.000    30.4887829601   114.5593784405     27.780     -1.274      7.853    0.104 
473210.000    30.4887715073   114.5594600977     27.868     -1.273      7.854    0.099 
473211.000    30.4887600608   114.5595419554     27.942     -1.275      7.891    0.085 
473212.000    30.4887484305   114.5596250556     28.015     -1.306      8.096    0.074 
473213.000    30.4887364541   114.5597103928     28.073     -1.348      8.293    0.064 
473214.000    30.4887241360   114.5597969412     28.111     -1.379      8.316    0.042 
473215.000    30.4887115885   114.5598835755     28.143     -1.401      8.328    0.055 
473216.000    30.4886988741   114.5599702417     28.180     -1.404      8.337    0.014 
473217.000    30.4886861596   114.5600572055     28.192     -1.407      8.383    0.035 
473218.000    30.4886734491   114.5601445324     28.231     -1.401      8.418    0.006 
473219.000    30.4886608278   114.5602325217     28.254     -1.408      8.490    0.059 
473220.000    30.4886481974   114.5603215184     28.271     -1.408      8.607    0.044 
473221.000    30.4886355429   114.5604118028     28.289     -1.393      8.736    0.014 
473222.000    30.4886227717   114.5605034133     28.314     -1.423      8.866    0.029 
473223.000    30.4886097734   114.5605962930     28.345     -1.447      8.978   -0.006 
473224.000    30.4885965400   114.5606903174     28.387     -1.480      9.083    0.011 
473225.000    30.4885829559   114.5607855279     28.411     -1.520      9.210   -0.027 
473226.000    30.4885691067   114.5608819954     28.434     -1.535      9.310    0.013 
473227.000    30.4885552014   114.5609796491     28.468     -1.537      9.418    0.003 
