
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
473203.000    30.4888453052   114.5589015612     27.803     -1.024      7.073    0.117 
473204.000    30.4888358503   114.5589757655     27.904     -1.100      7.224    0.095 
473205.000    30.4888255463   114.5590514427     27.993     -1.206      7.360    0.085 
473206.000    30.4888147245   114.5591285074     28.081     -1.231      7.516    0.093 
473207.000    30.4888034063   114.5592082214     28.169     -1.285      7.788    0.115 
473208.000    30.4887918001   114.5592900783     28.259     -1.291      7.867    0.083 
473209.000    30.4887803173   114.5593718015     28.348     -1.284      7.849    0.095 
473210.000    30.4887688563   114.5594534804     28.437     -1.283      7.859    0.082 
473211.000    30.4887573878   114.5595353411     28.511     -1.281      7.901    0.070 
473212.000    30.4887457414   114.5596184376     28.583     -1.313      8.077    0.079 
473213.000    30.4887337789   114.5597037684     28.641     -1.352      8.309    0.046 
473214.000    30.4887214815   114.5597903446     28.683     -1.389      8.301    0.040 
473215.000    30.4887089655   114.5598769809     28.717     -1.410      8.327    0.044 
473216.000    30.4886962406   114.5599636533     28.754     -1.393      8.351    0.019 
473217.000    30.4886835515   114.5600506054     28.766     -1.408      8.382    0.035 
473218.000    30.4886708212   114.5601379428     28.806     -1.397      8.429    0.001 
473219.000    30.4886582014   114.5602259247     28.828     -1.418      8.494    0.043 
473220.000    30.4886455469   114.5603149424     28.845     -1.416      8.609    0.032 
473221.000    30.4886328811   114.5604052561     28.866     -1.388      8.746    0.011 
473222.000    30.4886200963   114.5604968374     28.886     -1.424      8.868    0.026 
473223.000    30.4886071025   114.5605897206     28.918     -1.440      8.981    0.001 
473224.000    30.4885938957   114.5606837291     28.960     -1.478      9.090    0.009 
473225.000    30.4885803061   114.5607789343     28.984     -1.503      9.218   -0.011 
473226.000    30.4885664590   114.5608754081     29.007     -1.535      9.302    0.020 
473227.000    30.4885525488   114.5609730461     29.040     -1.525      9.419    0.018 
473228.000    30.4885387486   114.5610719183     29.072     -1.493      9.497    0.038 
473229.000    30.4885249672   114.5611721239     29.102     -1.557      9.741    0.025 
473230.000    30.4885106445   114.5612750151     29.132     -1.603     10.019    0.030 
473231.000    30.4884957566   114.5613807687     29.166     -1.691     10.282    0.040 
473232.000    30.4884801996   114.5614891511     29.192     -1.783     10.530    0.051 
473233.000    30.4884641872   114.5615999968     29.228     -1.779     10.767    0.015 
473234.000    30.4884480562   114.5617122757     29.266     -1.807     10.786    0.019 
473235.000    30.4884317710   114.5618242104     29.295     -1.793     10.740    0.019 
473236.000    30.4884157517   114.5619360168     29.329     -1.777     10.802    0.030 
473237.000    30.4883999979   114.5620485919     29.370     -1.743     10.853    0.029 
473238.000    30.4883844656   114.5621619819     29.402     -1.730     10.923    0.035 
473239.000    30.4883688849   114.5622762353     29.427     -1.754     11.013    0.011 
473240.000    30.4883528045   114.5623912207     29.468     -1.782     11.049    0.029 
473241.000    30.4883363696   114.5625059225     29.491     -1.845     10.944    0.025 
473242.000    30.4883197637   114.5626189401     29.505     -1.823     10.784    0.006 
473243.000    30.4883034972   114.5627301620     29.501     -1.796     10.614   -0.008 
473244.000    30.4882876835   114.5628392904     29.493     -1.720     10.384    0.012 
473245.000    30.4882721784   114.5629462298     29.476     -1.699     10.153   -0.020 
473246.000    30.4882569993   114.5630512072     29.430     -1.676     10.030   -0.065 
473247.000    30.4882420293   114.5631548269     29.394     -1.613      9.898   -0.052 
473248.000    30.4882278355   114.5632574540     29.365     -1.481      9.722   -0.030 
473249.000    30.4882150698   114.5633569571     29.344     -1.338      9.348   -0.025 
473250.000    30.4882037601   114.5634523135     29.317     -1.214      8.945   -0.028 
473251.000    30.4881934103   114.5635430846     29.295     -1.131      8.484   -0.004 
473252.000    30.4881833944   114.5636289307     29.279     -1.096      8.027   -0.015 
473253.000    30.4881734125   114.5637095737     29.260     -1.108      7.475   -0.004 
473254.000    30.4881634636   114.5637846874     29.245     -1.109      6.942   -0.014 
473255.000    30.4881537755   114.5638538285     29.235     -1.024      6.342   -0.018 
473256.000    30.4881448851   114.5639166171     29.244     -0.922      5.708    0.023 
473257.000    30.4881369225   114.5639723110     29.254     -0.818      5.007   -0.023 
473258.000    30.4881299661   114.5640218545     29.266     -0.697      4.662    0.032 
473259.000    30.4881255958   114.5640703089     29.323     -0.133      4.570    0.068 
473260.000    30.4881277914   114.5641182780     29.416      0.724      4.407    0.142 
473261.000    30.4881385275   114.5641646454     29.552      1.614      4.204    0.123 
473262.000    30.4881561096   114.5642078898     29.692      2.300      3.927    0.163 
473263.000    30.4881811168   114.5642473622     29.861      3.246      3.430    0.176 
473264.000    30.4882151024   114.5642807775     30.036      4.232      2.814    0.187 
473265.000    30.4882573840   114.5643068500     30.225      5.040      2.145    0.192 
