   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   Q
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 387198.00    30.4774167980   114.4497194599     33.888     11.641     10.190   -0.124       1 
 387199.00    30.4775097923   114.4498391768     33.883     11.345     10.393   -0.140       1 
 387200.00    30.4776042137   114.4499563231     33.727     11.092     10.497   -0.191       1 
 387201.00    30.4776992115   114.4500699714     33.544     10.786     10.558   -0.145       1 
 387202.00    30.4777962825   114.4501825310     33.344     10.822     10.925   -0.190       1 
 387203.00    30.4778971180   114.4502955683     33.070     10.877     11.397   -0.289       1 
 387204.00    30.4780024954   114.4504086734     32.742     10.837     11.933   -0.353       1 
 387205.00    30.4781127822   114.4505212677     32.359     10.810     12.449   -0.341       1 
 387206.00    30.4782275334   114.4506339072     31.918     10.772     13.017   -0.590       1 
 387207.00    30.4783475343   114.4507456394     31.424     10.665     13.605   -0.558       1 
 387208.00    30.4784723707   114.4508560673     30.886     10.453     14.007   -0.542       1 
 387209.00    30.4785991186   114.4509631738     30.371     10.184     14.079   -0.615       1 
 387210.00    30.4787260584   114.4510667326     29.845      9.661     14.052   -0.467       1 
 387211.00    30.4788520759   114.4511656141     29.442      9.294     13.849   -0.348       1 
 387212.00    30.4789760100   114.4512599960     29.044      8.818     13.548   -0.358       1 
 387213.00    30.4790969165   114.4513491559     28.694      8.283     13.261   -0.303       1 
 387214.00    30.4792166876   114.4514329702     28.385      7.807     13.283   -0.264       1 
 387215.00    30.4793366386   114.4515122893     28.125      7.494     13.303   -0.224       1 
 387216.00    30.4794578654   114.4515885670     27.888      7.210     13.577   -0.265       1 
 387217.00    30.4795813443   114.4516622011     27.711      6.930     13.769   -0.129       1 
 387218.00    30.4797061393   114.4517322560     27.573      6.485     13.823   -0.137       1 
 387219.00    30.4798300479   114.4517981954     27.432      6.172     13.645   -0.169       1 
 387220.00    30.4799522426   114.4518611937     27.297      5.899     13.442   -0.120       1 
 387221.00    30.4800735402   114.4519211575     27.176      5.676     13.457   -0.081       1 
 387222.00    30.4801958305   114.4519793543     27.125      5.495     13.692   -0.087       1 
 387223.00    30.4803206477   114.4520358362     27.098      5.333     14.008    0.039       1 
 387224.00    30.4804488327   114.4520898921     27.093      5.056     14.397    0.014       1 
 387225.00    30.4805804081   114.4521412636     27.099      4.804     14.755    0.021       1 
 387226.00    30.4807152041   114.4521899465     27.112      4.555     15.120    0.014       1 
 387227.00    30.4808527221   114.4522369829     27.175      4.482     15.396    0.015       1 
 387228.00    30.4809926272   114.4522832796     27.282      4.331     15.642    0.157       1 
 387229.00    30.4811352455   114.4523265058     27.460      3.978     15.952    0.180       1 
 387230.00    30.4812805391   114.4523665494     27.597      3.666     16.246    0.159       1 
 387231.00    30.4814285203   114.4524028493     27.805      3.315     16.524    0.248       1 
 387232.00    30.4815787648   114.4524353027     28.058      2.938     16.776    0.261       1 
 387233.00    30.4817302425   114.4524639000     28.328      2.523     16.691    0.256       1 
 387234.00    30.4818789576   114.4524888451     28.570      2.298     16.231    0.275       1 
 387235.00    30.4820233753   114.4525117353     28.803      2.150     15.824    0.217       1 
 387236.00    30.4821643047   114.4525332710     29.078      1.893     15.446    0.306       1 
 387237.00    30.4823035074   114.4525501907     29.328      1.347     15.411    0.277       1 
 387238.00    30.4824428245   114.4525616345     29.566      0.820     15.470    0.201       1 
 387239.00    30.4825827682   114.4525681818     29.791      0.417     15.534    0.252       1 
 387240.00    30.4827229580   114.4525712221     29.990      0.151     15.296    0.177       1 
 387241.00    30.4828553048   114.4525712530     30.156     -0.152     13.975    0.202       1 
 387242.00    30.4829756995   114.4525693310     30.356     -0.176     12.967    0.207       1 
 387243.00    30.4830912036   114.4525676343     30.582     -0.147     12.731    0.236       1 
 387244.00    30.4832057849   114.4525655423     30.853     -0.270     12.727    0.200       1 
 387245.00    30.4833209377   114.4525614804     31.020     -0.524     12.783    0.256       1 
 387246.00    30.4834355209   114.4525547863     31.222     -0.641     12.391    0.170       1 
 387247.00    30.4835422417   114.4525498359     31.437     -0.300     11.218    0.230       1 
 387248.00    30.4836376494   114.4525484981     31.628      0.025      9.922    0.150       1 
 387249.00    30.4837220002   114.4525495256     31.828      0.120      9.020    0.164       1 
 387250.00    30.4838021465   114.4525502482     31.932     -0.033      8.841    0.111       1 
 387251.00    30.4838799562   114.4525479772     32.056     -0.545      8.022    0.083       1 
 387252.00    30.4839460915   114.4525403591     32.120     -0.794      6.974    0.041       1 
 387253.00    30.4840088809   114.4525324009     32.167     -0.769      7.199    0.061       1 
 387254.00    30.4840766858   114.4525239814     32.252     -0.838      7.837    0.083       1 
 387255.00    30.4841502100   114.4525144749     32.353     -0.997      8.449    0.094       1 
 387256.00    30.4842290261   114.4525034276     32.443     -1.107      9.034    0.087       1 
 387257.00    30.4843128220   114.4524910864     32.549     -1.250      9.564    0.067       1 
 387258.00    30.4844013024   114.4524776226     32.672     -1.344     10.039    0.194       1 
 387259.00    30.4844942997   114.4524629751     32.781     -1.441     10.565    0.048       1 
