   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   Q
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 394859.00    30.4808357223   114.1542027277     15.508     -5.852     -8.260    0.082       1 
 394860.00    30.4807624724   114.1541422884     15.563     -5.733     -8.005    0.087       1 
 394861.00    30.4806917462   114.1540827053     15.606     -5.678     -7.688    0.031       1 
 394862.00    30.4806238357   114.1540251117     15.649     -5.386     -7.346    0.058       1 
 394863.00    30.4805592290   114.1539709147     15.691     -5.026     -6.969    0.032       1 
 394864.00    30.4804981626   114.1539197974     15.720     -4.788     -6.605    0.057       1 
 394865.00    30.4804395852   114.1538706173     15.755     -4.645     -6.390    0.035       1 
 394866.00    30.4803832593   114.1538235468     15.766     -4.359     -6.051    0.079       1 
 394867.00    30.4803300232   114.1537787125     15.790     -4.227     -5.793    0.004       1 
 394868.00    30.4802793603   114.1537356838     15.797     -3.989     -5.413    0.044       1 
 394869.00    30.4802322241   114.1536957533     15.831     -3.746     -5.099    0.051       1 
 394870.00    30.4801876780   114.1536581297     15.848     -3.448     -4.717    0.019       1 
 394871.00    30.4801466512   114.1536233157     15.863     -3.292     -4.475    0.049       1 
 394872.00    30.4801063153   114.1535887461     15.891     -3.337     -4.491    0.031       1 
 394873.00    30.4800653631   114.1535537288     15.909     -3.400     -4.609    0.032       1 
 394874.00    30.4800226587   114.1535178369     15.923     -3.525     -4.881    0.016       1 
 394875.00    30.4799770249   114.1534802124     15.948     -3.712     -5.227    0.018       1 
 394876.00    30.4799283459   114.1534406432     15.967     -3.903     -5.555    0.052       1 
 394877.00    30.4798769501   114.1533991407     15.993     -4.087     -5.828    0.096       1 
 394878.00    30.4798240101   114.1533559795     16.019     -4.096     -5.779    0.002       1 
 394879.00    30.4797732203   114.1533136134     16.023     -4.046     -5.525    0.008       1 
 394880.00    30.4797242386   114.1532708316     16.039     -4.123     -5.367    0.021       1 
 394881.00    30.4796768078   114.1532275415     16.055     -4.056     -5.055    0.052       1 
 394882.00    30.4796341134   114.1531852479     16.065     -3.900     -4.442   -0.014       1 
 394883.00    30.4795966619   114.1531454646     16.068     -3.619     -3.889    0.001       1 
 394884.00    30.4795642867   114.1531097658     16.068     -3.171     -3.312    0.010       1 
 394885.00    30.4795372548   114.1530797280     16.080     -2.567     -2.672    0.020       1 
 394886.00    30.4795154740   114.1530558984     16.095     -2.132     -2.249    0.027       1 
 394887.00    30.4794957018   114.1530349537     16.105     -1.868     -2.057    0.027       1 
 394888.00    30.4794770723   114.1530157747     16.116     -1.803     -2.035    0.018       1 
 394889.00    30.4794596900   114.1529983234     16.128     -1.573     -1.831    0.010       1 
 394890.00    30.4794438308   114.1529827137     16.131     -1.419     -1.663    0.009       1 
 394891.00    30.4794294323   114.1529688450     16.143     -1.387     -1.654    0.013       1 
 394892.00    30.4794128815   114.1529531935     16.145     -1.593     -1.966    0.018       1 
 394893.00    30.4793943532   114.1529367963     16.159     -1.631     -2.132    0.020       1 
 394894.00    30.4793732862   114.1529196249     16.189     -1.820     -2.551    0.031       1 
 394895.00    30.4793478876   114.1529004794     16.218     -1.947     -2.977    0.024       1 
 394896.00    30.4793196398   114.1528799044     16.234     -2.062     -3.267    0.024       1 
 394897.00    30.4792888168   114.1528577363     16.259     -2.213     -3.558    0.022       1 
 394898.00    30.4792554648   114.1528337178     16.271     -2.387     -3.821   -0.004       1 
 394899.00    30.4792200591   114.1528077974     16.252     -2.565     -4.027   -0.024       1 
 394900.00    30.4791830873   114.1527794144     16.230     -2.819     -4.197   -0.020       1 
 394901.00    30.4791446103   114.1527476136     16.207     -3.198     -4.410   -0.007       1 
 394902.00    30.4791037642   114.1527117182     16.172     -3.588     -4.693   -0.032       1 
 394903.00    30.4790600734   114.1526731233     16.135     -3.798     -4.992   -0.033       1 
 394904.00    30.4790137304   114.1526330733     16.106     -3.923     -5.276    0.010       1 
 394905.00    30.4789648883   114.1525918849     16.081     -4.021     -5.544   -0.023       1 
 394906.00    30.4789136150   114.1525495887     16.043     -4.123     -5.820   -0.007       1 
 394907.00    30.4788600461   114.1525065774     16.025     -4.176     -6.060   -0.039       1 
 394908.00    30.4788037992   114.1524642460     16.002     -4.058     -6.380   -0.036       1 
 394909.00    30.4787449158   114.1524228586     15.983     -3.992     -6.634   -0.025       1 
 394910.00    30.4786841720   114.1523811915     15.962     -4.030     -6.816   -0.020       1 
 394911.00    30.4786224240   114.1523375693     15.945     -4.282     -6.882   -0.015       1 
 394912.00    30.4785604199   114.1522905038     15.916     -4.637     -6.913   -0.008       1 
 394913.00    30.4784977098   114.1522394617     15.895     -5.062     -7.059   -0.023       1 
 394914.00    30.4784329759   114.1521845974     15.839     -5.365     -7.288   -0.066       1 
 394915.00    30.4783677371   114.1521293521     15.802     -5.196     -7.169   -0.039       1 
 394916.00    30.4783030843   114.1520767929     15.781     -5.014     -7.138   -0.023       1 
 394917.00    30.4782388317   114.1520247284     15.751     -4.975     -7.102   -0.018       1 
 394918.00    30.4781747733   114.1519726217     15.707     -5.050     -7.106   -0.039       1 
 394919.00    30.4781106872   114.1519188469     15.684     -5.234     -7.126   -0.029       1 
 394920.00    30.4780465241   114.1518641876     15.638     -5.195     -7.066   -0.063       1 
 394921.00    30.4779816251   114.1518090511     15.610     -5.393     -7.327   -0.035       1 
 394922.00    30.4779162964   114.1517533164     15.579     -5.277     -7.107   -0.013       1 
 394923.00    30.4778534160   114.1516990481     15.558     -5.157     -6.867   -0.012       1 
 394924.00    30.4777921896   114.1516451574     15.512     -5.150     -6.722   -0.038       1 
 394925.00    30.4777320652   114.1515920832     15.498     -5.034     -6.619   -0.020       1 
 394926.00    30.4776725978   114.1515400050     15.446     -4.962     -6.546   -0.044       1 
 394927.00    30.4776146068   114.1514895922     15.417     -4.733     -6.284   -0.026       1 
 394928.00    30.4775593413   114.1514420579     15.392     -4.409     -5.951    0.008       1 
 394929.00    30.4775073952   114.1513977315     15.375     -4.099     -5.562   -0.052       1 
 394930.00    30.4774588969   114.1513566050     15.338     -3.820     -5.180   -0.050       1 
 394931.00    30.4774139901   114.1513186503     15.307     -3.475     -4.772    0.003       1 
 394932.00    30.4773732058   114.1512841704     15.296     -3.127     -4.272   -0.005       1 
 394933.00    30.4773372605   114.1512535983     15.280     -2.737     -3.699   -0.038       1 
 394934.00    30.4773066650   114.1512274844     15.243     -2.281     -3.072   -0.023       1 
 394935.00    30.4772818990   114.1512062364     15.216     -1.830     -2.477   -0.020       1 
 394936.00    30.4772614298   114.1511886313     15.217     -1.547     -2.095   -0.005       1 
 394937.00    30.4772434548   114.1511730813     15.223     -1.406     -1.857    0.012       1 
 394938.00    30.4772286316   114.1511602310     15.217     -1.062     -1.420   -0.024       1 
 394939.00    30.4772178192   114.1511508898     15.204     -0.741     -0.985   -0.023       1 
 394940.00    30.4772103835   114.1511445023     15.175     -0.519     -0.665   -0.058       1 
 394941.00    30.4772059614   114.1511406260     15.163     -0.221     -0.308    0.020       1 
 394942.00    30.4772049373   114.1511397547     15.162      0.000     -0.006    0.005       1 
 394943.00    30.4772049457   114.1511397559     15.163     -0.005      0.007   -0.024       1 
 394944.00    30.4772049474   114.1511397505     15.164     -0.001     -0.009    0.028       1 
 394945.00    30.4772049460   114.1511397409     15.165     -0.005      0.005   -0.018       1 
 394946.00    30.4772049416   114.1511397329     15.167      0.003     -0.009    0.030       1 
 394947.00    30.4772049381   114.1511397272     15.169      0.006      0.007   -0.017       1 
 394948.00    30.4772049412   114.1511397219     15.171      0.009     -0.008    0.027       1 
