   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U   Q
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)  
 394859.00    30.4808420890   114.1542030064     16.070     -5.842     -8.284    0.042       1 
 394860.00    30.4807688510   114.1541426111     16.123     -5.725     -8.017    0.065       1 
 394861.00    30.4806981192   114.1540831256     16.167     -5.677     -7.671    0.052       1 
 394862.00    30.4806301901   114.1540254959     16.212     -5.378     -7.338    0.061       1 
 394863.00    30.4805655648   114.1539712650     16.257     -5.024     -6.971    0.029       1 
 394864.00    30.4805045133   114.1539201785     16.284     -4.785     -6.613    0.044       1 
 394865.00    30.4804459365   114.1538709671     16.318     -4.636     -6.389    0.030       1 
 394866.00    30.4803895673   114.1538238931     16.336     -4.353     -6.081    0.035       1 
 394867.00    30.4803363912   114.1537791122     16.351     -4.238     -5.803   -0.001       1 
 394868.00    30.4802856839   114.1537360826     16.364     -3.987     -5.418    0.035       1 
 394869.00    30.4802385728   114.1536961535     16.394     -3.748     -5.105    0.046       1 
 394870.00    30.4801940052   114.1536585022     16.415     -3.445     -4.712    0.024       1 
 394871.00    30.4801530055   114.1536237354     16.426     -3.292     -4.486    0.036       1 
 394872.00    30.4801126757   114.1535891985     16.453     -3.340     -4.486    0.040       1 
 394873.00    30.4800717021   114.1535541418     16.474     -3.393     -4.607    0.030       1 
 394874.00    30.4800290138   114.1535182023     16.486     -3.524     -4.881    0.014       1 
 394875.00    30.4799833842   114.1534805217     16.511     -3.704     -5.230    0.008       1 
 394876.00    30.4799347165   114.1534409012     16.528     -3.903     -5.555    0.052       1 
 394877.00    30.4798833132   114.1533994141     16.555     -4.086     -5.847    0.070       1 
 394878.00    30.4798303667   114.1533562253     16.582     -4.091     -5.761    0.023       1 
 394879.00    30.4797795511   114.1533140075     16.590     -4.060     -5.531    0.011       1 
 394880.00    30.4797305699   114.1532713911     16.604     -4.123     -5.368    0.020       1 
 394881.00    30.4796831152   114.1532282598     16.621     -4.071     -5.082    0.028       1 
 394882.00    30.4796403768   114.1531862512     16.634     -3.914     -4.443   -0.004       1 
 394883.00    30.4796028849   114.1531466874     16.638     -3.632     -3.892    0.008       1 
 394884.00    30.4795704817   114.1531111197     16.639     -3.181     -3.321    0.006       1 
 394885.00    30.4795434685   114.1530810857     16.649     -2.563     -2.670    0.020       1 
 394886.00    30.4795216990   114.1530572150     16.662     -2.128     -2.244    0.030       1 
 394887.00    30.4795019412   114.1530361814     16.673     -1.875     -2.060    0.030       1 
 394888.00    30.4794833325   114.1530169271     16.683     -1.794     -2.032    0.016       1 
 394889.00    30.4794659590   114.1529994011     16.695     -1.572     -1.831    0.008       1 
 394890.00    30.4794500970   114.1529836922     16.699     -1.415     -1.659    0.011       1 
 394891.00    30.4794357323   114.1529697847     16.707     -1.381     -1.654    0.007       1 
 394892.00    30.4794191770   114.1529540288     16.712     -1.583     -1.968    0.008       1 
 394893.00    30.4794006858   114.1529374515     16.723     -1.614     -2.121    0.021       1 
 394894.00    30.4793796572   114.1529200466     16.750     -1.805     -2.536    0.039       1 
 394895.00    30.4793542359   114.1529006098     16.783     -1.931     -2.961    0.032       1 
 394896.00    30.4793259728   114.1528798909     16.801     -2.051     -3.270    0.012       1 
 394897.00    30.4792951552   114.1528576975     16.826     -2.210     -3.556    0.021       1 
 394898.00    30.4792617635   114.1528336812     16.843     -2.391     -3.820    0.000       1 
 394899.00    30.4792263339   114.1528077870     16.828     -2.575     -4.032   -0.023       1 
 394900.00    30.4791893670   114.1527795775     16.805     -2.831     -4.211   -0.028       1 
 394901.00    30.4791508849   114.1527480440     16.780     -3.204     -4.431   -0.032       1 
 394902.00    30.4791100301   114.1527122887     16.746     -3.587     -4.701   -0.044       1 
 394903.00    30.4790663674   114.1526736594     16.705     -3.784     -4.988   -0.038       1 
 394904.00    30.4790200437   114.1526335286     16.674     -3.921     -5.280    0.004       1 
 394905.00    30.4789712028   114.1525922602     16.650     -4.010     -5.541   -0.027       1 
 394906.00    30.4789199407   114.1525498591     16.611     -4.118     -5.833   -0.027       1 
 394907.00    30.4788663763   114.1525067629     16.592     -4.150     -6.051   -0.049       1 
 394908.00    30.4788101253   114.1524641702     16.570     -4.031     -6.369   -0.043       1 
 394909.00    30.4787512482   114.1524226120     16.550     -3.978     -6.619   -0.016       1 
 394910.00    30.4786904931   114.1523808790     16.530     -4.043     -6.823   -0.019       1 
 394911.00    30.4786287500   114.1523374315     16.513     -4.311     -6.897   -0.013       1 
 394912.00    30.4785667449   114.1522906031     16.484     -4.653     -6.935   -0.024       1 
 394913.00    30.4785040426   114.1522397947     16.461     -5.074     -7.069   -0.027       1 
 394914.00    30.4784392843   114.1521849850     16.409     -5.383     -7.285   -0.048       1 
 394915.00    30.4783740722   114.1521296646     16.368     -5.174     -7.159   -0.043       1 
 394916.00    30.4783094133   114.1520770179     16.348     -5.003     -7.132   -0.023       1 
 394917.00    30.4782451649   114.1520249404     16.317     -4.970     -7.101   -0.019       1 
 394918.00    30.4781810785   114.1519728902     16.277     -5.058     -7.115   -0.044       1 
 394919.00    30.4781170190   114.1519192027     16.251     -5.222     -7.119   -0.028       1 
 394920.00    30.4780528324   114.1518645432     16.208     -5.199     -7.075   -0.072       1 
 394921.00    30.4779879628   114.1518094480     16.175     -5.390     -7.324   -0.034       1 
 394922.00    30.4779226281   114.1517536839     16.145     -5.270     -7.108   -0.020       1 
 394923.00    30.4778597179   114.1516994964     16.128     -5.158     -6.883   -0.033       1 
 394924.00    30.4777984845   114.1516456751     16.082     -5.148     -6.712   -0.027       1 
 394925.00    30.4777383871   114.1515925998     16.065     -5.047     -6.616   -0.005       1 
 394926.00    30.4776788793   114.1515404807     16.018     -4.941     -6.538   -0.050       1 
 394927.00    30.4776208947   114.1514900527     15.989     -4.730     -6.274   -0.015       1 
 394928.00    30.4775656131   114.1514425188     15.966     -4.396     -5.967   -0.023       1 
 394929.00    30.4775136936   114.1513981539     15.946     -4.087     -5.538   -0.029       1 
 394930.00    30.4774651769   114.1513569788     15.912     -3.823     -5.175   -0.041       1 
 394931.00    30.4774202740   114.1513190458     15.879     -3.472     -4.780   -0.011       1 
 394932.00    30.4773794892   114.1512845779     15.869     -3.119     -4.279   -0.021       1 
 394933.00    30.4773435398   114.1512540042     15.853     -2.743     -3.700   -0.034       1 
 394934.00    30.4773129187   114.1512278804     15.820     -2.299     -3.077   -0.016       1 
 394935.00    30.4772881674   114.1512066422     15.791     -1.819     -2.481   -0.034       1 
 394936.00    30.4772677430   114.1511890881     15.785     -1.545     -2.097   -0.010       1 
 394937.00    30.4772497769   114.1511735457     15.790     -1.391     -1.846    0.013       1 
 394938.00    30.4772349521   114.1511606855     15.785     -1.066     -1.411   -0.010       1 
 394939.00    30.4772241000   114.1511513161     15.777     -0.740     -0.975   -0.012       1 
 394940.00    30.4772166163   114.1511448994     15.754     -0.502     -0.646   -0.047       1 
 394941.00    30.4772121883   114.1511409967     15.743     -0.232     -0.327    0.004       1 
 394942.00    30.4772111665   114.1511401330     15.742     -0.000     -0.011   -0.001       1 
 394943.00    30.4772111761   114.1511401358     15.743     -0.002      0.022   -0.007       1 
 394944.00    30.4772111770   114.1511401291     15.744     -0.002     -0.024    0.008       1 
 394945.00    30.4772111757   114.1511401199     15.745     -0.005      0.017   -0.002       1 
 394946.00    30.4772111718   114.1511401124     15.747      0.001     -0.026    0.010       1 
 394947.00    30.4772111673   114.1511401063     15.749      0.004      0.017   -0.002       1 
 394948.00    30.4772111711   114.1511401013     15.751      0.009     -0.025    0.005       1 
 394949.00    30.4772111729   114.1511400957     15.752     -0.003      0.029   -0.010       1 
 394950.00    30.4772111709   114.1511400910     15.751     -0.004     -0.010    0.004       1 
 394951.00    30.4772111737   114.1511400941     15.751     -0.008     -0.018    0.007       1 
 394952.00    30.4772111734   114.1511400929     15.751     -0.006      0.024   -0.006       1 
 394953.00    30.4772111727   114.1511400929     15.749      0.007     -0.010    0.004       1 
 394954.00    30.4772111789   114.1511400907     15.747      0.008     -0.025    0.006       1 
 394955.00    30.4772111790   114.1511400839     15.747      0.007      0.026   -0.011       1 
 394956.00    30.4772111778   114.1511400731     15.747     -0.000      0.026   -0.007       1 
 394957.00    30.4772111778   114.1511400698     15.747      0.004     -0.015    0.002       1 
 394958.00    30.4772111813   114.1511400704     15.747     -0.008     -0.014    0.003       1 
 394959.00    30.4772111850   114.1511400665     15.747     -0.006      0.023   -0.005       1 
 394960.00    30.4772111882   114.1511400653     15.747      0.001      0.000    0.002       1 
 394961.00    30.4772111894   114.1511400646     15.747      0.007     -0.035    0.009       1 
 394962.00    30.4772111866   114.1511400646     15.747      0.001     -0.008    0.003       1 
 394963.00    30.4772111815   114.1511400629     15.747      0.001      0.025   -0.008       1 
 394964.00    30.4772111804   114.1511400617     15.747      0.002     -0.009    0.002       1 
 394965.00    30.4772111808   114.1511400653     15.748     -0.002     -0.030    0.008       1 
 394966.00    30.4772111823   114.1511400650     15.748     -0.009      0.000    0.000       1 
 394967.00    30.4772111827   114.1511400582     15.748     -0.001      0.020   -0.003       1 
 394968.00    30.4772111836   114.1511400546     15.747      0.012      0.005   -0.002       1 
 394969.00    30.4772111855   114.1511400557     15.747      0.004     -0.022    0.004       1 
 394970.00    30.4772111823   114.1511400542     15.747     -0.001      0.032   -0.010       1 
 394971.00    30.4772111800   114.1511400561     15.747     -0.004      0.011   -0.003       1 
 394972.00    30.4772111817   114.1511400575     15.747     -0.003     -0.023    0.009       1 
 394973.00    30.4772111859   114.1511400577     15.748     -0.003     -0.012    0.005       1 
 394974.00    30.4772111827   114.1511400513     15.747      0.005      0.016   -0.004       1 
 394975.00    30.4772111810   114.1511400508     15.747      0.016      0.015   -0.007       1 
 394976.00    30.4772111858   114.1511400526     15.746      0.007     -0.023    0.001       1 
 394977.00    30.4772111913   114.1511400504     15.746     -0.007     -0.009    0.001       1 
 394978.00    30.4772111949   114.1511400431     15.747     -0.007      0.023   -0.004       1 
 394979.00    30.4772105043   114.1511394455     15.746     -0.175     -0.216   -0.002       1 
 394980.00    30.4772063016   114.1511358054     15.739     -0.523     -0.702   -0.018       1 
 394981.00    30.4771962201   114.1511270091     15.726     -1.275     -1.724   -0.051       1 
 394982.00    30.4771744727   114.1511084048     15.712     -2.235     -3.044   -0.010       1 
