   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
128680.000    30.3814982676   114.4034239008     11.735    -10.951      7.844   -0.333       1 
128681.000    30.3813970020   114.4035045672     11.383    -11.445      7.820   -0.343       1 
128682.000    30.3812912858   114.4035864714     11.102    -12.010      7.942   -0.247       0 
128683.000    30.3811796641   114.4036680292     10.964    -12.739      7.795   -0.058       0 
128684.000    30.3810614013   114.4037462621     10.987    -13.422      7.415    0.108       0 
128685.000    30.3809383119   114.4038211466     11.166    -13.727      7.025    0.246       0 
128686.000    30.3808147735   114.4038909878     11.472    -13.715      6.515    0.380       2 
128687.000    30.3806901286   114.4039564565     11.868    -13.938      6.181    0.395       2 
128688.000    30.3805628314   114.4040181673     12.241    -14.301      5.739    0.346       1 
128689.000    30.3804317044   114.4040737751     12.566    -14.736      5.113    0.292       1 
128690.000    30.3802970625   114.4041241079     12.835    -15.093      4.691    0.252       1 
128691.000    30.3801592740   114.4041698577     13.049    -15.435      4.205    0.178       1 
128692.000    30.3800195675   114.4042100487     13.208    -15.390      3.615    0.134       2 
128693.000    30.3798817685   114.4042445053     13.258    -15.187      3.125    0.002       2 
128694.000    30.3797448054   114.4042762768     13.190    -15.189      3.059   -0.136       1 
128695.000    30.3796074953   114.4043084161     13.021    -15.244      3.158   -0.219       1 
128696.000    30.3794702521   114.4043449315     12.807    -15.203      3.756   -0.228       1 
128697.000    30.3793324002   114.4043845613     12.572    -15.390      3.769   -0.271       1 
128698.000    30.3791932373   114.4044231418     12.355    -15.372      3.652   -0.217       1 
128699.000    30.3790557104   114.4044594764     12.203    -15.163      3.380   -0.119       1 
128700.000    30.3789190135   114.4044926762     12.082    -15.146      3.083   -0.126       1 
128701.000    30.3787822374   114.4045233162     11.967    -15.170      2.869   -0.106       1 
128702.000    30.3786452979   114.4045521854     11.891    -15.183      2.742   -0.078       1 
128703.000    30.3785083459   114.4045804186     11.819    -15.180      2.655   -0.106       1 
128704.000    30.3783714604   114.4046088237     11.741    -15.166      2.802   -0.063       1 
128705.000    30.3782347077   114.4046390489     11.684    -15.199      2.960   -0.058       1 
128706.000    30.3780971819   114.4046706976     11.613    -15.302      3.082   -0.102       1 
128707.000    30.3779593107   114.4047030253     11.542    -15.177      3.092   -0.061       1 
128708.000    30.3778237584   114.4047349342     11.476    -14.878      2.996   -0.042       1 
128709.000    30.3776910560   114.4047657166     11.443    -14.536      2.917   -0.042       1 
128710.000    30.3775620103   114.4047948222     11.481    -14.062      2.691    0.105       1 
128711.000    30.3774378907   114.4048217908     11.601    -13.392      2.559    0.093       1 
128712.000    30.3773218175   114.4048490275     11.781    -12.293      2.557    0.232       1 
128713.000    30.3772172062   114.4048750664     12.004    -10.816      2.363    0.220       1 
128714.000    30.3771280558   114.4048960759     12.206     -8.927      1.704    0.161       1 
128715.000    30.3770565075   114.4049099700     12.349     -6.897      1.105    0.118       1 
128716.000    30.3770040113   114.4049182515     12.457     -4.796      0.617    0.094       1 
128717.000    30.3769657293   114.4049232495     12.523     -3.678      0.409    0.067       1 
128718.000    30.3769382609   114.4049262736     12.579     -2.548      0.256    0.074       1 
128719.000    30.3769174660   114.4049284117     12.632     -2.081      0.168    0.048       1 
128720.000    30.3769014567   114.4049300178     12.663     -1.476      0.129    0.038       1 
128721.000    30.3768895794   114.4049310911     12.693     -1.287      0.114    0.042       1 
128722.000    30.3768774620   114.4049318557     12.710     -1.395      0.088    0.032       1 
128723.000    30.3768646145   114.4049313812     12.728     -1.451     -0.008    0.016       1 
128724.000    30.3768511833   114.4049289633     12.744     -1.519     -0.137    0.051       1 
128725.000    30.3768374883   114.4049243292     12.760     -1.541     -0.341   -0.010       1 
128726.000    30.3768238580   114.4049177801     12.782     -1.515     -0.512    0.034       1 
128727.000    30.3768110872   114.4049096609     12.798     -1.326     -0.634    0.017       1 
