
GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
292531.000    22.6916970563   113.7662836634     14.001     21.168     -7.673   -0.023       1 
292532.000    22.6918886484   113.7662097992     13.949     21.262     -7.474   -0.109       1 
292533.000    22.6920812634   113.7661373594     13.886     21.391     -7.391   -0.070       1 
292534.000    22.6922748956   113.7660653951     13.828     21.491     -7.414   -0.064       1 
292535.000    22.6924688651   113.7659923703     13.790     21.488     -7.526   -0.085       1 
292536.000    22.6926626189   113.7659210176     13.756     21.410     -7.009   -0.043       1 
292537.000    22.6928563477   113.7658564603     13.711     21.475     -6.272   -0.055       1 
292538.000    22.6930512293   113.7657982302     13.663     21.642     -5.746   -0.091       1 
292539.000    22.6932459853   113.7657407062     13.611     21.437     -6.090   -0.066       1 
292540.000    22.6934382675   113.7656797428     13.577     21.206     -6.476   -0.026       1 
292541.000    22.6936295169   113.7656163260     13.562     21.177     -6.522   -0.032       1 
292542.000    22.6938204298   113.7655535612     13.557     21.087     -6.310   -0.076       1 
292543.000    22.6940102417   113.7654930615     13.557     20.939     -6.143   -0.001       1 
292544.000    22.6941987214   113.7654342117     13.579     20.785     -5.967    0.005       1 
292545.000    22.6943850964   113.7653761693     13.571     20.479     -5.865    0.072       1 
292546.000    22.6945686312   113.7653196034     13.584     20.159     -5.732    0.014       1 
292547.000    22.6947493189   113.7652640924     13.604     19.889     -5.696    0.053       1 
292548.000    22.6949282119   113.7652092304     13.642     19.714     -5.580   -0.009       1 
292549.000    22.6951049988   113.7651550578     13.679     19.413     -5.542    0.018       1 
292550.000    22.6952791198   113.7651013002     13.722     19.162     -5.554    0.001       1 
292551.000    22.6954521417   113.7650492431     13.769     19.162     -5.121   -0.004       1 
292552.000    22.6956258158   113.7650006600     13.811     19.299     -4.834    0.028       1 
292553.000    22.6958006667   113.7649533357     13.869     19.414     -4.855    0.057       1 
292554.000    22.6959762110   113.7649039226     13.921     19.477     -5.175    0.038       1 
292555.000    22.6961526618   113.7648534475     13.995     19.615     -5.141    0.074       1 
292556.000    22.6963305425   113.7648036594     14.065     19.771     -5.116    0.066       1 
292557.000    22.6965097493   113.7647541502     14.140     19.925     -5.033    0.069       1 
292558.000    22.6966904892   113.7647057942     14.213     20.101     -4.905    0.043       1 
292559.000    22.6968726965   113.7646585373     14.305     20.231     -4.770    0.097       1 
292560.000    22.6970564679   113.7646124558     14.388     20.476     -4.734    0.088       1 
292561.000    22.6972425555   113.7645659064     14.481     20.711     -4.910    0.079       1 
292562.000    22.6974308206   113.7645186789     14.557     20.984     -4.787    0.094       1 
292563.000    22.6976216394   113.7644729635     14.647     21.259     -4.639    0.118       1 
292564.000    22.6978148492   113.7644286608     14.743     21.503     -4.569    0.113       1 
292565.000    22.6980100009   113.7643841481     14.818     21.713     -4.631    0.176       1 
292566.000    22.6982069341   113.7643388982     14.915     21.912     -4.667    0.060       1 
292567.000    22.6984047541   113.7642934274     15.008     21.792     -4.661    0.079       1 
292568.000    22.6986002076   113.7642479736     15.105     21.531     -4.630    0.036       1 
292569.000    22.6987946430   113.7642034076     15.210     21.580     -4.452    0.107       1 
292570.000    22.6989902520   113.7641610585     15.297     21.734     -4.291   -0.004       1 
292571.000    22.6991871064   113.7641200476     15.385     21.871     -4.166    0.061       1 
292572.000    22.6993850915   113.7640794983     15.473     21.981     -4.167    0.088       1 
292573.000    22.6995841837   113.7640395875     15.557     22.122     -4.028   -0.005       1 
