
GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
298458.000    23.0976666765   113.4928610630     17.093    -11.821     -5.027   -0.496       1 
298459.000    23.0975599687   113.4928204795     16.586    -11.885     -3.811   -0.491       1 
298460.000    23.0974521481   113.4927928955     16.087    -12.086     -2.369   -0.467       1 
298461.000    23.0973441972   113.4927809510     15.566    -11.984     -0.813   -0.535       1 
298462.000    23.0972375543   113.4927817290     15.040    -11.818      0.328   -0.540       1 
298463.000    23.0971317831   113.4927908868     14.527    -11.790      1.169   -0.453       1 
298464.000    23.0970246394   113.4928088015     13.998    -12.179      2.147   -0.568       1 
298465.000    23.0969137337   113.4928366851     13.454    -12.443      3.184   -0.512       0 
298466.000    23.0968020699   113.4928727908     12.974    -12.480      3.735   -0.574       0 
298467.000    23.0966912101   113.4929153328     12.511    -12.272      4.469   -0.378       0 
298468.000    23.0965819109   113.4929629194     12.141    -12.057      5.062   -0.282       0 
298469.000    23.0964754373   113.4930163978     11.882    -11.684      5.663   -0.232       0 
298470.000    23.0963730020   113.4930756988     11.734    -11.163      6.245   -0.123       0 
298471.000    23.0962748486   113.4931392341     11.678    -10.733      6.578    0.017       0 
298472.000    23.0961794183   113.4932064324     11.738    -10.591      7.066    0.101       0 
298473.000    23.0960849443   113.4932790606     11.906    -10.474      7.668    0.244       0 
298474.000    23.0959917859   113.4933576540     12.167    -10.326      8.277    0.317       0 
298475.000    23.0959002448   113.4934423266     12.503    -10.075      8.979    0.383       0 
298476.000    23.0958112483   113.4935327443     12.837     -9.795      9.446    0.339       0 
298477.000    23.0957254025   113.4936292039     13.193     -9.394     10.134    0.415       0 
298478.000    23.0956437250   113.4937321469     13.555     -8.870     10.820    0.361       1 
298479.000    23.0955669529   113.4938416929     13.898     -8.350     11.441    0.329       1 
298480.000    23.0954943939   113.4939569177     14.253     -7.896     12.052    0.379       1 
298481.000    23.0954260323   113.4940777466     14.531     -7.399     12.630    0.228       1 
298482.000    23.0953630241   113.4942050741     14.742     -6.720     13.300    0.182       1 
298483.000    23.0953061061   113.4943393119     14.869     -6.042     14.083    0.091       1 
298484.000    23.0952546814   113.4944803931     14.900     -5.599     14.725   -0.014       1 
298485.000    23.0952062181   113.4946276560     14.830     -5.209     15.410   -0.067       1 
298486.000    23.0951624787   113.4947823920     14.662     -4.577     16.217   -0.168       1 
298487.000    23.0951257373   113.4949454550     14.413     -3.731     17.014   -0.249       1 
298488.000    23.0950972646   113.4951147113     14.154     -2.773     17.417   -0.246       1 
298489.000    23.0950762413   113.4952851622     13.870     -1.914     17.531   -0.358       1 
298490.000    23.0950635345   113.4954550652     13.558     -1.090     17.303   -0.324       1 
298491.000    23.0950557539   113.4956223907     13.240     -0.820     16.834   -0.364       1 
298492.000    23.0950480115   113.4957856647     12.913     -0.893     16.588   -0.361       1 
298493.000    23.0950401219   113.4959476179     12.507     -0.918     16.558   -0.547       1 
298494.000    23.0950343226   113.4961120797     12.253     -0.478     16.773   -0.436       1 
298495.000    23.0950321490   113.4962805667     11.945     -0.030     17.695   -0.245       1 
298496.000    23.0950332020   113.4964513288     11.612      0.192     17.265   -0.378       1 
298497.000    23.0950347830   113.4966190745     11.321      0.196     16.875   -0.378       1 
298498.000    23.0950356170   113.4967777865     11.095      0.104     15.778   -0.169       1 
298499.000    23.0950359074   113.4969308301     10.959     -0.024     15.617   -0.044       1 
298500.000    23.0950367144   113.4970815180     10.958      0.141     15.306    0.032       1 
298501.000    23.0950399812   113.4972298158     11.122      0.437     15.098    0.274       1 
298502.000    23.0950449032   113.4973767517     11.406      0.557     14.942    0.290       1 
298503.000    23.0950500212   113.4975225255     11.723      0.518     14.868    0.335       1 
298504.000    23.0950552098   113.4976674901     12.026      0.581     14.851    0.215       1 
298505.000    23.0950582295   113.4978131331     12.154      0.070     14.996   -0.056       1 
298506.000    23.0950590286   113.4979596132     12.367      0.102     14.926    0.302       1 
298507.000    23.0950601347   113.4981046952     12.617      0.190     14.885    0.224       1 
298508.000    23.0950638984   113.4982511502     12.852      0.678     15.059    0.240       1 
298509.000    23.0950734774   113.4983997720     13.081      1.255     15.189    0.178       1 
298510.000    23.0950832867   113.4985470538     13.281      0.897     15.084    0.191       1 
298511.000    23.0950881282   113.4986951087     13.558      0.369     15.338    0.313       1 
298512.000    23.0950895015   113.4988463008     13.847      0.142     15.674    0.316       1 
298513.000    23.0950920290   113.4990011328     14.118      0.434     16.014    0.244       1 
298514.000    23.0950985931   113.4991598228     14.374      0.871     16.475    0.286       1 
298515.000    23.0951073677   113.4993225022     14.686      0.966     16.794    0.363       1 
298516.000    23.0951172633   113.4994887794     15.063      1.144     17.250    0.367       1 
298517.000    23.0951281434   113.4996589688     15.374      1.323     17.679    0.324       1 
298518.000    23.0951420824   113.4998330645     15.682      1.700     18.002    0.318       1 
298519.000    23.0951583512   113.5000105849     15.997      1.866     18.260    0.321       1 
298520.000    23.0951757135   113.5001871938     16.315      1.994     17.891    0.326       1 
298521.000    23.0951945754   113.5003604690     16.628      2.176     17.726    0.333       1 
298522.000    23.0952152291   113.5005336816     16.945      2.341     17.785    0.312       1 
298523.000    23.0952371044   113.5007075598     17.249      2.557     17.715    0.308       1 
298524.000    23.0952628968   113.5008792837     17.559      3.078     17.550    0.271       1 
298525.000    23.0952950097   113.5010502293     17.789      3.924     17.561    0.199       1 
298526.000    23.0953335776   113.5012218996     18.007      4.482     17.607    0.240       1 
298527.000    23.0953733907   113.5013944507     18.260      4.241     17.804    0.294       1 
298528.000    23.0954090185   113.5015706500     18.529      3.857     18.162    0.235       1 
298529.000    23.0954446945   113.5017498747     18.824      4.006     18.568    0.292       1 
298530.000    23.0954814644   113.5019323403     19.118      4.044     18.612    0.266       1 
298531.000    23.0955166361   113.5021133851     19.423      3.846     18.560    0.315       1 
298532.000    23.0955517833   113.5022963256     19.756      3.965     18.923    0.279       1 
298533.000    23.0955877300   113.5024814457     20.078      4.021     19.076    0.307       1 
298534.000    23.0956238405   113.5026683714     20.425      4.025     19.208    0.405       1 
298535.000    23.0956609777   113.5028564713     20.768      4.188     19.319    0.371       1 
298536.000    23.0956989677   113.5030456882     21.103      4.267     19.504    0.320       1 
298537.000    23.0957377393   113.5032361314     21.470      4.348     19.579    0.367       1 
298538.000    23.0957770264   113.5034277010     21.818      4.370     19.673    0.349       1 
298539.000    23.0958165348   113.5036210932     22.171      4.400     19.927    0.341       1 
298540.000    23.0958561735   113.5038174706     22.538      4.416     20.270    0.379       1 
298541.000    23.0958961029   113.5040170792     22.908      4.479     20.529    0.347       1 
298542.000    23.0959369598   113.5042196064     23.237      4.540     20.863    0.345       1 
298543.000    23.0959788458   113.5044251418     23.579      4.709     21.183    0.342       1 
298544.000    23.0960213992   113.5046337657     23.899      4.697     21.580    0.362       1 
298545.000    23.0960636476   113.5048458070     24.217      4.697     21.863    0.276       1 
298546.000    23.0961063031   113.5050610759     24.508      4.711     22.258    0.259       1 
298547.000    23.0961497186   113.5052795211     24.783      4.873     22.505    0.271       1 
298548.000    23.0961942514   113.5055009437     25.035      4.984     22.819    0.248       1 
298549.000    23.0962401102   113.5057248209     25.296      5.140     23.080    0.243       1 
298550.000    23.0962866126   113.5059511484     25.519      5.174     23.336    0.205       1 
298551.000    23.0963335108   113.5061800139     25.707      5.223     23.626    0.195       1 
298552.000    23.0963807303   113.5064115628     25.881      5.232     23.861    0.138       1 
298553.000    23.0964277455   113.5066458693     26.083      5.198     24.219    0.248       1 
298554.000    23.0964735447   113.5068805670     26.224      4.997     23.959    0.111       1 
298555.000    23.0965187614   113.5071132723     26.381      5.071     23.857    0.156       1 
298556.000    23.0965655698   113.5073469545     26.563      5.259     24.063    0.231       1 
298557.000    23.0966126912   113.5075821936     26.745      5.195     24.186    0.193       1 
298558.000    23.0966594601   113.5078184904     26.914      5.171     24.231    0.231       1 
298559.000    23.0967071289   113.5080556547     27.100      5.324     24.371    0.158       1 
298560.000    23.0967554468   113.5082938312     27.283      5.392     24.447    0.144       1 
298561.000    23.0968036590   113.5085332497     27.463      5.322     24.604    0.238       1 
298562.000    23.0968522464   113.5087738666     27.628      5.498     24.672    0.138       1 
298563.000    23.0969033732   113.5090147713     27.803      5.773     24.687    0.174       1 
298564.000    23.0969566922   113.5092558813     27.983      6.000     24.692    0.202       1 
298565.000    23.0970123003   113.5094969838     28.154      6.222     24.710    0.094       1 
298566.000    23.0970691169   113.5097383457     28.330      6.336     24.773    0.130       1 
298567.000    23.0971266980   113.5099801577     28.505      6.463     24.784    0.154       1 
298568.000    23.0971863298   113.5102219549     28.661      6.745     24.779    0.144       1 
