GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
308375.000    22.6795213634   113.7706217804     10.532      7.620    -11.452    0.428       1 
308376.000    22.6795825655   113.7705099357     10.940      6.286    -11.920    0.471       1 
308377.000    22.6796311334   113.7703926017     11.358      4.866    -12.660    0.427       1 
308378.000    22.6796670396   113.7702692956     11.721      3.497    -13.217    0.362       1 
308379.000    22.6796908840   113.7701410271     12.000      2.147    -13.650    0.233       1 
308380.000    22.6797031919   113.7700088018     12.185      0.878    -14.070    0.145       1 
308381.000    22.6797016091   113.7698734928     12.300     -0.905    -14.531    0.046       1 
308382.000    22.6796811827   113.7697368375     12.283     -3.130    -14.541   -0.060       1 
308383.000    22.6796427694   113.7696004007     12.164     -5.007    -14.414   -0.149       1 
308384.000    22.6795884354   113.7694649186     11.957     -6.778    -14.266   -0.179       1 
308385.000    22.6795181573   113.7693337935     11.757     -8.518    -13.513   -0.162       1 
308386.000    22.6794325897   113.7692130882     11.560    -10.243    -12.398   -0.092       0 
308387.000    22.6793323811   113.7691066357     11.354    -11.826    -10.686   -0.237       0 
308388.000    22.6792194533   113.7690172299     11.108    -13.122     -8.968   -0.270       0 
308389.000    22.6790970524   113.7689438818     10.890    -13.987     -7.310   -0.200       0 
308390.000    22.6789683335   113.7688867824     10.730    -14.564     -5.571   -0.044       0 
308391.000    22.6788351896   113.7688449559     10.726    -15.076     -4.005    0.101       0 
308392.000    22.6786972642   113.7688159470     10.794    -15.629     -2.697    0.125       0 
308393.000    22.6785546657   113.7687990111     11.008    -16.113     -1.474    0.236       0 
308394.000    22.6784081182   113.7687908889     11.300    -16.412     -0.701    0.368       0 
308395.000    22.6782588597   113.7687847413     11.750    -16.677     -0.623    0.520       0 
308396.000    22.6781072077   113.7687795294     12.177    -16.922     -0.587    0.482       1 
308397.000    22.6779533143   113.7687732465     12.639    -17.157     -0.665    0.454       1 
308398.000    22.6777973816   113.7687659571     13.092    -17.337     -0.769    0.441       1 
308399.000    22.6776398872   113.7687572333     13.550    -17.501     -0.872    0.447       1 
308400.000    22.6774808789   113.7687475805     13.981    -17.698     -1.014    0.383       1 
308401.000    22.6773202442   113.7687363016     14.416    -17.837     -1.154    0.428       1 
308402.000    22.6771582869   113.7687234887     14.871    -18.008     -1.369    0.494       1 
308403.000    22.6769957766   113.7687096535     15.299    -17.824     -1.423    0.473       1 
308404.000    22.6768366199   113.7686945194     15.748    -17.461     -1.611    0.469       1 
308405.000    22.6766794717   113.7686781483     16.165    -17.362     -1.688    0.409       1 
308406.000    22.6765230038   113.7686632242     16.612    -17.330     -1.531    0.431       1 
308407.000    22.6763667767   113.7686497803     17.046    -17.278     -1.323    0.495       1 
308408.000    22.6762125641   113.7686379564     17.469    -16.917     -1.182    0.480       1 
308409.000    22.6760605971   113.7686274501     17.873    -16.708     -0.990    0.387       1 
308410.000    22.6759114077   113.7686186737     18.216    -16.436     -0.873    0.325       1 
308411.000    22.6757633334   113.7686102031     18.501    -16.285     -0.878    0.225       1 
308412.000    22.6756170015   113.7686019918     18.677    -16.188     -0.858    0.112       1 
308413.000    22.6754706294   113.7685938209     18.789    -16.251     -0.846    0.108       1 
308414.000    22.6753234534   113.7685863376     18.803    -16.308     -0.728   -0.059       1 
308415.000    22.6751772562   113.7685816025     18.774    -16.140     -0.428   -0.106       1 
308416.000    22.6750314934   113.7685760823     18.710    -16.138     -0.659   -0.078       1 
308417.000    22.6748854387   113.7685672792     18.644    -16.170     -0.941   -0.058       1 
308418.000    22.6747383285   113.7685549636     18.556    -16.347     -1.346   -0.132       1 
308419.000    22.6745903594   113.7685401376     18.461    -16.309     -1.579   -0.049       1 
308420.000    22.6744436958   113.7685243892     18.368    -16.169     -1.618   -0.128       1 
308421.000    22.6742985992   113.7685087940     18.266    -16.058     -1.611   -0.146       1 
308422.000    22.6741526121   113.7684922435     18.158    -16.240     -1.711   -0.073       1 
308423.000    22.6740046876   113.7684709093     18.062    -16.449     -2.351   -0.112       1 
308424.000    22.6738548223   113.7684444176     17.926    -16.693     -2.815   -0.047       1 
308425.000    22.6737027073   113.7684154042     17.764    -16.927     -3.013   -0.185       1 
308426.000    22.6735502074   113.7683850827     17.641    -16.811     -3.129   -0.134       1 
308427.000    22.6733979681   113.7683545470     17.478    -16.934     -3.157   -0.129       1 
308428.000    22.6732445908   113.7683251079     17.386    -17.063     -3.042   -0.128       1 
308429.000    22.6730902985   113.7682953904     17.259    -17.108     -3.079   -0.088       1 
308430.000    22.6729361888   113.7682643026     17.183    -16.976     -3.238   -0.136       1 
308431.000    22.6727832001   113.7682326322     17.116    -16.949     -3.269   -0.043       1 
308432.000    22.6726303351   113.7682017845     17.046    -16.898     -3.208   -0.099       1 
308433.000    22.6724785354   113.7681710311     16.983    -16.733     -3.135   -0.043       1 
308434.000    22.6723278617   113.7681413660     16.907    -16.647     -3.019   -0.041       1 
308435.000    22.6721778565   113.7681132013     16.843    -16.605     -2.872   -0.118       1 
308436.000    22.6720272045   113.7680858676     16.734    -16.795     -2.796   -0.119       1 
308437.000    22.6718744754   113.7680586351     16.622    -17.034     -2.786   -0.139       1 
308438.000    22.6717196007   113.7680303859     16.489    -17.256     -2.984   -0.113       1 
308439.000    22.6715642283   113.7680038015     16.364    -17.224     -2.647   -0.188       1 
308440.000    22.6714082331   113.7679813907     16.158    -17.394     -2.209   -0.193       1 
308441.000    22.6712505937   113.7679615641     15.984    -17.533     -2.031   -0.173       1 
308442.000    22.6710924515   113.7679412146     15.822    -17.404     -2.175   -0.111       1 
308443.000    22.6709359931   113.7679172764     15.687    -17.246     -2.555   -0.177       1 
308444.000    22.6707802875   113.7678916402     15.531    -17.264     -2.644   -0.092       1 
308445.000    22.6706244630   113.7678672179     15.390    -17.277     -2.469   -0.189       1 
308446.000    22.6704686251   113.7678446944     15.236    -17.238     -2.305   -0.078       1 
308447.000    22.6703138233   113.7678248287     15.100    -17.073     -2.007   -0.150       1 
308448.000    22.6701610694   113.7678088627     14.944    -16.813     -1.562   -0.127       1 
308449.000    22.6700107192   113.7677968859     14.814    -16.538     -1.126   -0.176       1 
308450.000    22.6698619527   113.7677865816     14.693    -16.497     -1.093   -0.158       1 
308451.000    22.6697122349   113.7677753035     14.564    -16.669     -1.191   -0.092       1 
308452.000    22.6695610059   113.7677637475     14.448    -16.837     -1.202   -0.115       1 
308453.000    22.6694084171   113.7677525765     14.337    -16.978     -1.152   -0.074       1 
308454.000    22.6692551414   113.7677417850     14.265    -16.918     -1.108   -0.071       1 
308455.000    22.6691025970   113.7677314151     14.187    -16.905     -1.023   -0.039       1 
308456.000    22.6689496957   113.7677218241     14.109    -16.965     -0.986   -0.066       1 
