   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
359907.000    22.6743902831   113.8007204973      1.465     -9.127     -0.240   -0.031       0 
359908.000    22.6743072202   113.8007181282      1.442     -9.266     -0.231   -0.008       0 
359909.000    22.6742228654   113.8007156888      1.442     -9.416     -0.247    0.030       1 
359910.000    22.6741369042   113.8007125552      1.431     -9.621     -0.336   -0.012       1 
359911.000    22.6740502516   113.8007085394      1.435     -9.525     -0.434    0.030       1 
359912.000    22.6739641167   113.8007038526      1.427     -9.585     -0.480   -0.017       1 
359913.000    22.6738774849   113.8006992587      1.446     -9.553     -0.480    0.019       1 
359914.000    22.6737910568   113.8006956358      1.458     -9.629     -0.360    0.003       1 
359915.000    22.6737033412   113.8006934113      1.489     -9.820     -0.234    0.028       1 
359916.000    22.6736139203   113.8006916575      1.531     -9.983     -0.171    0.091       1 
359917.000    22.6735227999   113.8006894245      1.558    -10.202     -0.226    0.005       1 
359918.000    22.6734296808   113.8006867533      1.578    -10.338     -0.241    0.056       1 
359919.000    22.6733367729   113.8006833753      1.622    -10.229     -0.309    0.053       1 
359920.000    22.6732435715   113.8006797004      1.663    -10.447     -0.384    0.012       1 
359921.000    22.6731482056   113.8006776035      1.674    -10.691     -0.244    0.085       1 
359922.000    22.6730523330   113.8006784335      1.716    -10.566      0.080    0.094       1 
359923.000    22.6729569973   113.8006824032      1.765    -10.620      0.420    0.086       1 
359924.000    22.6728605397   113.8006885934      1.793    -10.785      0.647    0.031       1 
359925.000    22.6727624022   113.8006955863      1.819    -10.966      0.656    0.048       1 
359926.000    22.6726639278   113.8007022528      1.842    -10.819      0.710    0.007       1 
359927.000    22.6725672465   113.8007097243      1.872    -10.652      0.706    0.103       1 
359928.000    22.6724717571   113.8007199123      1.931    -10.581      1.066    0.054       1 
359929.000    22.6723766930   113.8007335386      1.936    -10.551      1.443    0.044       1 
359930.000    22.6722821624   113.8007490236      1.958    -10.393      1.577    0.034       2 
359931.000    22.6721881305   113.8007657264      1.987    -10.492      1.744    0.023       2 
359932.000    22.6720929244   113.8007818440      2.016    -10.505      1.640    0.069       2 
359933.000    22.6719988597   113.8007970827      2.042    -10.339      1.536    0.029       2 
359934.000    22.6719055363   113.8008128575      2.034    -10.366      1.646    0.018       2 
359935.000    22.6718127271   113.8008293083      2.056    -10.184      1.698    0.011       2 
359936.000    22.6717216978   113.8008459475      2.066     -9.988      1.699    0.008       2 
359937.000    22.6716320399   113.8008611058      2.041     -9.805      1.510   -0.028       2 
359938.000    22.6715452545   113.8008745210      2.042     -9.366      1.419    0.056       2 
359939.000    22.6714628742   113.8008888402      2.041     -8.938      1.448   -0.045       2 
359940.000    22.6713836225   113.8009064307      2.032     -8.779      1.799   -0.045       2 
359941.000    22.6713046273   113.8009288552      1.993     -8.849      2.392   -0.037       2 
359942.000    22.6712243432   113.8009537130      2.010     -8.987      2.586    0.025       2 
359943.000    22.6711432071   113.8009819475      2.031     -9.087      2.949    0.032       2 
359944.000    22.6710607833   113.8010135292      2.005     -9.251      3.279    0.004       2 
359945.000    22.6709768389   113.8010485862      1.991     -9.414      3.673   -0.015       2 
359946.000    22.6708910137   113.8010860357      1.955     -9.644      3.916   -0.082       2 
359947.000    22.6708031949   113.8011260788      1.924     -9.865      4.150    0.037       2 
359948.000    22.6707139018   113.8011693146      1.941     -9.995      4.523    0.009       2 
359949.000    22.6706236822   113.8012170332      1.896    -10.100      4.963   -0.067       2 
359950.000    22.6705327630   113.8012692975      1.939    -10.139      5.451    0.027       2 
359951.000    22.6704416950   113.8013260788      1.954    -10.131      5.974    0.025       0 
359952.000    22.6703493082   113.8013848219      1.963    -10.325      6.099   -0.016       0 
359953.000    22.6702549170   113.8014438213      1.924    -10.465      6.093   -0.064       0 
359954.000    22.6701606786   113.8015026439      1.921    -10.481      6.062   -0.027       0 
359955.000    22.6700670527   113.8015629449      1.881    -10.279      6.152   -0.015       0 
359956.000    22.6699759219   113.8016238557      1.849     -9.938      6.169   -0.027       1 
359957.000    22.6698884158   113.8016842071      1.813     -9.486      6.105   -0.009       1 
359958.000    22.6698053204   113.8017436073      1.801     -8.971      6.007   -0.022       1 
359959.000    22.6697270016   113.8018022058      1.780     -8.472      5.916   -0.048       1 
359960.000    22.6696528022   113.8018596064      1.736     -8.034      5.755   -0.018       1 
359961.000    22.6695816387   113.8019143288      1.702     -7.653      5.516   -0.011       1 
359962.000    22.6695139416   113.8019671007      1.673     -7.329      5.326   -0.059       1 
359963.000    22.6694491985   113.8020187819      1.627     -7.105      5.233   -0.055       1 
359964.000    22.6693864858   113.8020716118      1.613     -6.891      5.433   -0.074       1 
359965.000    22.6693254725   113.8021251619      1.567     -6.674      5.463    0.023       1 
359966.000    22.6692662008   113.8021785771      1.551     -6.430      5.522   -0.050       1 
359967.000    22.6692102434   113.8022318169      1.573     -6.052      5.324   -0.023       1 
359968.000    22.6691586294   113.8022842686      1.562     -5.546      5.223   -0.011       1 
359969.000    22.6691108934   113.8023348521      1.549     -5.123      4.981   -0.004       1 
359970.000    22.6690662663   113.8023831430      1.548     -4.814      4.855   -0.001       1 
359971.000    22.6690238772   113.8024287446      1.538     -4.643      4.396    0.059       1 
359972.000    22.6689839447   113.8024719725      1.516     -4.288      4.336   -0.018       1 
359973.000    22.6689455334   113.8025134669      1.489     -4.266      4.255   -0.023       1 
359974.000    22.6689066111   113.8025569127      1.438     -4.444      4.557   -0.035       1 
359975.000    22.6688663559   113.8026024855      1.407     -4.438      4.621   -0.027       1 
359976.000    22.6688275848   113.8026483323      1.361     -4.241      4.734   -0.057       1 
359977.000    22.6687887366   113.8026941880      1.338     -4.351      4.807   -0.035       1 
359978.000    22.6687496330   113.8027420632      1.308     -4.379      4.983   -0.048       1 
359979.000    22.6687099848   113.8027907149      1.297     -4.414      5.038   -0.018       1 
359980.000    22.6686699917   113.8028405451      1.287     -4.436      5.097   -0.023       1 
359981.000    22.6686309843   113.8028908750      1.262     -4.266      5.186   -0.021       1 
359982.000    22.6685920429   113.8029408716      1.237     -4.331      5.206   -0.016       1 
359983.000    22.6685521093   113.8029914402      1.209     -4.487      5.259   -0.067       1 
359984.000    22.6685112581   113.8030438799      1.177     -4.598      5.549   -0.016       1 
359985.000    22.6684697079   113.8030986240      1.156     -4.667      5.657   -0.031       1 
359986.000    22.6684284153   113.8031545485      1.132     -4.572      5.766   -0.071       1 
359987.000    22.6683864661   113.8032120813      1.113     -4.717      6.019   -0.028       1 
359988.000    22.6683437193   113.8032687265      1.101     -4.638      5.728   -0.012       1 
359989.000    22.6683024087   113.8033239020      1.080     -4.551      5.635   -0.006       1 
359990.000    22.6682615498   113.8033785341      1.051     -4.565      5.614   -0.047       1 
359991.000    22.6682201976   113.8034336903      1.022     -4.603      5.714   -0.102       1 
359992.000    22.6681793606   113.8034893413      1.016     -4.514      5.691   -0.017       1 
359993.000    22.6681389097   113.8035454272      1.002     -4.464      5.794    0.008       1 
359994.000    22.6680991520   113.8036013211      0.986     -4.405      5.736    0.000       1 
359995.000    22.6680589110   113.8036586584      0.968     -4.552      6.003    0.014       1 
359996.000    22.6680171093   113.8037183331      0.952     -4.692      6.264   -0.029       1 
359997.000    22.6679735302   113.8037799594      0.936     -4.971      6.508   -0.016       1 
359998.000    22.6679266274   113.8038442218      0.915     -5.353      6.798   -0.003       1 
359999.000    22.6678766591   113.8039114906      0.886     -5.664      7.065   -0.044       1 
360000.000    22.6678243549   113.8039821025      0.857     -5.918      7.405   -0.009       1 
360001.000    22.6677700851   113.8040558171      0.822     -6.139      7.754   -0.026       1 
360002.000    22.6677136455   113.8041325330      0.801     -6.371      8.058   -0.041       1 
360003.000    22.6676550519   113.8042122924      0.771     -6.605      8.374   -0.020       1 
360004.000    22.6675945905   113.8042953304      0.745     -6.807      8.716   -0.037       1 
360005.000    22.6675323571   113.8043801355      0.712     -6.884      8.672    0.048       1 
360006.000    22.6674695374   113.8044630417      0.718     -6.926      8.448    0.004       1 
360007.000    22.6674073286   113.8045442157      0.725     -6.796      8.232   -0.032       1 
360008.000    22.6673473480   113.8046227045      0.753     -6.498      7.907    0.007       1 
360009.000    22.6672902813   113.8046975237      0.780     -6.151      7.481    0.035       1 
360010.000    22.6672358879   113.8047684304      0.804     -5.907      7.155    0.028       1 
360011.000    22.6671828503   113.8048371049      0.843     -5.815      7.001    0.035       1 
360012.000    22.6671313276   113.8049036927      0.880     -5.590      6.710    0.053       1 
360013.000    22.6670819680   113.8049670818      0.900     -5.283      6.311    0.101       1 
360014.000    22.6670354443   113.8050263455      0.951     -4.965      5.872    0.040       1 
360015.000    22.6669919250   113.8050819255      0.990     -4.660      5.562    0.056       1 
360016.000    22.6669516761   113.8051344394      1.020     -4.321      5.225    0.017       1 
360017.000    22.6669143278   113.8051842966      1.063     -4.094      4.933    0.014       1 
360018.000    22.6668788062   113.8052335620      1.058     -3.887      5.047    0.030       1 
360019.000    22.6668440939   113.8052837496      1.097     -3.881      5.175   -0.006       1 
360020.000    22.6668092587   113.8053338801      1.115     -3.786      5.114    0.049       1 
360021.000    22.6667751276   113.8053822069      1.127     -3.680      4.856    0.009       1 
360022.000    22.6667434385   113.8054267852      1.135     -3.310      4.348    0.002       1 
360023.000    22.6667151961   113.8054659963      1.162     -2.935      3.858   -0.024       1 
360024.000    22.6666906936   113.8054995798      1.180     -2.404      3.101   -0.028       1 
360025.000    22.6666717503   113.8055253034      1.200     -1.719      2.163    0.017       1 
360026.000    22.6666600019   113.8055412990      1.216     -0.895      1.126    0.010       1 
360027.000    22.6666556181   113.8055473081      1.222     -0.105      0.132    0.000       1 
360028.000    22.6666556086   113.8055473624      1.229      0.001      0.000    0.012       1 
360029.000    22.6666556101   113.8055473856      1.232      0.000      0.004    0.007       1 
360030.000    22.6666556139   113.8055473987      1.233     -0.000      0.001    0.002       1 
360031.000    22.6666556114   113.8055474062      1.233     -0.001      0.002    0.001       1 
360032.000    22.6666556082   113.8055474066      1.233     -0.006     -0.001    0.001       1 
360033.000    22.6666556060   113.8055474085      1.233      0.001      0.008    0.006       1 
360034.000    22.6666556083   113.8055474011      1.233     -0.002     -0.005    0.011       1 
360035.000    22.6666556155   113.8055473944      1.233      0.001      0.001    0.008       1 
360036.000    22.6666556179   113.8055473880      1.233     -0.001     -0.005    0.004       1 
360037.000    22.6666556161   113.8055473786      1.233      0.000      0.006    0.003       1 
360038.000    22.6666556128   113.8055473702      1.232      0.001      0.003    0.003       1 
360039.000    22.6666556130   113.8055473645      1.232     -0.001     -0.004    0.005       1 
360040.000    22.6666556080   113.8055473600      1.232     -0.002     -0.003    0.000       1 
360041.000    22.6666556046   113.8055473633      1.233     -0.001     -0.001    0.002       1 
360042.000    22.6666556035   113.8055473688      1.233     -0.000      0.004    0.004       1 
360043.000    22.6666556058   113.8055473748      1.233     -0.001     -0.001    0.007       1 
360044.000    22.6666556044   113.8055473793      1.232     -0.001      0.001   -0.000       1 
360045.000    22.6666556037   113.8055473832      1.232      0.001      0.005    0.001       1 
360046.000    22.6666556053   113.8055473829      1.232      0.000      0.005    0.006       1 
360047.000    22.6666556080   113.8055473812      1.231     -0.000     -0.001    0.008       1 
360048.000    22.6666556081   113.8055473788      1.231     -0.003     -0.002   -0.004       1 
360049.000    22.6666556089   113.8055473816      1.230     -0.001     -0.004    0.001       1 
360050.000    22.6666556125   113.8055473836      1.229      0.001     -0.000    0.007       1 
360051.000    22.6666556136   113.8055473847      1.228     -0.002     -0.005    0.004       1 
360052.000    22.6666556150   113.8055473815      1.228     -0.000     -0.004    0.001       1 
360053.000    22.6666556198   113.8055473808      1.228      0.000      0.000    0.000       1 
360054.000    22.6666556249   113.8055473846      1.229     -0.000     -0.001    0.004       1 
360055.000    22.6666556288   113.8055473890      1.229     -0.002     -0.004    0.009       1 
360056.000    22.6666556309   113.8055473958      1.228      0.000      0.000    0.005       1 
360057.000    22.6666556323   113.8055474036      1.228      0.000     -0.001    0.003       1 
360058.000    22.6666556342   113.8055474142      1.226      0.003      0.002    0.003       1 
360059.000    22.6666556371   113.8055474184      1.225     -0.001     -0.001    0.004       1 
360060.000    22.6666556373   113.8055474193      1.224     -0.001     -0.006    0.009       1 
360061.000    22.6666556381   113.8055474162      1.224      0.001     -0.002    0.004       1 
360062.000    22.6666556396   113.8055474134      1.224     -0.001     -0.004    0.006       1 
