+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/Shenzhen202009/20200917Shenzhen/20200917115800/20200917115800.ini "
-      数据(惯导) = " E:/Shenzhen202009/20200917Shenzhen/20200917115800.bin "
-      数据(流动) = " E:/Shenzhen202009/20200917Shenzhen/20200917115800/GNSS/20200917115800.pos "
-      数据(结果) = " E:/Shenzhen202009/20200917Shenzhen/20200917115800/Loose "

+ (3)  重要处理参数
-      处理模式 = " Loosely Couple "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " 0.000,-0.220,-0.845 "杆臂量取至L1相位中心
-      目标杆臂信息 = "  2.560,-0.210,-0.060 "
-      基准站的坐标 = "   22 31 17.000276, 113 54 42.008634, 23.8947(m),  0.0000(m),2020_09_17SZ "
-      基准站的坐标 = "   22 32 42.003815, 113 53 52.787399, 77.3969(m),  0.0000(m),2020_09_17QXFZ2 "
-      基准站的坐标 = "   22 34 22.803825, 113 50 59.987381, 72.8359(m),  0.0000(m),2020_09_17QXFZ "

+ (4)  时间信息
-      时间(导出) = " 2020/09/18 00:43:30 "
-      时间(数据) = " 2020/09/17 03:58:21 ~ 2020/09/17 04:46:49 "
-      时间(处理) = " 2020/09/17 03:58:26 ~ 2020/09/17 04:46:02 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
-      Vel-N        = 北向速度                           
-      Vel-E        = 东向速度                           
-      Vel-U        = 垂向速度(上)                        
-      Q            = GNSS定位质量                       
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
359907.000    22.6743889095   113.8007195454      1.376     -9.127     -0.240   -0.032       0 
359908.000    22.6743058445   113.8007171795      1.353     -9.266     -0.229   -0.004       0 
359909.000    22.6742214891   113.8007147375      1.354     -9.416     -0.247    0.030       1 
359910.000    22.6741355368   113.8007115885      1.343     -9.620     -0.332   -0.006       1 
359911.000    22.6740488890   113.8007075684      1.346     -9.525     -0.437    0.027       1 
359912.000    22.6739627591   113.8007028758      1.338     -9.586     -0.480   -0.019       1 
359913.000    22.6738761232   113.8006982852      1.358     -9.554     -0.481    0.016       1 
359914.000    22.6737896879   113.8006946791      1.368     -9.627     -0.361    0.006       1 
359915.000    22.6737019531   113.8006924721      1.401     -9.819     -0.237    0.026       1 
359916.000    22.6736125336   113.8006907191      1.443     -9.981     -0.167    0.099       1 
359917.000    22.6735214150   113.8006884819      1.470    -10.202     -0.226    0.005       1 
359918.000    22.6734283034   113.8006858007      1.490    -10.338     -0.241    0.056       1 
359919.000    22.6733354009   113.8006824134      1.534    -10.229     -0.308    0.053       1 
359920.000    22.6732421954   113.8006787433      1.575    -10.449     -0.389    0.003       1 
359921.000    22.6731468123   113.8006766756      1.586    -10.688     -0.249    0.085       1 
359922.000    22.6730509119   113.8006775541      1.628    -10.557      0.078    0.106       1 
359923.000    22.6729555522   113.8006815688      1.678    -10.616      0.415    0.087       1 
359924.000    22.6728590847   113.8006877816      1.705    -10.785      0.648    0.030       1 
359925.000    22.6727609472   113.8006947736      1.732    -10.963      0.653    0.049       1 
359926.000    22.6726624754   113.8007014472      1.753    -10.818      0.713    0.012       1 
359927.000    22.6725657801   113.8007089368      1.785    -10.646      0.698    0.104       1 
359928.000    22.6724702665   113.8007191805      1.843    -10.579      1.058    0.048       1 
359929.000    22.6723751817   113.8007328514      1.849    -10.549      1.443    0.047       1 
359930.000    22.6722806463   113.8007483647      1.870    -10.389      1.574    0.036       2 
359931.000    22.6721866074   113.8007650714      1.899    -10.494      1.744    0.020       2 
359932.000    22.6720914079   113.8007811736      1.928    -10.505      1.637    0.065       2 
359933.000    22.6719973450   113.8007964127      1.954    -10.338      1.535    0.030       2 
359934.000    22.6719040190   113.8008122049      1.945    -10.365      1.645    0.019       2 
359935.000    22.6718112036   113.8008286668      1.968    -10.185      1.697    0.007       2 
359936.000    22.6717201742   113.8008453058      1.978     -9.989      1.701    0.009       2 
359937.000    22.6716305329   113.8008604431      1.950     -9.806      1.512   -0.027       2 
359938.000    22.6715437453   113.8008738496      1.953     -9.365      1.421    0.060       2 
359939.000    22.6714613510   113.8008882127      1.952     -8.934      1.443   -0.044       2 
359940.000    22.6713820747   113.8009058806      1.943     -8.775      1.788   -0.050       2 
359941.000    22.6713030532   113.8009283733      1.905     -8.850      2.388   -0.042       2 
359942.000    22.6712227575   113.8009532766      1.922     -8.986      2.575    0.015       2 
359943.000    22.6711416102   113.8009815717      1.942     -9.084      2.948    0.034       2 
359944.000    22.6710591811   113.8010132059      1.916     -9.246      3.277    0.011       2 
359945.000    22.6709752289   113.8010482952      1.902     -9.414      3.673   -0.014       2 
359946.000    22.6708894015   113.8010857697      1.866     -9.644      3.911   -0.088       2 
359947.000    22.6708015729   113.8011258438      1.836     -9.863      4.145    0.035       2 
359948.000    22.6707122760   113.8011691245      1.852     -9.992      4.521    0.011       2 
359949.000    22.6706220514   113.8012169028      1.808    -10.097      4.965   -0.060       2 
359950.000    22.6705311311   113.8012692381      1.850    -10.134      5.447    0.030       2 
359951.000    22.6704400626   113.8013260709      1.865    -10.131      5.975    0.025       0 
359952.000    22.6703476751   113.8013847999      1.874    -10.327      6.102   -0.016       0 
359953.000    22.6702532853   113.8014437920      1.835    -10.469      6.092   -0.071       0 
359954.000    22.6701590465   113.8015026213      1.832    -10.480      6.061   -0.027       0 
359955.000    22.6700654235   113.8015629549      1.791    -10.275      6.150   -0.010       0 
359956.000    22.6699742913   113.8016238908      1.759     -9.937      6.170   -0.024       1 
359957.000    22.6698867885   113.8016842717      1.723     -9.482      6.105   -0.004       1 
