   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
359907.000    22.6744005838   113.8007210065      2.045     -9.125     -0.243   -0.028       0 
359908.000    22.6743175232   113.8007186132      2.022     -9.275     -0.245   -0.027       0 
359909.000    22.6742331811   113.8007161933      2.020     -9.420     -0.248    0.023       1 
359910.000    22.6741472037   113.8007131716      2.011     -9.631     -0.360   -0.034       1 
359911.000    22.6740605578   113.8007091945      2.013     -9.529     -0.414    0.024       1 
359912.000    22.6739744194   113.8007045540      2.005     -9.579     -0.482   -0.005       1 
359913.000    22.6738877930   113.8006999330      2.024     -9.542     -0.468    0.042       1 
359914.000    22.6738013406   113.8006961798      2.041     -9.636     -0.350   -0.008       1 
359915.000    22.6737136750   113.8006938207      2.063     -9.816     -0.208    0.039       1 
359916.000    22.6736242453   113.8006920619      2.107    -10.003     -0.202    0.048       1 
359917.000    22.6735331336   113.8006898618      2.132    -10.203     -0.228    0.002       1 
359918.000    22.6734399926   113.8006872631      2.156    -10.348     -0.245    0.035       1 
359919.000    22.6733470874   113.8006839557      2.198    -10.237     -0.319    0.035       1 
359920.000    22.6732538986   113.8006802461      2.238    -10.425     -0.353    0.058       1 
359921.000    22.6731585377   113.8006779298      2.249    -10.692     -0.208    0.088       1 
359922.000    22.6730626738   113.8006784037      2.290    -10.595      0.102    0.040       1 
359923.000    22.6729673424   113.8006820493      2.337    -10.628      0.453    0.074       1 
359924.000    22.6728708694   113.8006880776      2.367    -10.777      0.645    0.045       1 
359925.000    22.6727727184   113.8006950750      2.396    -10.967      0.681    0.048       1 
359926.000    22.6726742286   113.8007016950      2.422    -10.825      0.687   -0.009       1 
359927.000    22.6725775658   113.8007090369      2.447    -10.667      0.762    0.080       1 
359928.000    22.6724820587   113.8007188385      2.503    -10.575      1.122    0.073       1 
359929.000    22.6723869696   113.8007321575      2.507    -10.553      1.444    0.039       1 
359930.000    22.6722923758   113.8007474515      2.537    -10.405      1.604    0.014       2 
359931.000    22.6721983605   113.8007641274      2.562    -10.485      1.742    0.037       2 
359932.000    22.6721031603   113.8007803489      2.592    -10.507      1.656    0.066       2 
359933.000    22.6720090899   113.8007955846      2.620    -10.338      1.545    0.032       2 
359934.000    22.6719157411   113.8008112430      2.614    -10.375      1.652    0.001       2 
359935.000    22.6718229365   113.8008276196      2.633    -10.178      1.707    0.023       2 
359936.000    22.6717318998   113.8008442599      2.644     -9.988      1.687    0.006       2 
359937.000    22.6716422347   113.8008595613      2.625     -9.808      1.491   -0.035       2 
359938.000    22.6715554763   113.8008730340      2.622     -9.376      1.405    0.036       2 
359939.000    22.6714730464   113.8008870580      2.623     -8.940      1.491   -0.044       2 
359940.000    22.6713937012   113.8009041382      2.615     -8.773      1.876   -0.025       2 
359941.000    22.6713146283   113.8009261247      2.572     -8.847      2.418   -0.030       2 
359942.000    22.6712342863   113.8009506953      2.587     -8.981      2.662    0.047       2 
