
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
388582.000    22.5774241625   113.8674003663      0.914      4.199     -4.980    0.014       1 
388583.000    22.5774624803   113.8673514916      0.929      4.297     -5.073    0.012       1 
388584.000    22.5775010776   113.8673025769      0.948      4.243     -4.975    0.027       1 
388585.000    22.5775392613   113.8672542521      0.970      4.238     -5.029    0.050       1 
388586.000    22.5775788007   113.8672043467      0.990      4.519     -5.306    0.042       1 
388587.000    22.5776209852   113.8671512732      1.009      4.765     -5.529    0.021       1 
388588.000    22.5776638117   113.8670975647      1.028      4.736     -5.503    0.033       1 
388589.000    22.5777072605   113.8670433365      1.045      4.871     -5.635    0.041       1 
388590.000    22.5777512134   113.8669887086      1.065      4.820     -5.528    0.052       1 
388591.000    22.5777940055   113.8669352820      1.097      4.663     -5.449    0.045       1 
388592.000    22.5778344179   113.8668842812      1.136      4.287     -5.012    0.067       1 
388593.000    22.5778720867   113.8668362378      1.166      4.110     -4.853    0.021       1 
388594.000    22.5779084646   113.8667895067      1.185      3.935     -4.689    0.045       1 
388595.000    22.5779431626   113.8667448081      1.203      3.799     -4.546    0.025       1 
388596.000    22.5779775650   113.8667011723      1.218      3.811     -4.438    0.001       1 
388597.000    22.5780120963   113.8666583364      1.228      3.794     -4.341    0.034       1 
388598.000    22.5780466513   113.8666163760      1.249      3.851     -4.308    0.034       1 
388599.000    22.5780817975   113.8665736977      1.272      3.923     -4.489    0.061       1 
388600.000    22.5781175957   113.8665296827      1.290      4.021     -4.590    0.012       1 
388601.000    22.5781543811   113.8664843448      1.297      4.148     -4.749    0.009       1 
388602.000    22.5781926209   113.8664374850      1.306      4.329     -4.930   -0.015       1 
388603.000    22.5782326436   113.8663883935      1.322      4.505     -5.131    0.025       1 
388604.000    22.5782728236   113.8663382537      1.326      4.458     -5.212    0.023       1 
388605.000    22.5783133285   113.8662868043      1.330      4.524     -5.455    0.017       1 
388606.000    22.5783545878   113.8662333381      1.335      4.635     -5.626    0.026       1 
388607.000    22.5783969969   113.8661776315      1.340      4.789     -5.832   -0.015       1 
388608.000    22.5784414645   113.8661200629      1.326      5.043     -5.992   -0.027       1 
388609.000    22.5784884179   113.8660607117      1.289      5.309     -6.217   -0.036       1 
388610.000    22.5785372505   113.8659992723      1.274      5.456     -6.351    0.024       0 
388611.000    22.5785861735   113.8659372647      1.256      5.407     -6.426   -0.002       0 
388612.000    22.5786358487   113.8658749110      1.240      5.504     -6.387   -0.017       0 
388613.000    22.5786855406   113.8658135536      1.221      5.485     -6.272   -0.036       0 
388614.000    22.5787350255   113.8657530385      1.193      5.445     -6.146   -0.047       1 
388615.000    22.5787838542   113.8656939925      1.156      5.324     -6.021   -0.002       1 
388616.000    22.5788304348   113.8656373691      1.125      5.040     -5.703   -0.026       1 
388617.000    22.5788750637   113.8655829574      1.096      4.789     -5.440    0.005       1 
388618.000    22.5789168865   113.8655322246      1.072      4.483     -5.029   -0.019       1 
388619.000    22.5789569263   113.8654839852      1.047      4.397     -4.881   -0.022       1 
388620.000    22.5789964239   113.8654367312      1.023      4.333     -4.810   -0.005       1 
388621.000    22.5790347629   113.8653912657      0.997      4.162     -4.529    0.000       1 
388622.000    22.5790715516   113.8653480577      0.979      3.975     -4.343   -0.008       1 
388623.000    22.5791068995   113.8653069464      0.968      3.830     -4.134   -0.018       1 
388624.000    22.5791409111   113.8652676937      0.959      3.691     -3.928    0.015       1 
388625.000    22.5791735412   113.8652302426      0.958      3.521     -3.760    0.006       1 
388626.000    22.5792032283   113.8651961869      0.957      3.086     -3.286    0.008       1 
388627.000    22.5792296040   113.8651659853      0.957      2.815     -2.990   -0.020       1 
388628.000    22.5792539787   113.8651373458      0.956      2.661     -2.959   -0.002       1 
388629.000    22.5792781580   113.8651070048      0.964      2.876     -3.443    0.017       1 
388630.000    22.5793049516   113.8650698275      0.987      3.160     -4.306    0.040       1 
388631.000    22.5793348841   113.8650250700      1.020      3.517     -4.929    0.034       1 
388632.000    22.5793681353   113.8649749909      1.059      3.884     -5.268    0.049       1 
388633.000    22.5794067480   113.8649219164      1.102      4.503     -5.514    0.048       1 
388634.000    22.5794484555   113.8648695918      1.153      4.543     -5.122    0.082       1 
388635.000    22.5794902623   113.8648213821      1.208      4.560     -4.780    0.063       1 
388636.000    22.5795317611   113.8647752572      1.261      4.635     -4.669    0.051       1 
388637.000    22.5795756949   113.8647278593      1.314      5.092     -5.083    0.047       1 
388638.000    22.5796222049   113.8646786627      1.363      5.100     -4.954    0.046       1 
388639.000    22.5796671892   113.8646311927      1.415      4.857     -4.828    0.043       1 
388640.000    22.5797095286   113.8645862343      1.468      4.506     -4.445    0.050       0 
388641.000    22.5797486932   113.8645450240      1.512      4.189     -4.078    0.067       0 
388642.000    22.5797855461   113.8645067378      1.565      3.946     -3.782    0.057       1 
388643.000    22.5798198097   113.8644714065      1.614      3.643     -3.466    0.047       1 
388644.000    22.5798511247   113.8644388568      1.659      3.322     -3.195    0.039       1 
388645.000    22.5798797520   113.8644091012      1.706      3.043     -2.909    0.045       1 
388646.000    22.5799045456   113.8643829549      1.742      2.504     -2.520    0.055       1 
388647.000    22.5799247554   113.8643610357      1.762      1.896     -1.956    0.010       1 
388648.000    22.5799402866   113.8643434113      1.784      1.588     -1.742    0.034       1 
388649.000    22.5799524756   113.8643281484      1.803      1.253     -1.513    0.018       1 
388650.000    22.5799622635   113.8643148171      1.821      0.984     -1.238    0.023       1 
388651.000    22.5799695261   113.8643059938      1.834      0.549     -0.514    0.012       1 
388652.000    22.5799727350   113.8643028341      1.840      0.094     -0.084    0.005       1 
388653.000    22.5799728235   113.8643027515      1.842     -0.001      0.002    0.013       1 
388654.000    22.5799728370   113.8643027426      1.843      0.000      0.000    0.008       1 
388655.000    22.5799728395   113.8643027335      1.844      0.001      0.006    0.018       1 
388656.000    22.5799729425   113.8643026207      1.847      0.053     -0.051    0.015       1 
388657.000    22.5799748888   113.8643002543      1.853      0.422     -0.509    0.013       1 
388658.000    22.5799798648   113.8642926123      1.866      0.908     -1.220    0.008       1 
388659.000    22.5799893831   113.8642790966      1.882      1.203     -1.324    0.034       1 
388660.000    22.5800034389   113.8642640956      1.910      1.655     -1.563    0.042       1 
