
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
388582.000    22.5774203520   113.8674101847      1.498      4.198     -4.987    0.017       1 
388583.000    22.5774586343   113.8673613037      1.511      4.301     -5.066    0.015       1 
388584.000    22.5774972050   113.8673123758      1.530      4.239     -4.981    0.024       1 
388585.000    22.5775353868   113.8672640567      1.551      4.233     -5.008    0.032       1 
388586.000    22.5775749127   113.8672141489      1.570      4.514     -5.304    0.033       1 
388587.000    22.5776170838   113.8671610691      1.590      4.763     -5.526    0.016       1 
388588.000    22.5776599007   113.8671073421      1.611      4.722     -5.534    0.023       1 
388589.000    22.5777033248   113.8670531121      1.627      4.858     -5.653    0.027       1 
388590.000    22.5777472539   113.8669984718      1.646      4.808     -5.539    0.034       1 
388591.000    22.5777900670   113.8669450586      1.678      4.660     -5.444    0.037       1 
388592.000    22.5778305096   113.8668940541      1.720      4.284     -5.002    0.057       1 
388593.000    22.5778682178   113.8668460213      1.751      4.111     -4.858    0.024       1 
388594.000    22.5779046475   113.8667993153      1.770      3.930     -4.678    0.030       1 
388595.000    22.5779393480   113.8667546194      1.788      3.809     -4.537    0.038       1 
388596.000    22.5779736708   113.8667109464      1.803      3.812     -4.444    0.006       1 
388597.000    22.5780081121   113.8666680649      1.813      3.785     -4.346    0.019       1 
388598.000    22.5780425742   113.8666260761      1.832      3.845     -4.308    0.024       1 
388599.000    22.5780777491   113.8665834148      1.855      3.923     -4.456    0.046       1 
388600.000    22.5781135952   113.8665394082      1.875      4.028     -4.587    0.022       1 
388601.000    22.5781503932   113.8664940777      1.882      4.154     -4.721    0.008       1 
388602.000    22.5781886166   113.8664472197      1.889      4.335     -4.929   -0.005       1 
388603.000    22.5782286635   113.8663981368      1.905      4.510     -5.127    0.032       1 
388604.000    22.5782689230   113.8663480256      1.911      4.453     -5.206    0.012       1 
388605.000    22.5783094945   113.8662965957      1.917      4.528     -5.430    0.012       1 
388606.000    22.5783508579   113.8662431857      1.920      4.637     -5.599    0.017       1 
388607.000    22.5783933038   113.8661875016      1.924      4.792     -5.836   -0.007       1 
388608.000    22.5784376999   113.8661298758      1.914      5.044     -5.984   -0.029       1 
388609.000    22.5784845661   113.8660704928      1.876      5.307     -6.219   -0.039       1 
