   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
485814.000    22.6225891043   113.9182402523     34.226      5.893    -10.910    0.305       2 
485815.000    22.6226438101   113.9181352039     34.508      6.135    -10.486    0.199       2 
485816.000    22.6226995379   113.9180349591     34.773      6.120    -10.043    0.319       2 
485817.000    22.6227543999   113.9179393664     35.041      6.037     -9.640    0.210       0 
485818.000    22.6228099431   113.9178453228     35.252      6.279     -9.711    0.192       0 
485819.000    22.6228679826   113.9177487399     35.448      6.520     -9.986    0.194       0 
485820.000    22.6229275034   113.9176522785     35.618      6.648     -9.825    0.133       0 
485821.000    22.6229900978   113.9175559113     35.749      7.128     -9.947    0.129       0 
485822.000    22.6230570518   113.9174582588     35.867      7.624    -10.030    0.096       0 
485823.000    22.6231281209   113.9173603494     35.968      7.969     -9.944    0.098       0 
485824.000    22.6232017677   113.9172645089     36.071      8.275     -9.758    0.104       0 
485825.000    22.6232786118   113.9171694356     36.199      8.643     -9.791    0.133       0 
485826.000    22.6233580061   113.9170734554     36.311      8.924     -9.916    0.119       0 
485827.000    22.6234400843   113.9169772621     36.440      9.157     -9.712    0.109       0 
485828.000    22.6235241281   113.9168840885     36.536      9.382     -9.372    0.070       0 
485829.000    22.6236105217   113.9167929713     36.669      9.712     -9.293    0.135       0 
485830.000    22.6237004863   113.9167029369     36.836     10.125     -9.232    0.178       0 
485831.000    22.6237942218   113.9166132720     36.995     10.542     -9.226    0.160       2 
485832.000    22.6238915673   113.9165232040     37.150     10.950     -9.322    0.148       2 
485833.000    22.6239918731   113.9164311216     37.312     11.257     -9.629    0.133       2 
485834.000    22.6240948157   113.9163362647     37.471     11.558     -9.895    0.135       1 
485835.000    22.6242001804   113.9162395006     37.622     11.715     -9.883    0.128       1 
485836.000    22.6243062226   113.9161439404     37.760     11.760     -9.738    0.107       1 
485837.000    22.6244111988   113.9160488388     37.846     11.517     -9.898    0.097       1 
485838.000    22.6245144327   113.9159518800     37.904     11.432    -10.041    0.057       1 
485839.000    22.6246174010   113.9158547639     37.943     11.385     -9.795    0.011       1 
485840.000    22.6247209459   113.9157613196     37.932     11.433     -9.451   -0.027       1 
485841.000    22.6248232234   113.9156700631     37.880     11.228     -9.351   -0.090       1 
485842.000    22.6249243075   113.9155789608     37.776     11.166     -9.361   -0.131       1 
485843.000    22.6250245110   113.9154883361     37.708     11.019     -9.256   -0.022       1 
