GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
23242.000    22.5804716893   113.8638557118      2.520      2.661     -2.506    0.015       1 
23243.000    22.5804895282   113.8638375535      2.542      1.271     -1.206    0.021       1 
23244.000    22.5804945855   113.8638324404      2.548     -0.074      0.059    0.026       1 
23245.000    22.5804945237   113.8638325399      2.552      0.002     -0.006    0.011       1 
23246.000    22.5804945565   113.8638324736      2.552      0.005     -0.020   -0.007       1 
23247.000    22.5804945973   113.8638323526      2.551      0.003     -0.016   -0.003       1 
23248.000    22.5804946182   113.8638322598      2.550      0.001     -0.003    0.012       1 
23249.000    22.5804946236   113.8638322036      2.550     -0.001     -0.010   -0.004       1 
23250.000    22.5804946181   113.8638321752      2.549     -0.001     -0.003   -0.005       1 
23251.000    22.5804946032   113.8638321654      2.547     -0.003     -0.001    0.013       1 
23252.000    22.5804945857   113.8638321633      2.546     -0.004     -0.002    0.009       1 
23253.000    22.5804945639   113.8638321605      2.546     -0.002     -0.001   -0.003       1 
23254.000    22.5804945454   113.8638321569      2.547     -0.003     -0.006   -0.003       1 
23255.000    22.5804945327   113.8638321570      2.547     -0.002      0.001    0.012       1 
23256.000    22.5804945282   113.8638321596      2.548     -0.001      0.000    0.007       1 
23257.000    22.5804945307   113.8638321647      2.548      0.001      0.004   -0.008       1 
23258.000    22.5804945335   113.8638321729      2.548     -0.001     -0.001    0.007       1 
23259.000    22.5804945360   113.8638321786      2.547     -0.001      0.000    0.002       1 
23260.000    22.5804945383   113.8638321799      2.545      0.002      0.000   -0.006       1 
23261.000    22.5804945432   113.8638321822      2.545      0.000      0.003    0.012       1 
23262.000    22.5804945524   113.8638321795      2.543      0.000     -0.005   -0.002       1 
23263.000    22.5804945643   113.8638321764      2.541      0.002     -0.004   -0.007       1 
23264.000    22.5804945729   113.8638321732      2.539     -0.000      0.002    0.007       1 
23265.000    22.5804945701   113.8638321711      2.539     -0.001      0.002    0.009       1 
23266.000    22.5804945549   113.8638321717      2.539     -0.002     -0.005   -0.000       1 
23267.000    22.5804945390   113.8638321683      2.540     -0.002     -0.001   -0.002       1 
23268.000    22.5804945257   113.8638321593      2.540     -0.002     -0.002    0.013       1 
23269.000    22.5804945252   113.8638321470      2.539      0.000     -0.001    0.001       1 
23270.000    22.5804945327   113.8638321391      2.538      0.001     -0.003   -0.008       1 
23271.000    22.5804945438   113.8638321486      2.536     -0.000      0.004    0.012       1 
23272.000    22.5804945533   113.8638321799      2.535     -0.000      0.001    0.007       1 
23273.000    22.5804945633   113.8638322055      2.534      0.001      0.000   -0.008       1 
23274.000    22.5804945693   113.8638321934      2.533     -0.001     -0.004    0.011       1 
23275.000    22.5804945708   113.8638321214      2.531     -0.000     -0.011   -0.008       1 
23276.000    22.5804945681   113.8638320633      2.529     -0.002     -0.006    0.000       1 
23277.000    22.5804945612   113.8638320856      2.528     -0.001      0.007    0.008       1 
23278.000    22.5804945567   113.8638321199      2.528     -0.001     -0.001   -0.004       1 
23279.000    22.5804945538   113.8638321063      2.528     -0.001     -0.007    0.004       1 
23280.000    22.5804945557   113.8638320790      2.530      0.000      0.003    0.014       1 
23281.000    22.5804945508   113.8638320868      2.533     -0.001      0.002    0.010       1 
23282.000    22.5804945370   113.8638321162      2.538     -0.001      0.005   -0.002       1 
23283.000    22.5804945211   113.8638321626      2.542     -0.002      0.006    0.018       1 
23284.000    22.5804945138   113.8638322239      2.547     -0.001      0.006    0.012       1 
23285.000    22.5804945082   113.8638322949      2.550     -0.002      0.002   -0.001       1 
23286.000    22.5804945046   113.8638323716      2.550      0.003      0.013    0.004       1 
23287.000    22.5804945053   113.8638324120      2.550     -0.003     -0.009    0.010       1 
23288.000    22.5804945049   113.8638323733      2.548      0.002     -0.006   -0.012       1 
23289.000    22.5804945048   113.8638323061      2.547     -0.003     -0.010    0.012       1 
23290.000    22.5804945055   113.8638322500      2.545      0.001     -0.005    0.004       1 
23291.000    22.5804945107   113.8638322185      2.543      0.001     -0.006   -0.016       1 
23292.000    22.5804945183   113.8638322094      2.540      0.002      0.003    0.003       1 
23293.000    22.5804945318   113.8638322123      2.536      0.000     -0.007    0.005       1 
23294.000    22.5804945513   113.8638322176      2.532      0.002     -0.000   -0.009       1 
23295.000    22.5804945618   113.8638322104      2.531     -0.001     -0.006    0.015       1 
23296.000    22.5804945713   113.8638321933      2.530      0.000     -0.004    0.006       1 
23297.000    22.5804945779   113.8638321774      2.531     -0.000     -0.007   -0.004       1 
23298.000    22.5804945857   113.8638321745      2.532      0.002      0.004    0.008       1 
23299.000    22.5804945924   113.8638322009      2.533     -0.001      0.000    0.015       1 
23300.000    22.5804945929   113.8638322533      2.535      0.001      0.004   -0.006       1 
23301.000    22.5804945926   113.8638322813      2.537     -0.002     -0.006    0.016       1 
23302.000    22.5804945883   113.8638322385      2.538     -0.001     -0.010   -0.005       1 
23303.000    22.5804945840   113.8638322058      2.539     -0.000      0.001    0.010       1 
23304.000    22.5804945757   113.8638322445      2.540     -0.002      0.005    0.004       1 
23305.000    22.5804945675   113.8638322906      2.540     -0.001     -0.003   -0.001       1 
23306.000    22.5804945565   113.8638322640      2.540     -0.001     -0.002    0.011       1 
23307.000    22.5804945493   113.8638322092      2.539     -0.002     -0.009   -0.002       1 
23308.000    22.5804945393   113.8638321766      2.539     -0.001     -0.001    0.001       1 
23309.000    22.5804945294   113.8638321648      2.539     -0.004     -0.007    0.014       1 
23310.000    22.5804945225   113.8638321666      2.540      0.000      0.002   -0.007       1 
23311.000    22.5804945200   113.8638321706      2.541     -0.002     -0.004    0.017       1 
23312.000    22.5804945246   113.8638321795      2.542      0.001     -0.001   -0.004       1 
23313.000    22.5804945395   113.8638321927      2.543     -0.000     -0.001    0.013       1 
23314.000    22.5804945546   113.8638322130      2.544      0.002      0.005    0.003       1 
23315.000    22.5804945684   113.8638322434      2.545      0.000     -0.004   -0.002       1 
23316.000    22.5804945766   113.8638322311      2.546     -0.002     -0.004    0.010       1 
23317.000    22.5804945787   113.8638321350      2.546     -0.001     -0.017    0.009       1 
23318.000    22.5804945764   113.8638320386      2.546      0.000     -0.007   -0.007       1 
23319.000    22.5804945659   113.8638320263      2.547     -0.003      0.003    0.018       1 
23320.000    22.5804945573   113.8638320594      2.548     -0.000      0.002   -0.002       1 
23321.000    22.5804945574   113.8638320904      2.548     -0.000     -0.001   -0.001       1 
23322.000    22.5804945631   113.8638321012      2.547     -0.000      0.001    0.009       1 
23323.000    22.5804945729   113.8638320962      2.547     -0.000     -0.007   -0.005       1 
23324.000    22.5804945798   113.8638320965      2.547     -0.000      0.004    0.014       1 
23325.000    22.5804945725   113.8638321228      2.548     -0.002     -0.004   -0.003       1 
23326.000    22.5804945607   113.8638321583      2.550     -0.001      0.006    0.010       1 
23327.000    22.5804945485   113.8638321855      2.553     -0.002     -0.004    0.006       1 
23328.000    22.5804945388   113.8638321939      2.554     -0.000      0.002   -0.001       1 
23329.000    22.5804945336   113.8638321806      2.555     -0.002     -0.006    0.009       1 
23330.000    22.5804945312   113.8638321455      2.554      0.001     -0.003   -0.004       1 
23331.000    22.5804945358   113.8638320887      2.553     -0.001     -0.011    0.007       1 
23332.000    22.5804945418   113.8638320233      2.552      0.001     -0.005    0.001       1 
23333.000    22.5804945434   113.8638319884      2.552     -0.002     -0.005    0.010       1 
23334.000    22.5804945351   113.8638320226      2.554     -0.001      0.004   -0.006       1 
23335.000    22.5804945271   113.8638320859      2.556     -0.003     -0.001    0.018       1 
23336.000    22.5804945209   113.8638321462      2.557      0.001      0.008   -0.006       1 
23337.000    22.5804945200   113.8638321898      2.558     -0.002      0.001    0.016       1 
23338.000    22.5804945198   113.8638322112      2.560      0.001      0.000   -0.009       1 
23339.000    22.5804945231   113.8638322210      2.562     -0.001     -0.002    0.017       1 
