GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
23242.000    22.5804653088   113.8638618058      2.966      2.666     -2.505    0.025       1 
23243.000    22.5804831521   113.8638436663      2.986      1.270     -1.208    0.019       1 
23244.000    22.5804882113   113.8638385657      2.991     -0.087      0.059   -0.002       1 
23245.000    22.5804881336   113.8638386797      2.990     -0.000     -0.008    0.006       1 
23246.000    22.5804881640   113.8638386141      2.989      0.005     -0.019   -0.006       1 
23247.000    22.5804882084   113.8638384936      2.988      0.003     -0.015   -0.002       1 
23248.000    22.5804882298   113.8638384010      2.988     -0.001     -0.007    0.007       1 
23249.000    22.5804882352   113.8638383448      2.988     -0.001     -0.009   -0.003       1 
23250.000    22.5804882300   113.8638383165      2.987     -0.000     -0.002   -0.003       1 
23251.000    22.5804882152   113.8638383071      2.985     -0.006     -0.002    0.007       1 
23252.000    22.5804881978   113.8638383049      2.984     -0.006     -0.005    0.004       1 
23253.000    22.5804881761   113.8638383024      2.984     -0.001      0.001   -0.001       1 
23254.000    22.5804881578   113.8638382990      2.984     -0.002     -0.004   -0.002       1 
23255.000    22.5804881452   113.8638382993      2.985     -0.004     -0.001    0.007       1 
23256.000    22.5804881407   113.8638383020      2.986     -0.003     -0.003    0.004       1 
23257.000    22.5804881434   113.8638383074      2.986      0.003      0.004   -0.005       1 
23258.000    22.5804881463   113.8638383156      2.985     -0.002     -0.002    0.003       1 
23259.000    22.5804881488   113.8638383214      2.984     -0.002     -0.001    0.000       1 
23260.000    22.5804881511   113.8638383227      2.983      0.003      0.002   -0.004       1 
23261.000    22.5804881561   113.8638383251      2.982     -0.002      0.001    0.007       1 
23262.000    22.5804881654   113.8638383224      2.981     -0.000     -0.006   -0.003       1 
23263.000    22.5804881775   113.8638383195      2.979      0.002     -0.001   -0.005       1 
23264.000    22.5804881863   113.8638383165      2.977     -0.002     -0.001    0.003       1 
23265.000    22.5804881834   113.8638383144      2.977     -0.003     -0.001    0.005       1 
23266.000    22.5804881683   113.8638383151      2.977     -0.003     -0.004   -0.001       1 
23267.000    22.5804881525   113.8638383119      2.978     -0.001     -0.001   -0.001       1 
23268.000    22.5804881393   113.8638383030      2.978     -0.005     -0.003    0.007       1 
23269.000    22.5804881390   113.8638382909      2.977     -0.000     -0.002   -0.000       1 
23270.000    22.5804881466   113.8638382831      2.975      0.002     -0.002   -0.006       1 
23271.000    22.5804881579   113.8638382928      2.974     -0.002      0.002    0.007       1 
23272.000    22.5804881673   113.8638383241      2.973     -0.002     -0.001    0.003       1 
23273.000    22.5804881775   113.8638383498      2.972      0.002      0.003   -0.005       1 
23274.000    22.5804881836   113.8638383380      2.971     -0.003     -0.006    0.005       1 
23275.000    22.5804881852   113.8638382663      2.969      0.001     -0.010   -0.006       1 
23276.000    22.5804881825   113.8638382082      2.967     -0.002     -0.006   -0.001       1 
23277.000    22.5804881759   113.8638382306      2.966     -0.003      0.004    0.003       1 
23278.000    22.5804881714   113.8638382650      2.965     -0.000     -0.002   -0.003       1 
23279.000    22.5804881686   113.8638382514      2.966     -0.002     -0.007    0.002       1 
23280.000    22.5804881704   113.8638382241      2.968     -0.002     -0.001    0.009       1 
23281.000    22.5804881655   113.8638382319      2.971     -0.002      0.001    0.008       1 
23282.000    22.5804881519   113.8638382616      2.975      0.000      0.006    0.002       1 
23283.000    22.5804881360   113.8638383079      2.980     -0.005      0.004    0.012       1 
23284.000    22.5804881285   113.8638383691      2.984     -0.003      0.003    0.008       1 
23285.000    22.5804881230   113.8638384402      2.987     -0.002      0.003   -0.001       1 
23286.000    22.5804881192   113.8638385170      2.988      0.002      0.011    0.003       1 
23287.000    22.5804881203   113.8638385577      2.987     -0.005     -0.010    0.005       1 
23288.000    22.5804881195   113.8638385189      2.986      0.004     -0.005   -0.007       1 
23289.000    22.5804881197   113.8638384518      2.984     -0.006     -0.012    0.006       1 
23290.000    22.5804881207   113.8638383963      2.983     -0.001     -0.007    0.001       1 
23291.000    22.5804881259   113.8638383649      2.981      0.004     -0.006   -0.012       1 
23292.000    22.5804881338   113.8638383560      2.977      0.001      0.000    0.000       1 
