----------------------------------END OF HEADER--------------------------------------

GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
51961.000    22.7017713302   114.3366773052     40.041     -3.443      5.688    0.034       1 
51962.000    22.7017410998   114.3367352327     40.033     -3.421      6.129   -0.019       1 
51963.000    22.7017090659   114.3367972306     40.028     -3.683      6.589    0.010       1 
51964.000    22.7016734891   114.3368624061     40.039     -4.098      6.916   -0.009       1 
51965.000    22.7016338794   114.3369301424     40.043     -4.551      7.096   -0.023       1 
51966.000    22.7015916594   114.3369990274     39.970     -4.742      7.143   -0.072       1 
51967.000    22.7015485542   114.3370701131     39.925     -4.827      7.473   -0.029       1 
51968.000    22.7015060223   114.3371447535     39.864     -4.679      7.768   -0.068       1 
51969.000    22.7014636168   114.3372229570     39.826     -4.757      8.154   -0.064       1 
51970.000    22.7014209180   114.3373031156     39.785     -4.721      8.263   -0.025       1 
51971.000    22.7013781489   114.3373833004     39.751     -4.757      8.199   -0.013       1 
51972.000    22.7013348181   114.3374630277     39.718     -4.823      8.195   -0.037       1 
51973.000    22.7012911827   114.3375426323     39.663     -4.845      8.176   -0.090       1 
51974.000    22.7012471125   114.3376228480     39.623     -4.854      8.200   -0.041       1 
51975.000    22.7012039485   114.3377026392     39.595     -4.731      8.154   -0.001       1 
51976.000    22.7011622064   114.3377817321     39.577     -4.545      8.123   -0.027       1 
51977.000    22.7011221923   114.3378611525     39.547     -4.378      8.146   -0.025       1 
51978.000    22.7010836370   114.3379406807     39.533     -4.210      8.185   -0.028       1 
51979.000    22.7010457945   114.3380201186     39.505     -4.152      8.114   -0.038       1 
51980.000    22.7010084952   114.3380993741     39.490     -4.121      8.121   -0.037       1 
51981.000    22.7009715797   114.3381781564     39.476     -4.046      8.072    0.007       1 
51982.000    22.7009355155   114.3382554258     39.442     -3.955      7.800   -0.056       1 
51983.000    22.7008999084   114.3383312713     39.402     -3.973      7.877   -0.056       1 
51984.000    22.7008633877   114.3384094353     39.397     -4.096      8.225    0.004       1 
51985.000    22.7008260856   114.3384893775     39.376     -4.098      8.169   -0.041       1 
51986.000    22.7007892699   114.3385685251     39.346     -4.067      8.079   -0.012       1 
