----------------------------------END OF HEADER--------------------------------------

GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
51961.000    22.7017721746   114.3366755711     40.169     -3.444      5.701    0.033       1 
51962.000    22.7017418991   114.3367334716     40.161     -3.420      6.133   -0.017       1 
51963.000    22.7017098800   114.3367954736     40.155     -3.684      6.583    0.008       1 
51964.000    22.7016743532   114.3368606819     40.167     -4.098      6.912   -0.009       1 
51965.000    22.7016347926   114.3369284556     40.172     -4.551      7.089   -0.023       1 
51966.000    22.7015925843   114.3369973535     40.099     -4.740      7.148   -0.069       1 
51967.000    22.7015494587   114.3370684115     40.053     -4.825      7.477   -0.026       1 
51968.000    22.7015068679   114.3371430287     39.994     -4.680      7.765   -0.070       1 
51969.000    22.7014644446   114.3372212203     39.955     -4.755      8.156   -0.061       1 
51970.000    22.7014217360   114.3373013710     39.914     -4.720      8.268   -0.025       1 
51971.000    22.7013789835   114.3373815611     39.880     -4.757      8.197   -0.015       1 
51972.000    22.7013356607   114.3374612989     39.847     -4.826      8.194   -0.042       1 
51973.000    22.7012920315   114.3375409050     39.792     -4.844      8.166   -0.088       1 
51974.000    22.7012479544   114.3376211118     39.751     -4.854      8.200   -0.041       1 
51975.000    22.7012047749   114.3377008955     39.723     -4.732      8.158   -0.002       1 
51976.000    22.7011630109   114.3377799768     39.705     -4.543      8.129   -0.023       1 
51977.000    22.7011229677   114.3378593834     39.675     -4.382      8.147   -0.030       1 
51978.000    22.7010843954   114.3379389003     39.661     -4.208      8.179   -0.025       1 
51979.000    22.7010465380   114.3380183353     39.634     -4.151      8.112   -0.036       1 
51980.000    22.7010092367   114.3380975884     39.619     -4.119      8.117   -0.035       1 
51981.000    22.7009723170   114.3381763688     39.604     -4.048      8.074    0.005       1 
51982.000    22.7009362565   114.3382536487     39.572     -3.956      7.800   -0.058       1 
51983.000    22.7009006531   114.3383294853     39.530     -3.972      7.873   -0.055       1 
51984.000    22.7008641296   114.3384076437     39.525     -4.093      8.227    0.008       1 
51985.000    22.7008268195   114.3384875889     39.504     -4.097      8.168   -0.040       1 
51986.000    22.7007900025   114.3385667363     39.475     -4.066      8.084   -0.012       1 
51987.000    22.7007534236   114.3386458952     39.459     -4.086      8.189   -0.023       1 
51988.000    22.7007164206   114.3387265599     39.430     -4.138      8.354   -0.074       1 
51989.000    22.7006786686   114.3388087029     39.399     -4.213      8.505   -0.041       1 
51990.000    22.7006402912   114.3388914812     39.362     -4.283      8.555    0.009       1 
51991.000    22.7006016258   114.3389761207     39.341     -4.285      8.854   -0.014       1 
51992.000    22.7005619244   114.3390631719     39.308     -4.531      9.007   -0.063       1 
51993.000    22.7005208926   114.3391507849     39.271     -4.538      8.874   -0.056       1 
51994.000    22.7004801236   114.3392366741     39.246     -4.461      8.700   -0.041       1 
51995.000    22.7004405011   114.3393202235     39.208     -4.313      8.490   -0.043       1 
51996.000    22.7004023327   114.3394021046     39.177     -4.130      8.386   -0.038       1 
51997.000    22.7003644023   114.3394872432     39.187     -4.308      8.951   -0.038       1 
51998.000    22.7003243090   114.3395771229     39.152     -4.566      9.507   -0.082       1 
51999.000    22.7002825240   114.3396693976     39.103     -4.652      9.476   -0.008       1 
52000.000    22.7002397934   114.3397611915     39.070     -4.791      9.452   -0.069       1 
52001.000    22.7001963407   114.3398536516     39.041     -4.805      9.551   -0.014       1 
52002.000    22.7001531607   114.3399462139     39.019     -4.758      9.497   -0.029       1 
52003.000    22.7001104683   114.3400389046     38.983     -4.686      9.511   -0.052       1 
52004.000    22.7000679028   114.3401315982     38.943     -4.701      9.515   -0.038       1 
52005.000    22.7000262335   114.3402238327     38.903     -4.556      9.386   -0.020       1 
52006.000    22.6999855839   114.3403141520     38.892     -4.423      9.140   -0.037       1 
52007.000    22.6999453919   114.3404013209     38.870     -4.429      8.788    0.001       1 
52008.000    22.6999047124   114.3404847779     38.805     -4.488      8.356   -0.059       1 
52009.000    22.6998675882   114.3405655203     38.788     -3.870      8.100   -0.069       1 
