
GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
97357.000    22.6995640291   114.3418535446     37.641      4.004      4.033   -0.112       1 
97358.000    22.6996099433   114.3418884477     37.547      5.301      3.259   -0.105       1 
97359.000    22.6996617743   114.3419199638     37.457      5.898      3.219   -0.150       1 
97360.000    22.6997170166   114.3419508101     37.415      6.345      3.030   -0.027       1 
97361.000    22.6997769907   114.3419788165     37.416      6.680      2.701   -0.031       1 
97362.000    22.6998372342   114.3420051594     37.416      6.605      2.687   -0.051       1 
97363.000    22.6998957166   114.3420323787     37.455      6.416      3.000    0.016       1 
97364.000    22.6999545057   114.3420629113     37.458      6.735      3.264    0.039       1 
97365.000    22.7000164645   114.3420951926     37.449      6.876      3.318   -0.050       1 
97366.000    22.7000782794   114.3421257327     37.436      6.804      2.967    0.012       1 
97367.000    22.7001402537   114.3421542103     37.448      6.986      3.014   -0.025       1 
97368.000    22.7002059049   114.3421843725     37.458      7.548      3.270    0.013       1 
97369.000    22.7002743537   114.3422169801     37.497      7.716      3.488    0.027       1 
97370.000    22.7003454915   114.3422517663     37.522      7.994      3.711    0.029       1 
97371.000    22.7004188473   114.3422891944     37.536      8.313      4.022    0.040       1 
97372.000    22.7004937941   114.3423288453     37.543      8.269      4.099    0.000       1 
97373.000    22.7005686842   114.3423696808     37.539      8.399      4.257    0.008       1 
97374.000    22.7006455582   114.3424115700     37.529      8.576      4.298    0.005       1 
97375.000    22.7007234480   114.3424521941     37.530      8.696      4.121    0.006       1 
97376.000    22.7008037023   114.3424916305     37.534      9.007      4.048    0.005       1 
97377.000    22.7008853530   114.3425300913     37.561      9.130      3.950    0.030       1 
97378.000    22.7009690145   114.3425688479     37.564      9.314      3.980    0.001       1 
97379.000    22.7010527272   114.3426059441     37.559      9.182      3.706    0.050       1 
97380.000    22.7011355799   114.3426396379     37.566      9.124      3.280   -0.008       1 
97381.000    22.7012179053   114.3426697437     37.546      9.048      2.918   -0.006       1 
97382.000    22.7013003134   114.3426959728     37.531      9.176      2.480   -0.048       1 
97383.000    22.7013846121   114.3427187706     37.489      9.508      2.271   -0.041       1 
97384.000    22.7014722556   114.3427405835     37.428      9.904      2.310   -0.114       1 
97385.000    22.7015625615   114.3427646494     37.384     10.043      2.611   -0.012       1 
97386.000    22.7016538405   114.3427907265     37.343     10.155      2.660   -0.033       1 
97387.000    22.7017447888   114.3428165763     37.314      9.921      2.734    0.019       1 
97388.000    22.7018327268   114.3428441516     37.305      9.475      3.024   -0.042       1 
97389.000    22.7019157145   114.3428760695     37.293      9.068      3.597   -0.021       1 
97390.000    22.7019971535   114.3429135266     37.263      9.156      4.105   -0.135       1 
97391.000    22.7020800452   114.3429567629     37.246      9.356      4.706    0.044       1 
97392.000    22.7021656716   114.3430030273     37.252      9.523      4.811    0.045       1 
97393.000    22.7022522336   114.3430500874     37.309      9.727      4.892    0.003       1 
97394.000    22.7023400973   114.3430977049     37.323      9.648      4.849    0.094       1 
97395.000    22.7024251268   114.3431438529     37.401      9.057      4.564    0.036       1 
97396.000    22.7025041174   114.3431872664     37.423      8.550      4.442   -0.043       1 
97397.000    22.7025769231   114.3432313830     37.497      7.774      4.601    0.098       1 
97398.000    22.7026432368   114.3432745173     37.621      7.011      4.424    0.151       1 
97399.000    22.7027036440   114.3433152715     37.779      6.475      4.112    0.134       1 
97400.000    22.7027619475   114.3433538153     37.934      6.579      3.875    0.193       1 
97401.000    22.7028238621   114.3433914122     38.082      6.975      3.673    0.112       1 
97402.000    22.7028866389   114.3434259592     38.212      6.802      3.533    0.143       1 
97403.000    22.7029462227   114.3434593106     38.348      6.376      3.349    0.118       1 
97404.000    22.7030006254   114.3434903531     38.481      5.683      3.015    0.145       1 
97405.000    22.7030487790   114.3435178541     38.632      5.008      2.649    0.137       1 
97406.000    22.7030925166   114.3435424122     38.754      4.747      2.455    0.135       1 
97407.000    22.7031355716   114.3435656083     38.874      4.869      2.356    0.129       1 
97408.000    22.7031801459   114.3435890104     38.986      4.852      2.451    0.123       1 
97409.000    22.7032217918   114.3436110168     39.098      4.101      2.030    0.111       1 
97410.000    22.7032515776   114.3436267662     39.191      2.773      1.368    0.079       1 
97411.000    22.7032725248   114.3436373220     39.251      2.019      0.854    0.056       1 
97412.000    22.7032910187   114.3436432218     39.294      2.047      0.437    0.060       1 
97413.000    22.7033145761   114.3436471022     39.331      3.099      0.427    0.063       1 
97414.000    22.7033483643   114.3436546507     39.381      4.384      1.218    0.025       1 
97415.000    22.7033902533   114.3436708919     39.434      4.880      2.002    0.071       1 
97416.000    22.7034346219   114.3436933023     39.513      4.951      2.430    0.064       1 
97417.000    22.7034774138   114.3437163670     39.600      4.594      2.228    0.078       1 
97418.000    22.7035147970   114.3437361278     39.697      3.481      1.685    0.097       1 
97419.000    22.7035396805   114.3437489071     39.772      2.048      0.968    0.047       1 
97420.000    22.7035551206   114.3437566953     39.818      1.539      0.730    0.059       1 
97421.000    22.7035676527   114.3437629811     39.855      1.221      0.558    0.028       1 
97422.000    22.7035776559   114.3437679399     39.882      0.991      0.461    0.036       1 
97423.000    22.7035850882   114.3437716586     39.902      0.619      0.287    0.008       1 
97424.000    22.7035880092   114.3437731242     39.910     -0.016     -0.005    0.008       1 
97425.000    22.7035877893   114.3437730220     39.912      0.006      0.003    0.004       1 
97426.000    22.7035910495   114.3437746479     39.926      1.073      0.500    0.019       1 
97427.000    22.7036087510   114.3437834486     39.970      2.902      1.315    0.069       1 
97428.000    22.7036391730   114.3437978461     40.026      3.483      1.499    0.052       1 
97429.000    22.7036704212   114.3438118779     40.078      3.553      1.465    0.063       1 
