----------------------------------END OF HEADER--------------------------------------

GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
137381.000    22.6824129680   113.7814687487      0.900      0.709     -9.011   -0.016       1 
137382.000    22.6824198243   113.7813795531      0.893      0.777     -9.249    0.025       1 
137383.000    22.6824271314   113.7812883374      0.913      0.806     -9.448    0.045       1 
137384.000    22.6824340089   113.7811972031      0.923      0.740     -9.225   -0.019       1 
137385.000    22.6824402883   113.7811090739      0.930      0.677     -8.885    0.016       1 
137386.000    22.6824462208   113.7810250021      0.927      0.622     -8.224   -0.003       1 
137387.000    22.6824511390   113.7809533876      0.928      0.459     -6.508    0.007       1 
137388.000    22.6824549791   113.7808924225      0.939      0.419     -6.056   -0.007       1 
137389.000    22.6824589389   113.7808330939      0.940      0.463     -6.180   -0.009       1 
137390.000    22.6824636780   113.7807690044      0.942      0.574     -6.925   -0.012       1 
137391.000    22.6824694455   113.7806974853      0.939      0.694     -7.755   -0.015       1 
137392.000    22.6824757672   113.7806185473      0.935      0.701     -8.310   -0.004       1 
137393.000    22.6824817705   113.7805374714      0.926      0.677     -8.482   -0.027       1 
137394.000    22.6824872279   113.7804549104      0.925      0.578     -8.463   -0.014       1 
137395.000    22.6824923207   113.7803730252      0.923      0.559     -8.357    0.035       1 
137396.000    22.6824989375   113.7802926491      0.921      0.861     -7.947   -0.040       2 
137397.000    22.6825087372   113.7802154974      0.918      1.144     -7.641   -0.042       2 
137398.000    22.6825193956   113.7801426440      0.919      1.137     -7.286   -0.035       2 
137399.000    22.6825300071   113.7800729947      0.824      1.210     -6.991   -0.016       0 
137400.000    22.6825410851   113.7800067277      0.823      1.220     -6.567    0.010       0 
137401.000    22.6825517123   113.7799445633      0.832      1.110     -6.239    0.090       0 
137402.000    22.6825609367   113.7798869742      0.835      0.978     -5.613   -0.008       0 
137403.000    22.6825695482   113.7798404439      0.833      0.910     -3.933   -0.034       0 
137404.000    22.6825822242   113.7798021838      0.808      1.436     -3.228   -0.043       1 
137405.000    22.6826025275   113.7797703377      0.757      2.085     -2.481   -0.033       1 
