----------------------------------END OF HEADER--------------------------------------

GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
137381.000    22.6824150748   113.7814680701      0.903      0.711     -9.011   -0.018       1 
137382.000    22.6824219357   113.7813788915      0.897      0.778     -9.249    0.031       1 
137383.000    22.6824292418   113.7812876726      0.917      0.805     -9.447    0.040       1 
137384.000    22.6824361160   113.7811965259      0.925      0.740     -9.225   -0.020       1 
137385.000    22.6824423935   113.7811083899      0.934      0.677     -8.885    0.014       1 
137386.000    22.6824483257   113.7810243169      0.930      0.622     -8.224   -0.001       1 
137387.000    22.6824532417   113.7809526944      0.931      0.462     -6.509    0.015       1 
137388.000    22.6824570791   113.7808917204      0.943      0.415     -6.054   -0.005       1 
137389.000    22.6824610419   113.7808324021      0.943      0.458     -6.179   -0.011       1 
137390.000    22.6824657857   113.7807683292      0.945      0.571     -6.924   -0.014       1 
137391.000    22.6824715582   113.7806968286      0.942      0.694     -7.755   -0.014       1 
137392.000    22.6824778775   113.7806178817      0.938      0.703     -8.310   -0.001       1 
137393.000    22.6824838762   113.7805367891      0.929      0.681     -8.484   -0.046       1 
137394.000    22.6824893285   113.7804542100      0.928      0.579     -8.464   -0.010       1 
137395.000    22.6824944200   113.7803723206      0.927      0.558     -8.357    0.036       1 
137396.000    22.6825010592   113.7802920277      0.925      0.845     -7.941   -0.044       2 
137397.000    22.6825108811   113.7802149729      0.923      1.139     -7.639   -0.055       2 
137398.000    22.6825215444   113.7801421407      0.921      1.136     -7.286   -0.032       2 
137399.000    22.6825321604   113.7800725142      0.826      1.205     -6.989   -0.035       0 
137400.000    22.6825432457   113.7800062872      0.825      1.218     -6.567    0.012       0 
137401.000    22.6825538710   113.7799441119      0.835      1.118     -6.241    0.078       0 
137402.000    22.6825630933   113.7798865123      0.839      0.978     -5.612   -0.004       0 
137403.000    22.6825717189   113.7798400667      0.837      0.889     -3.926   -0.036       0 
137404.000    22.6825844222   113.7798021593      0.815      1.387     -3.211   -0.046       1 
137405.000    22.6826046692   113.7797708733      0.762      2.037     -2.464   -0.035       1 
137406.000    22.6826289288   113.7797465334      0.742      2.771     -2.206   -0.065       1 
137407.000    22.6826623987   113.7797230696      0.710      3.818     -1.972   -0.044       1 
137408.000    22.6827004615   113.7797063206      0.727      4.143     -1.310    0.025       1 
137409.000    22.6827419515   113.7796960507      0.730      4.986     -0.798    0.016       1 
137410.000    22.6827931669   113.7796910567      0.729      6.013     -0.205    0.099       1 
137411.000    22.6828502571   113.7796923605      0.702      6.569      0.424   -0.049       1 
137412.000    22.6829119891   113.7796990924      0.658      7.196      0.934   -0.151       1 
137413.000    22.6829779657   113.7797101764      0.580      7.471      1.230   -0.072       2 
137414.000    22.6830479811   113.7797217983      0.537      7.965      1.002   -0.054       2 
137415.000    22.6831198755   113.7797293553      0.520      7.880      0.508    0.053       2 
137416.000    22.6831902116   113.7797341526      0.503      7.711      0.436   -0.048       2 
137417.000    22.6832598951   113.7797387918      0.486      7.785      0.522    0.042       1 
