
GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
303818.000    22.7919396987   113.8505639788      9.165      0.093     12.402   -0.363       1 
303819.000    22.7919403489   113.8506856948      8.789      0.072     12.568   -0.354       1 
303820.000    22.7919405497   113.8508096650      8.466      0.020     12.922   -0.360       1 
303821.000    22.7919410653   113.8509361841      8.111      0.072     13.031   -0.403       1 
303822.000    22.7919419574   113.8510639239      7.735      0.091     13.158   -0.422       1 
303823.000    22.7919422775   113.8511925378      7.373      0.026     13.242   -0.316       1 
303824.000    22.7919426700   113.8513211006      7.009      0.039     13.182   -0.312       1 
303825.000    22.7919432465   113.8514494482      6.630      0.087     13.147   -0.323       1 
303826.000    22.7919443780   113.8515775676      6.287      0.132     13.101   -0.315       1 
303827.000    22.7919459703   113.8517053779      5.960      0.191     13.135   -0.347       1 
303828.000    22.7919471833   113.8518329289      5.619      0.106     13.101   -0.348       1 
303829.000    22.7919478070   113.8519602245      5.281      0.097     13.037   -0.383       1 
303830.000    22.7919485730   113.8520872913      4.933      0.059     13.031   -0.377       1 
303831.000    22.7919487502   113.8522141589      4.605      0.004     12.999   -0.298       1 
303832.000    22.7919494317   113.8523409178      4.327      0.118     13.096   -0.244       1 
303833.000    22.7919502947   113.8524689254      4.091      0.083     13.252   -0.238       1 
303834.000    22.7919502709   113.8525967959      3.935     -0.020     13.072   -0.104       1 
303835.000    22.7919505721   113.8527230398      3.829      0.062     12.842   -0.102       1 
303836.000    22.7919517024   113.8528472720      3.750      0.145     12.663   -0.070       1 
303837.000    22.7919530618   113.8529704576      3.722      0.132     12.647    0.021       1 
303838.000    22.7919536245   113.8530938265      3.691      0.022     12.631    0.008       1 
303839.000    22.7919535602   113.8532173339      3.660     -0.033     12.648   -0.037       1 
303840.000    22.7919540181   113.8533410475      3.621      0.077     12.733   -0.016       1 
303841.000    22.7919543528   113.8534648943      3.577      0.009     12.686   -0.022       1 
303842.000    22.7919550149   113.8535879453      3.542      0.107     12.592   -0.076       1 
303843.000    22.7919564597   113.8537102375      3.499      0.173     12.500   -0.021       1 
303844.000    22.7919575891   113.8538324626      3.459      0.079     12.599   -0.054       1 
303845.000    22.7919581648   113.8539553657      3.427      0.053     12.659   -0.035       1 
303846.000    22.7919590475   113.8540782860      3.382      0.120     12.558   -0.045       1 
303847.000    22.7919601037   113.8542009125      3.347      0.105     12.578   -0.034       1 
303848.000    22.7919608240   113.8543236686      3.312      0.059     12.646   -0.015       1 
303849.000    22.7919613093   113.8544473854      3.276      0.065     12.727   -0.052       1 
303850.000    22.7919620611   113.8545710521      3.231      0.079     12.659   -0.046       1 
303851.000    22.7919626769   113.8546945599      3.183      0.063     12.725   -0.054       1 
303852.000    22.7919635209   113.8548182595      3.122      0.113     12.674   -0.062       1 
