GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
366122.000    22.5234451628   114.0655813643     10.592     13.512      8.169   -0.042       2 
366123.000    22.5235670092   114.0656616984     10.584     13.455      8.386    0.021       2 
366124.000    22.5236888168   114.0657449560     10.583     13.580      8.565   -0.009       2 
366125.000    22.5238127041   114.0658280824     10.565     13.834      8.634    0.005       2 
366126.000    22.5239384001   114.0659130133     10.546     13.998      8.868   -0.027       2 
366127.000    22.5240653381   114.0660011214     10.544     14.160      9.217   -0.055       2 
366128.000    22.5241931273   114.0660903027     10.560     14.159      8.912    0.019       2 
366129.000    22.5243224052   114.0661758015     10.557     14.475      8.594    0.049       2 
366130.000    22.5244547992   114.0662579480     10.573     14.688      8.239   -0.108       2 
366131.000    22.5245872173   114.0663370161     10.585     14.661      7.955   -0.007       2 
366132.000    22.5247195315   114.0664136360     10.599     14.628      7.756    0.052       2 
366133.000    22.5248514899   114.0664877569     10.647     14.605      7.557    0.007       2 
366134.000    22.5249833265   114.0665609781     10.665     14.590      7.517    0.031       2 
366135.000    22.5251149695   114.0666339164     10.723     14.597      7.451    0.006       2 
366136.000    22.5252468544   114.0667062518     10.708     14.693      7.466    0.014       2 
366137.000    22.5253785446   114.0667779102     10.667     14.549      7.307   -0.075       2 
366138.000    22.5255097686   114.0668493739     10.584     14.550      7.402   -0.087       2 
366139.000    22.5256420972   114.0669209352     10.500     14.732      7.339   -0.125       2 
366140.000    22.5257764369   114.0669912737     10.363     14.992      7.151   -0.170       2 
366141.000    22.5259125842   114.0670611897     10.195     15.129      7.002   -0.195       2 
366142.000    22.5260495527   114.0671293497      9.969     14.988      6.810   -0.377       2 
366143.000    22.5261865555   114.0671966599      9.759     15.202      6.889   -0.208       2 
366144.000    22.5263244035   114.0672616058      9.483     15.387      6.555   -0.143       2 
366145.000    22.5264623293   114.0673253074      9.357     15.239      6.503   -0.021       2 
366146.000    22.5266003800   114.0673872963      9.333     15.254      6.213   -0.010       2 
366147.000    22.5267367215   114.0674492859      9.306     14.951      6.728    0.032       2 
366148.000    22.5268721401   114.0675150282      9.199     14.954      6.618   -0.210       2 
366149.000    22.5270089430   114.0675785408      8.814     15.147      6.357   -0.579       2 
366150.000    22.5271471478   114.0676393934      8.049     15.384      6.063   -0.925       2 
366151.000    22.5272869480   114.0676972400      7.282     15.506      5.697   -0.679       2 
366152.000    22.5274276020   114.0677520033      6.742     15.591      5.437   -0.525       2 
366153.000    22.5275684861   114.0678024415      6.324     15.591      4.936   -0.381       2 
366154.000    22.5277088231   114.0678490710      5.999     15.455      4.728   -0.340       2 
366155.000    22.5278478385   114.0678937709      5.665     15.336      4.451   -0.317       2 
366156.000    22.5279859995   114.0679356354      5.329     15.255      4.181   -0.393       2 
366157.000    22.5281255697   114.0679754239      5.028     15.621      3.933   -0.402       2 
366158.000    22.5282688871   114.0680130776      4.671     16.081      3.826   -0.323       2 
366159.000    22.5284160648   114.0680495236      4.334     16.487      3.770   -0.373       2 
366160.000    22.5285664040   114.0680862192      3.986     16.808      3.753   -0.409       2 
366161.000    22.5287202387   114.0681217104      3.659     17.422      3.672   -0.431       2 
366162.000    22.5288774364   114.0681544827      3.394     17.641      3.169   -0.208       2 
366163.000    22.5290380249   114.0681836232      3.188     17.974      2.839   -0.215       2 
366164.000    22.5292014962   114.0682096512      3.043     18.256      2.527   -0.078       2 
366165.000    22.5293672570   114.0682330198      2.990     18.478      2.253   -0.012       2 
366166.000    22.5295347437   114.0682533201      3.010     18.615      1.893    0.172       0 
366167.000    22.5297035931   114.0682700707      3.176     18.727      1.549    0.134       0 
366168.000    22.5298731066   114.0682845475      3.381     18.807      1.410    0.323       2 
366169.000    22.5300433942   114.0682964663      3.694     18.847      0.976    0.135       2 
366170.000    22.5302142268   114.0683048713      3.992     18.906      0.601    0.478       2 
366171.000    22.5303829507   114.0683090323      4.440     18.417      0.187    0.404       2 
366172.000    22.5305477862   114.0683103492      4.830     18.185      0.038    0.487       2 
366173.000    22.5307112568   114.0683092129      5.232     18.040     -0.172    0.239       2 
366174.000    22.5308732340   114.0683059566      5.605     17.801     -0.425    0.413       2 
366175.000    22.5310313597   114.0683004998      6.013     17.406     -0.523    0.572       2 
366176.000    22.5311846349   114.0682921724      6.305     16.668     -0.803    0.160       2 
366177.000    22.5313328631   114.0682865572      6.482     16.127     -0.630    0.158       2 
366178.000    22.5314764397   114.0682766556      6.558     15.697     -1.397    0.021       2 
366179.000    22.5316173570   114.0682634816      6.568     15.537     -1.314   -0.060       1 
366180.000    22.5317583237   114.0682539962      6.524     15.778     -0.473   -0.103       1 
366181.000    22.5318996462   114.0682491049      6.401     15.713     -0.353   -0.117       1 
366182.000    22.5320419019   114.0682452438      6.194     15.826     -0.438   -0.267       1 
366183.000    22.5321845572   114.0682419524      5.925     15.791     -0.185   -0.235       1 
366184.000    22.5323264728   114.0682401191      5.583     15.703     -0.131   -0.351       1 
366185.000    22.5324667282   114.0682387624      5.232     15.480     -0.070   -0.297       1 
366186.000    22.5326060213   114.0682371847      4.799     15.473     -0.129   -0.339       1 
366187.000    22.5327453972   114.0682357602      4.452     15.377     -0.244   -0.266       1 
366188.000    22.5328836240   114.0682330327      4.168     15.263     -0.289   -0.288       1 
366189.000    22.5330203213   114.0682303871      3.916     15.086     -0.242   -0.245       1 
366190.000    22.5331556436   114.0682280589      3.605     14.921     -0.266   -0.281       1 
366191.000    22.5332897492   114.0682256788      3.303     14.760     -0.256   -0.326       1 
366192.000    22.5334225452   114.0682233138      3.016     14.611     -0.265   -0.314       1 
366193.000    22.5335540056   114.0682207539      2.738     14.476     -0.273   -0.346       1 
366194.000    22.5336839169   114.0682185028      2.483     14.289     -0.214   -0.267       1 
366195.000    22.5338125611   114.0682164672      2.239     14.260     -0.217   -0.169       1 
366196.000    22.5339397494   114.0682136120      1.950     13.967     -0.202   -0.328       1 
