
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
305591.000    40.1992803838   116.2016004056     49.295      0.357     -5.430   -0.030       1 
305592.000    40.1992836151   116.2015374321     49.292      0.362     -5.291    0.012       1 
305593.000    40.1992871425   116.2014752377     49.301      0.413     -5.350    0.014       1 
305594.000    40.1992907211   116.2014124731     49.323      0.379     -5.297    0.032       1 
305595.000    40.1992941147   116.2013515079     49.346      0.369     -5.079    0.024       1 
305596.000    40.1992973287   116.2012932593     49.361      0.348     -4.866    0.014       1 
305597.000    40.1993004335   116.2012361496     49.375      0.357     -4.890    0.015       1 
305598.000    40.1993034828   116.2011786200     49.385      0.330     -4.927    0.011       1 
305599.000    40.1993064416   116.2011199370     49.393      0.338     -5.059    0.010       1 
305600.000    40.1993094156   116.2010606780     49.407      0.331     -5.002    0.014       1 
305601.000    40.1993123500   116.2010024600     49.419      0.320     -4.882    0.016       1 
305602.000    40.1993152588   116.2009455818     49.431      0.324     -4.883    0.028       1 
305603.000    40.1993182395   116.2008870715     49.447      0.330     -5.049    0.011       1 
305604.000    40.1993214330   116.2008258485     49.460      0.382     -5.453    0.018       1 
305605.000    40.1993251597   116.2007599045     49.474      0.435     -5.740    0.005       1 
305606.000    40.1993293355   116.2006911249     49.485      0.490     -5.922   -0.002       1 
305607.000    40.1993336844   116.2006225790     49.499      0.483     -5.722    0.015       1 
305608.000    40.1993380668   116.2005569392     49.524      0.494     -5.458    0.012       1 
305609.000    40.1993423434   116.2004943051     49.531      0.452     -5.225   -0.002       1 
305610.000    40.1993458543   116.2004341328     49.532      0.350     -5.038   -0.008       1 
305611.000    40.1993488864   116.2003763483     49.544      0.343     -4.820   -0.000       1 
305612.000    40.1993520478   116.2003190529     49.565      0.363     -4.938    0.023       1 
305613.000    40.1993552131   116.2002618079     49.590      0.357     -4.795    0.014       1 
305614.000    40.1993583562   116.2002051319     49.612      0.361     -4.914    0.017       1 
305615.000    40.1993616450   116.2001465036     49.628      0.371     -5.006    0.010       1 
305616.000    40.1993649174   116.2000881750     49.640      0.351     -4.953    0.018       1 
305617.000    40.1993678532   116.2000291702     49.655      0.308     -5.080    0.016       1 
305618.000    40.1993704705   116.1999702455     49.667      0.270     -4.952    0.016       1 
305619.000    40.1993728992   116.1999122994     49.680      0.272     -4.963    0.006       1 
305620.000    40.1993754183   116.1998544334     49.691      0.278     -4.849    0.012       1 
305621.000    40.1993780539   116.1997981080     49.700      0.296     -4.799    0.004       1 
305622.000    40.1993808702   116.1997414545     49.710      0.320     -4.791    0.012       1 
305623.000    40.1993838184   116.1996857857     49.729      0.334     -4.746    0.015       1 
305624.000    40.1993870234   116.1996283332     49.751      0.377     -5.001    0.023       1 
305625.000    40.1993903300   116.1995700999     49.760      0.366     -4.873   -0.004       1 
305626.000    40.1993934347   116.1995140440     49.764      0.328     -4.694    0.013       1 
305627.000    40.1993963291   116.1994586361     49.778      0.316     -4.775    0.029       1 
305628.000    40.1993992751   116.1994013444     49.799      0.334     -4.963    0.011       1 
305629.000    40.1994023333   116.1993431727     49.818      0.338     -4.929    0.026       1 
305630.000    40.1994054141   116.1992849607     49.835      0.348     -4.999    0.024       1 
305631.000    40.1994085760   116.1992263425     49.848      0.346     -4.965    0.016       1 
305632.000    40.1994116858   116.1991674452     49.861      0.347     -5.092    0.016       1 
305633.000    40.1994149022   116.1991069372     49.873      0.363     -5.185    0.008       1 
305634.000    40.1994182913   116.1990458292     49.886      0.379     -5.239    0.016       1 
305635.000    40.1994216516   116.1989844688     49.902      0.364     -5.188    0.020       1 
305636.000    40.1994248945   116.1989240368     49.913      0.362     -5.151   -0.002       1 
305637.000    40.1994281873   116.1988631861     49.923      0.371     -5.214    0.015       1 
305638.000    40.1994314980   116.1988027494     49.944      0.369     -5.060    0.015       1 
305639.000    40.1994347392   116.1987439225     49.963      0.360     -5.018    0.002       1 
305640.000    40.1994380231   116.1986845218     49.982      0.364     -5.086    0.018       1 
305641.000    40.1994413121   116.1986245300     49.998      0.366     -5.146   -0.004       1 
305642.000    40.1994446116   116.1985643408     50.009      0.367     -5.122   -0.001       1 
305643.000    40.1994478718   116.1985051993     50.023      0.351     -4.935    0.009       1 
305644.000    40.1994509636   116.1984486139     50.037      0.337     -4.703    0.015       1 
305645.000    40.1994539152   116.1983946236     50.054      0.322     -4.491    0.012       1 
305646.000    40.1994568073   116.1983425992     50.069      0.316     -4.434    0.021       1 
305647.000    40.1994598001   116.1982890714     50.089      0.341     -4.685    0.017       1 
305648.000    40.1994627951   116.1982327564     50.103      0.343     -4.924    0.008       1 
305649.000    40.1994657777   116.1981723529     50.116      0.338     -5.363    0.020       1 
305650.000    40.1994688350   116.1981079701     50.131      0.334     -5.584    0.015       1 
305651.000    40.1994718129   116.1980411735     50.145      0.344     -5.801   -0.002       1 
305652.000    40.1994749122   116.1979726692     50.152      0.361     -5.877   -0.000       1 
305653.000    40.1994782244   116.1979027976     50.163      0.400     -6.049    0.018       1 
305654.000    40.1994819135   116.1978292253     50.178      0.425     -6.443    0.014       1 
305655.000    40.1994856905   116.1977527651     50.193      0.431     -6.580    0.004       1 
305656.000    40.1994895976   116.1976749418     50.203      0.434     -6.710    0.029       1 
305657.000    40.1994937038   116.1975953528     50.236      0.464     -6.888    0.039       1 
305658.000    40.1994980843   116.1975125418     50.267      0.496     -7.205    0.023       1 
305659.000    40.1995026349   116.1974256508     50.290      0.528     -7.620    0.022       1 
305660.000    40.1995075769   116.1973332675     50.314      0.573     -8.099    0.014       1 
305661.000    40.1995129129   116.1972353992     50.341      0.606     -8.577    0.015       1 
305662.000    40.1995185733   116.1971327223     50.346      0.647     -8.927   -0.007       1 
305663.000    40.1995243596   116.1970255522     50.360      0.628     -9.269    0.042       1 
305664.000    40.1995295901   116.1969169568     50.389      0.533     -9.202    0.050       1 
305665.000    40.1995344537   116.1968113076     50.431      0.590     -8.665   -0.049       1 
305666.000    40.1995396140   116.1967157232     50.472      0.480     -7.636    0.221       1 
305667.000    40.1995443506   116.1966299762     50.440      0.512     -6.941   -0.029       1 
305668.000    40.1995486553   116.1965527071     50.418      0.463     -6.212   -0.017       1 
305669.000    40.1995528038   116.1964846337     50.408      0.427     -5.342   -0.003       1 
305670.000    40.1995562580   116.1964282988     50.400      0.328     -4.197    0.012       1 
305671.000    40.1995588778   116.1963863417     50.402      0.243     -3.019   -0.004       1 
305672.000    40.1995608448   116.1963557834     50.408      0.177     -2.185    0.004       1 
305673.000    40.1995622029   116.1963348405     50.412      0.137     -1.483   -0.004       1 
305674.000    40.1995631776   116.1963202744     50.416      0.087     -1.023    0.003       1 
305675.000    40.1995637622   116.1963113551     50.419      0.036     -0.441    0.002       1 
305676.000    40.1995638826   116.1963095318     50.421     -0.001      0.000    0.005       1 
305677.000    40.1995638724   116.1963095315     50.422     -0.001     -0.002   -0.000       1 
305678.000    40.1995638587   116.1963095268     50.425     -0.005     -0.005    0.006       1 
305679.000    40.1995638472   116.1963095222     50.426     -0.001      0.001    0.002       1 
305680.000    40.1995638423   116.1963095142     50.428     -0.001     -0.005    0.003       1 
305681.000    40.1995638433   116.1963095067     50.428      0.001     -0.002   -0.003       1 
305682.000    40.1995638518   116.1963095024     50.428     -0.002      0.000    0.004       1 
305683.000    40.1995638600   116.1963095054     50.426      0.002      0.001   -0.000       1 
