
   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
 60320.000    39.9979235081   116.6702131493     16.791      4.881      0.109   -0.011       1 
 60321.000    39.9979689029   116.6702146921     16.783      5.263      0.167    0.001       1 
 60322.000    39.9980193481   116.6702171281     16.796      5.930      0.246    0.015       1 
 60323.000    39.9980746160   116.6702205057     16.830      6.294      0.324    0.033       1 
 60324.000    39.9981325753   116.6702247827     16.872      6.536      0.394    0.043       1 
 60325.000    39.9981915931   116.6702298612     16.906      6.522      0.476    0.034       1 
 60326.000    39.9982500950   116.6702356805     16.946      6.460      0.519    0.021       1 
 60327.000    39.9983081086   116.6702422534     16.981      6.439      0.603    0.035       1 
 60328.000    39.9983664841   116.6702492413     17.018      6.589      0.610    0.032       1 
 60329.000    39.9984274953   116.6702567051     17.056      6.967      0.660    0.035       1 
 60330.000    39.9984910940   116.6702649593     17.104      7.118      0.739    0.036       1 
 60331.000    39.9985551358   116.6702739395     17.156      7.123      0.784    0.046       1 
 60332.000    39.9986194971   116.6702838016     17.201      7.168      0.907    0.063       1 
 60333.000    39.9986839016   116.6702947784     17.242      7.095      0.978    0.029       1 
 60334.000    39.9987468977   116.6703065036     17.287      6.897      1.019    0.044       1 
 60335.000    39.9988079870   116.6703186828     17.340      6.668      1.061    0.048       1 
 60336.000    39.9988669670   116.6703313077     17.392      6.449      1.096    0.052       1 
 60337.000    39.9989246009   116.6703443737     17.437      6.399      1.163    0.045       1 
 60338.000    39.9989834671   116.6703590495     17.474      6.730      1.370    0.024       1 
 60339.000    39.9990452025   116.6703763315     17.503      6.939      1.532    0.022       1 
 60340.000    39.9991088178   116.6703945557     17.543      7.201      1.581    0.044       1 
 60341.000    39.9991736176   116.6704130432     17.599      7.121      1.577    0.063       1 
 60342.000    39.9992368400   116.6704308871     17.653      6.916      1.499    0.061       1 
 60343.000    39.9992988789   116.6704486229     17.706      6.864      1.546    0.054       1 
 60344.000    39.9993620166   116.6704666634     17.774      7.318      1.581    0.049       1 
 60345.000    39.9994292396   116.6704853376     17.850      7.523      1.583    0.081       1 
 60346.000    39.9994968176   116.6705040433     17.923      7.430      1.624    0.073       1 
 60347.000    39.9995631737   116.6705231037     17.986      7.305      1.653    0.059       1 
 60348.000    39.9996280812   116.6705425098     18.045      7.101      1.651    0.052       1 
 60349.000    39.9996908283   116.6705620115     18.104      6.890      1.684    0.036       1 
 60350.000    39.9997536867   116.6705822456     18.155      7.116      1.782    0.065       1 
 60351.000    39.9998187797   116.6706036922     18.212      7.285      1.860    0.061       1 
 60352.000    39.9998860640   116.6706265615     18.281      7.755      2.066    0.071       1 
 60353.000    39.9999574379   116.6706517843     18.333      8.085      2.209    0.055       1 
 60354.000    40.0000320849   116.6706782772     18.397      8.382      2.282    0.076       1 
 60355.000    40.0001081676   116.6707051112     18.463      8.550      2.301    0.070       1 
 60356.000    40.0001876480   116.6707316860     18.522      9.156      2.218    0.059       1 
 60357.000    40.0002735428   116.6707570897     18.591      9.921      2.141    0.073       1 
 60358.000    40.0003663195   116.6707833699     18.649     10.655      2.345    0.067       1 
 60359.000    40.0004650310   116.6708119236     18.726     11.243      2.499    0.063       1 
 60360.000    40.0005686551   116.6708418334     18.780     11.767      2.594    0.076       1 
 60361.000    40.0006752022   116.6708713441     18.841     11.861      2.456    0.050       1 
 60362.000    40.0007832452   116.6708995252     18.877     12.162      2.395    0.034       1 
 60363.000    40.0008933474   116.6709268106     18.912     12.252      2.263    0.048       1 
 60364.000    40.0010043002   116.6709519154     18.941     12.358      2.016    0.020       1 
 60365.000    40.0011168819   116.6709741355     18.965     12.719      1.795    0.020       1 
 60366.000    40.0012330087   116.6709947628     18.981     12.951      1.710    0.024       1 
 60367.000    40.0013488560   116.6710137938     19.007     12.789      1.523    0.012       1 
 60368.000    40.0014642885   116.6710307788     19.011     12.923      1.379   -0.003       1 
 60369.000    40.0015814695   116.6710457542     19.011     13.114      1.165   -0.016       1 
 60370.000    40.0017012749   116.6710588725     19.003     13.480      1.109   -0.002       1 
 60371.000    40.0018245569   116.6710720567     18.986     13.916      1.150   -0.006       1 
 60372.000    40.0019521093   116.6710856346     18.963     14.401      1.149   -0.028       1 
 60373.000    40.0020830461   116.6710987550     18.930     14.607      1.078   -0.058       1 
 60374.000    40.0022144052   116.6711109080     18.893     14.604      0.989   -0.037       1 
 60375.000    40.0023470068   116.6711221338     18.878     14.900      0.910    0.002       1 
 60376.000    40.0024831200   116.6711327410     18.884     15.287      0.935   -0.025       1 
 60377.000    40.0026207386   116.6711457297     18.859     15.255      1.262   -0.031       1 
 60378.000    40.0027585445   116.6711625109     18.840     15.402      1.603    0.007       1 
 60379.000    40.0028988214   116.6711828112     18.838     15.754      1.842   -0.021       1 
 60380.000    40.0030425713   116.6712055536     18.817     16.149      2.057   -0.005       1 
 60381.000    40.0031893081   116.6712311871     18.827     16.416      2.341    0.007       1 
 60382.000    40.0033381945   116.6712606386     18.834     16.611      2.661    0.028       1 
 60383.000    40.0034878343   116.6712939887     18.855     16.600      3.030    0.004       1 
 60384.000    40.0036373963   116.6713313535     18.867     16.601      3.341    0.022       1 
 60385.000    40.0037868725   116.6713724279     18.887     16.635      3.648    0.060       1 
 60386.000    40.0039375413   116.6714167482     18.951     16.830      3.947    0.060       1 
 60387.000    40.0040896334   116.6714646889     19.017     16.935      4.289    0.077       1 
 60388.000    40.0042423672   116.6715179564     19.073     16.968      4.772    0.037       1 
 60389.000    40.0043950921   116.6715751928     19.123     16.998      4.979    0.039       1 
 60390.000    40.0045491186   116.6716344323     19.174     17.233      5.120    0.062       1 
 60391.000    40.0047049743   116.6716950530     19.230     17.348      5.230    0.057       1 
 60392.000    40.0048619107   116.6717566710     19.261     17.511      5.299    0.023       1 
 60393.000    40.0050197327   116.6718186695     19.299     17.500      5.296    0.073       1 
 60394.000    40.0051767332   116.6718803627     19.377     17.363      5.225    0.033       1 
 60395.000    40.0053324889   116.6719416799     19.436     17.242      5.249    0.092       1 
 60396.000    40.0054869845   116.6720026644     19.507     17.023      5.168    0.067       1 
 60397.000    40.0056386844   116.6720625832     19.565     16.721      5.087    0.051       1 
 60398.000    40.0057900951   116.6721225511     19.618     16.954      5.182    0.059       1 
 60399.000    40.0059439684   116.6721837644     19.676     17.212      5.254    0.039       1 
 60400.000    40.0061000132   116.6722456033     19.718     17.475      5.300    0.037       1 
 60401.000    40.0062588216   116.6723079208     19.786     17.737      5.316    0.075       1 
 60402.000    40.0064187694   116.6723699988     19.839     17.789      5.285    0.045       1 
 60403.000    40.0065787875   116.6724324276     19.898     17.660      5.372    0.073       1 
 60404.000    40.0067359153   116.6724951414     19.962     17.226      5.315    0.069       1 
 60405.000    40.0068892193   116.6725564503     20.018     16.817      5.161    0.066       1 
 60406.000    40.0070387513   116.6726161246     20.073     16.397      5.018    0.067       1 
 60407.000    40.0071845644   116.6726742075     20.118     15.979      4.862    0.051       1 
 60408.000    40.0073267516   116.6727303640     20.168     15.582      4.714    0.054       1 
 60409.000    40.0074652942   116.6727846971     20.227     15.183      4.576    0.056       1 
 60410.000    40.0076004972   116.6728375991     20.279     14.823      4.466    0.050       1 
 60411.000    40.0077320124   116.6728891603     20.331     14.359      4.325    0.049       1 
 60412.000    40.0078586402   116.6729388968     20.371     13.671      4.135    0.050       1 
 60413.000    40.0079778473   116.6729856399     20.422     12.782      3.839    0.062       1 
 60414.000    40.0080886146   116.6730288904     20.480     11.759      3.512    0.054       1 
 60415.000    40.0081890101   116.6730674818     20.528     10.541      3.067    0.031       1 
 60416.000    40.0082784601   116.6731009034     20.559      9.318      2.632    0.037       1 
 60417.000    40.0083569528   116.6731293279     20.598      8.106      2.220    0.049       1 
 60418.000    40.0084245083   116.6731530371     20.631      6.865      1.841    0.042       1 
 60419.000    40.0084806025   116.6731723602     20.663      5.573      1.464    0.045       1 
 60420.000    40.0085251158   116.6731874826     20.685      4.293      1.109    0.023       1 
 60421.000    40.0085580066   116.6731985894     20.700      3.023      0.771    0.010       1 
 60422.000    40.0085794772   116.6732058160     20.707      1.779      0.458    0.011       1 
 60423.000    40.0085921247   116.6732100567     20.714      1.133      0.288   -0.001       1 
 60424.000    40.0086002921   116.6732128081     20.717      0.707      0.184    0.009       1 
 60425.000    40.0086054855   116.6732145474     20.721      0.461      0.121    0.004       1 
 60426.000    40.0086082289   116.6732154636     20.724      0.099      0.024    0.003       1 
 60427.000    40.0086083205   116.6732155009     20.726     -0.000     -0.000    0.002       1 
 60428.000    40.0086083161   116.6732155066     20.727     -0.000      0.001    0.003       1 
 60429.000    40.0086083140   116.6732155093     20.729      0.000      0.002    0.002       1 
 60430.000    40.0086083141   116.6732155085     20.730      0.001     -0.001    0.000       1 
 60431.000    40.0086083172   116.6732155118     20.730      0.001      0.000    0.002       1 
 60432.000    40.0086083183   116.6732155168     20.730      0.002      0.002   -0.003       1 
 60433.000    40.0086083136   116.6732155180     20.730     -0.003     -0.002    0.004       1 
 60434.000    40.0086083711   116.6732155345     20.729      0.074      0.013   -0.001       1 
 60435.000    40.0086106524   116.6732162771     20.730      0.437      0.113   -0.000       1 
 60436.000    40.0086164608   116.6732181751     20.732      0.928      0.238    0.009       1 
 60437.000    40.0086295569   116.6732224362     20.737      1.980      0.494    0.020       1 
 60438.000    40.0086528362   116.6732298800     20.743      3.152      0.771    0.006       1 
 60439.000    40.0086872711   116.6732406624     20.752      4.443      1.057    0.019       1 
 60440.000    40.0087317313   116.6732541326     20.763      5.491      1.262    0.015       1 
 60441.000    40.0087868290   116.6732700538     20.769      6.794      1.464    0.002       1 
 60442.000    40.0088540246   116.6732884119     20.771      8.104      1.649    0.007       1 
 60443.000    40.0089328028   116.6733084589     20.774      9.398      1.761    0.009       1 
 60444.000    40.0090236623   116.6733300025     20.752     10.776      1.957   -0.025       1 
 60445.000    40.0091271814   116.6733537986     20.726     12.191      2.053    0.002       1 
 60446.000    40.0092417959   116.6733770509     20.721     13.288      1.905   -0.024       1 
 60447.000    40.0093667701   116.6733988103     20.731     14.453      1.818    0.028       0 
 60448.000    40.0095018358   116.6734198581     20.759     15.535      1.707    0.021       0 
 60449.000    40.0096466884   116.6734384639     20.769     16.617      1.416    0.007       0 
 60450.000    40.0097986779   116.6734532171     20.762     16.876      1.021    0.020       0 
 60451.000    40.0099512996   116.6734627090     20.774     17.136      0.635    0.025       0 
 60452.000    40.0101078198   116.6734680176     20.803     17.564      0.298    0.021       0 
 60453.000    40.0102668689   116.6734681128     20.819     17.759     -0.256    0.041       0 
 60454.000    40.0104282646   116.6734619885     20.839     18.069     -0.767    0.058       0 
 60455.000    40.0105916083   116.6734501980     20.846     18.121     -1.248   -0.012       0 
 60456.000    40.0107540926   116.6734330176     20.838     17.978     -1.683   -0.004       1 
 60457.000    40.0109160127   116.6734103416     20.822     17.937     -2.185   -0.003       1 
 60458.000    40.0110772802   116.6733817996     20.788     17.963     -2.704   -0.032       1 
 60459.000    40.0112405095   116.6733474253     20.761     18.240     -3.163   -0.029       1 
 60460.000    40.0114040860   116.6733080693     20.728     18.041     -3.539   -0.047       1 
 60461.000    40.0115650166   116.6732654021     20.681     17.757     -3.707   -0.048       1 
 60462.000    40.0117242265   116.6732218837     20.626     17.609     -3.693   -0.091       1 
 60463.000    40.0118821369   116.6731793445     20.552     17.459     -3.569   -0.066       1 
 60464.000    40.0120379386   116.6731379515     20.475     17.105     -3.502   -0.055       1 
 60465.000    40.0121905238   116.6730975399     20.444     16.747     -3.425    0.027       1 
 60466.000    40.0123396638   116.6730580526     20.466     16.354     -3.369   -0.003       1 
 60467.000    40.0124852947   116.6730183439     20.410     15.976     -3.421   -0.028       1 
 60468.000    40.0126275946   116.6729779333     20.399     15.679     -3.452   -0.011       1 
 60469.000    40.0127687811   116.6729375923     20.376     15.692     -3.411   -0.015       1 
 60470.000    40.0129102061   116.6728983513     20.358     15.670     -3.264   -0.018       1 
 60471.000    40.0130510708   116.6728607471     20.321     15.623     -3.127   -0.034       1 
 60472.000    40.0131913988   116.6728245616     20.313     15.493     -3.033    0.001       1 
 60473.000    40.0133297544   116.6727893476     20.279     15.258     -2.959   -0.039       1 
 60474.000    40.0134660374   116.6727551394     20.276     14.970     -2.887   -0.017       1 
 60475.000    40.0135998955   116.6727213722     20.255     14.808     -2.904    0.001       1 
 60476.000    40.0137334336   116.6726866895     20.243     14.890     -2.981    0.001       1 
 60477.000    40.0138679912   116.6726503340     20.248     14.886     -3.172   -0.003       1 
 60478.000    40.0140004162   116.6726120166     20.256     14.522     -3.363    0.005       1 
 60479.000    40.0141301080   116.6725715046     20.256     14.321     -3.567   -0.006       1 
 60480.000    40.0142594838   116.6725284934     20.237     14.474     -3.768   -0.039       1 
 60481.000    40.0143902578   116.6724831349     20.201     14.542     -3.933   -0.028       1 
 60482.000    40.0145215208   116.6724363319     20.171     14.649     -4.033    0.003       1 
 60483.000    40.0146547050   116.6723880699     20.157     14.903     -4.190    0.002       1 
 60484.000    40.0147902451   116.6723377511     20.122     15.209     -4.417   -0.013       1 
 60485.000    40.0149273458   116.6722847866     20.084     15.137     -4.592   -0.056       1 
 60486.000    40.0150624145   116.6722305722     20.034     14.924     -4.669   -0.035       1 
 60487.000    40.0151977716   116.6721746559     20.002     15.154     -4.845   -0.014       1 
 60488.000    40.0153343563   116.6721182287     19.997     15.101     -4.775   -0.008       1 
 60489.000    40.0154701476   116.6720624885     19.978     15.121     -4.732   -0.011       1 
 60490.000    40.0156076250   116.6720069795     19.976     15.441     -4.725   -0.004       1 
 60491.000    40.0157485732   116.6719518361     19.989     15.876     -4.680    0.003       1 
 60492.000    40.0158936840   116.6718977169     19.974     16.280     -4.498   -0.018       1 
 60493.000    40.0160401645   116.6718470046     19.957     16.213     -4.149   -0.002       1 
 60494.000    40.0161876445   116.6717995328     19.956     16.495     -3.944    0.024       1 
 60495.000    40.0163358714   116.6717552726     19.963     16.361     -3.595    0.001       1 
 60496.000    40.0164835099   116.6717151480     19.957     16.467     -3.280   -0.025       1 
 60497.000    40.0166322974   116.6716787144     19.977     16.555     -2.961    0.041       1 
 60498.000    40.0167816236   116.6716449509     19.990     16.577     -2.832   -0.021       1 
 60499.000    40.0169304335   116.6716124129     19.981     16.449     -2.712    0.013       1 
 60500.000    40.0170775696   116.6715809958     19.987     16.173     -2.611    0.014       1 
 60501.000    40.0172218265   116.6715508627     19.980     15.923     -2.544   -0.013       1 
 60502.000    40.0173652621   116.6715212551     19.961     15.933     -2.535   -0.015       1 
 60503.000    40.0175083704   116.6714912324     19.955     15.834     -2.572    0.010       1 
 60504.000    40.0176503749   116.6714610323     19.964     15.721     -2.555    0.006       1 
 60505.000    40.0177921811   116.6714310387     19.957     15.833     -2.550   -0.024       1 
 60506.000    40.0179357935   116.6714011601     19.950     16.054     -2.545   -0.007       1 
 60507.000    40.0180808667   116.6713713949     19.933     16.204     -2.553   -0.023       1 
 60508.000    40.0182284111   116.6713408865     19.912     16.544     -2.675    0.026       1 
 60509.000    40.0183783440   116.6713091236     19.921     16.709     -2.753    0.002       1 
 60510.000    40.0185298238   116.6712763274     19.923     16.966     -2.842    0.013       1 
 60511.000    40.0186844414   116.6712424046     19.939     17.369     -2.945    0.017       1 
 60512.000    40.0188424951   116.6712075212     19.963     17.663     -2.983    0.046       1 
 60513.000    40.0190024564   116.6711731828     20.007     17.870     -2.888    0.040       1 
 60514.000    40.0191639914   116.6711395493     20.043     17.906     -2.873    0.022       1 
 60515.000    40.0193241273   116.6711061846     20.083     17.681     -2.852    0.076       1 
 60516.000    40.0194837847   116.6710722874     20.132     17.725     -2.943    0.067       1 
 60517.000    40.0196427070   116.6710379984     20.192     17.540     -2.929    0.043       1 
 60518.000    40.0197997049   116.6710041329     20.241     17.355     -2.846    0.054       1 
 60519.000    40.0199564860   116.6709715626     20.310     17.522     -2.737    0.031       1 
 60520.000    40.0201138756   116.6709398506     20.349     17.370     -2.686    0.054       1 
 60521.000    40.0202685433   116.6709084794     20.400     17.030     -2.680    0.009       1 
 60522.000    40.0204213044   116.6708772533     20.423     16.866     -2.637    0.009       1 
 60523.000    40.0205719573   116.6708469149     20.415     16.553     -2.489    0.030       1 
 60524.000    40.0207193962   116.6708188852     20.417     16.182     -2.281    0.006       1 
 60525.000    40.0208634600   116.6707924678     20.423     15.803     -2.275   -0.008       1 
 60526.000    40.0210040567   116.6707653086     20.471     15.483     -2.329    0.017       1 
 60527.000    40.0211420915   116.6707382067     20.458     15.190     -2.176   -0.151       1 
 60528.000    40.0212776951   116.6707132123     20.335     14.928     -2.060   -0.075       1 
 60529.000    40.0214138712   116.6706903996     20.378     15.359     -1.839    0.024       1 
