GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
133114.000    39.9990394933   116.8209544720     24.206     -5.745      7.331   -0.080       1 
133115.000    39.9989854009   116.8210438876     24.143     -6.270      7.950   -0.042       1 
133116.000    39.9989266769   116.8211406773     24.114     -6.746      8.551   -0.024       1 
133117.000    39.9988646983   116.8212424784     24.075     -6.988      8.788   -0.019       1 
133118.000    39.9988006311   116.8213477610     24.027     -7.254      9.196   -0.052       1 
133119.000    39.9987342510   116.8214578598     23.975     -7.481      9.592   -0.040       1 
133120.000    39.9986660264   116.8215722154     23.945     -7.642      9.880   -0.040       1 
133121.000    39.9985970022   116.8216887906     23.900     -7.686      9.997   -0.045       1 
133122.000    39.9985278379   116.8218061239     23.861     -7.651      9.992   -0.042       1 
133123.000    39.9984593059   116.8219224032     23.813     -7.562      9.852   -0.038       1 
133124.000    39.9983915637   116.8220368401     23.772     -7.478      9.704   -0.044       1 
133125.000    39.9983245848   116.8221494604     23.728     -7.391      9.548   -0.039       1 
133126.000    39.9982584418   116.8222601417     23.724     -7.289      9.372   -0.014       1 
133127.000    39.9981932757   116.8223691193     23.677     -7.163      9.246   -0.066       1 
133128.000    39.9981293609   116.8224770072     23.624     -7.030      9.165   -0.020       1 
133129.000    39.9980666343   116.8225837708     23.592     -6.926      9.056   -0.024       1 
133130.000    39.9980046345   116.8226887644     23.556     -6.850      8.887   -0.037       1 
133131.000    39.9979433656   116.8227920835     23.517     -6.771      8.766   -0.046       0 
133132.000    39.9978816782   116.8228958420     23.482     -7.040      9.098   -0.053       1 
133133.000    39.9978159584   116.8230062223     23.438     -7.526      9.756   -0.048       1 
133134.000    39.9977459562   116.8231246877     23.399     -8.073     10.578   -0.057       1 
133135.000    39.9976701241   116.8232544659     23.331     -8.779     11.564   -0.078       1 
133136.000    39.9975877052   116.8233951717     23.285     -9.511     12.461   -0.037       1 
133137.000    39.9974988955   116.8235460700     23.241    -10.203     13.306   -0.048       1 
133138.000    39.9974040216   116.8237064298     23.186    -10.829     14.044   -0.037       1 
133139.000    39.9973049707   116.8238730822     23.133    -11.171     14.418   -0.045       1 
133140.000    39.9972027302   116.8240441615     23.060    -11.528     14.807   -0.078       1 
133141.000    39.9970976987   116.8242188913     22.996    -11.776     15.036   -0.078       1 
133142.000    39.9969899170   116.8243973714     22.912    -12.163     15.482   -0.072       1 
133143.000    39.9968787851   116.8245812903     22.854    -12.462     15.914   -0.077       1 
133144.000    39.9967664325   116.8247688794     22.798    -12.430     16.043   -0.060       1 
133145.000    39.9966552643   116.8249562787     22.722    -12.270     15.951   -0.083       1 
133146.000    39.9965456630   116.8251424893     22.652    -12.088     15.870   -0.052       1 
133147.000    39.9964370052   116.8253283468     22.591    -12.084     15.860   -0.071       1 
133148.000    39.9963273692   116.8255142396     22.525    -12.267     15.960   -0.066       1 
133149.000    39.9962158877   116.8257026814     22.464    -12.465     16.209   -0.064       1 
133150.000    39.9961025248   116.8258937572     22.398    -12.725     16.446   -0.055       1 
133151.000    39.9959870299   116.8260874216     22.297    -12.910     16.630   -0.085       1 
133152.000    39.9958702193   116.8262825712     22.234    -13.052     16.726   -0.024       1 
133153.000    39.9957519281   116.8264793741     22.174    -13.223     16.906   -0.081       1 
133154.000    39.9956321472   116.8266783873     22.135    -13.347     17.086   -0.025       1 
133155.000    39.9955115718   116.8268794746     22.116    -13.450     17.257    0.016       1 
133156.000    39.9953899510   116.8270827776     22.148    -13.547     17.479    0.008       1 
133157.000    39.9952674364   116.8272885309     22.175    -13.650     17.650    0.061       1 
133158.000    39.9951440937   116.8274962870     22.248    -13.722     17.794    0.092       1 
133159.000    39.9950203066   116.8277049263     22.326    -13.756     17.836    0.070       1 
133160.000    39.9948962070   116.8279142572     22.440    -13.772     17.907    0.182       1 
133161.000    39.9947722355   116.8281237191     22.608    -13.756     17.857    0.148       1 
133162.000    39.9946485796   116.8283324705     22.763    -13.704     17.803    0.170       1 
133163.000    39.9945255459   116.8285405600     22.950    -13.642     17.747    0.200       1 
133164.000    39.9944027677   116.8287482028     23.156    -13.631     17.720    0.222       1 
133165.000    39.9942802266   116.8289553048     23.383    -13.579     17.645    0.277       1 
133166.000    39.9941577853   116.8291618491     23.625    -13.591     17.613    0.205       1 
133167.000    39.9940354867   116.8293674627     23.871    -13.553     17.533    0.267       1 
133168.000    39.9939132944   116.8295722765     24.140    -13.578     17.473    0.237       1 
133169.000    39.9937911425   116.8297763399     24.374    -13.571     17.403    0.267       1 
133170.000    39.9936688356   116.8299798089     24.646    -13.585     17.338    0.246       1 
133171.000    39.9935465425   116.8301821641     24.902    -13.563     17.209    0.280       1 
133172.000    39.9934244233   116.8303827581     25.148    -13.524     17.095    0.195       1 
133173.000    39.9933027591   116.8305829159     25.388    -13.477     17.109    0.217       1 
133174.000    39.9931819578   116.8307830484     25.635    -13.355     17.065    0.257       1 
133175.000    39.9930623971   116.8309826429     25.907    -13.195     17.033    0.258       1 
133176.000    39.9929441032   116.8311821811     26.167    -13.067     17.026    0.271       1 
133177.000    39.9928270351   116.8313809153     26.403    -12.868     16.879    0.283       1 
133178.000    39.9927124387   116.8315767033     26.741    -12.602     16.569    0.465       1 
