GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
136770.000    40.0232333630   116.8031857411     23.322     -6.513      0.329   -0.045       1 
136771.000    40.0231734095   116.8031891323     23.292     -6.872      0.268   -0.031       1 
136772.000    40.0231086057   116.8031924328     23.278     -7.684      0.283   -0.002       1 
136773.000    40.0230347470   116.8031959740     23.274     -8.688      0.307   -0.029       1 
136774.000    40.0229536649   116.8031996626     23.253     -9.167      0.323    0.018       1 
136775.000    40.0228710846   116.8032036912     23.279     -9.255      0.351    0.038       1 
136776.000    40.0227866037   116.8032082785     23.304     -9.435      0.407    0.019       1 
136777.000    40.0227013216   116.8032135253     23.272     -9.562      0.446   -0.028       1 
136778.000    40.0226134527   116.8032190622     23.262     -9.964      0.484    0.009       1 
136779.000    40.0225218267   116.8032248236     23.262    -10.407      0.499   -0.018       1 
136780.000    40.0224259457   116.8032307642     23.258    -10.886      0.512    0.010       1 
136781.000    40.0223257788   116.8032368417     23.245    -11.350      0.514   -0.037       1 
136782.000    40.0222216508   116.8032427239     23.250    -11.748      0.510   -0.019       1 
136783.000    40.0221144982   116.8032485380     23.221    -11.943      0.495   -0.062       1 
136784.000    40.0220063642   116.8032542177     23.182    -12.147      0.491    0.010       1 
136785.000    40.0218950956   116.8032600848     23.154    -12.476      0.511   -0.037       1 
136786.000    40.0217832003   116.8032660391     23.128    -12.351      0.496   -0.044       1 
136787.000    40.0216719560   116.8032720778     23.072    -12.352      0.519   -0.006       1 
136788.000    40.0215599381   116.8032780462     23.035    -12.517      0.503   -0.063       1 
136789.000    40.0214460854   116.8032837766     22.975    -12.749      0.510    0.056       1 
136790.000    40.0213316843   116.8032897069     22.953    -12.632      0.519   -0.068       1 
136791.000    40.0212185929   116.8032954488     22.868    -12.477      0.487   -0.083       1 
136792.000    40.0211071953   116.8033010845     22.860    -12.250      0.479   -0.108       1 
136793.000    40.0209975079   116.8033070134     22.790    -12.087      0.508   -0.069       1 
136794.000    40.0208894611   116.8033130650     22.753    -11.911      0.529    0.025       1 
136795.000    40.0207831989   116.8033194720     22.737    -11.698      0.554   -0.050       1 
136796.000    40.0206786445   116.8033259604     22.688    -11.527      0.544   -0.050       1 
136797.000    40.0205751385   116.8033322845     22.643    -11.559      0.554   -0.025       1 
136798.000    40.0204689318   116.8033388717     22.610    -12.042      0.579   -0.017       1 
136799.000    40.0203581422   116.8033456273     22.569    -12.573      0.553   -0.040       1 
136800.000    40.0202437974   116.8033520233     22.531    -12.696      0.555   -0.025       1 
136801.000    40.0201282266   116.8033584243     22.487    -13.019      0.531   -0.040       1 
136802.000    40.0200111629   116.8033648595     22.444    -12.916      0.529   -0.069       1 
136803.000    40.0198956913   116.8033716710     22.401    -12.711      0.604   -0.051       1 
136804.000    40.0197823238   116.8033790586     22.359    -12.449      0.629   -0.055       1 
136805.000    40.0196714971   116.8033867318     22.310    -12.144      0.634   -0.027       1 
136806.000    40.0195635458   116.8033939574     22.276    -11.818      0.602   -0.012       1 
136807.000    40.0194583051   116.8034002039     22.272    -11.582      0.493   -0.025       1 
136808.000    40.0193548047   116.8034046334     22.233    -11.418      0.312   -0.044       1 
136809.000    40.0192527440   116.8034076693     22.199    -11.304      0.271   -0.026       1 
136810.000    40.0191513486   116.8034113984     22.162    -11.191      0.316   -0.055       1 
136811.000    40.0190513861   116.8034151591     22.131    -10.996      0.310    0.021       1 
136812.000    40.0189535744   116.8034192065     22.111    -10.734      0.363   -0.056       1 
136813.000    40.0188578015   116.8034245845     22.090    -10.526      0.503   -0.021       1 
136814.000    40.0187638202   116.8034305752     22.075    -10.347      0.507   -0.021       1 
136815.000    40.0186713249   116.8034364257     22.055    -10.181      0.514   -0.013       1 
136816.000    40.0185796465   116.8034426116     22.034    -10.303      0.529   -0.022       1 
136817.000    40.0184851181   116.8034489070     22.026    -10.698      0.535   -0.036       1 
136818.000    40.0183875501   116.8034547633     22.018    -10.861      0.490   -0.004       1 
136819.000    40.0182901991   116.8034591339     22.007    -10.736      0.295    0.030       1 
136820.000    40.0181944651   116.8034614681     22.021    -10.530      0.138   -0.045       1 
136821.000    40.0180996025   116.8034607096     21.988    -10.619     -0.188   -0.019       1 
136822.000    40.0180027869   116.8034580654     21.957    -10.869     -0.199    0.107       1 
136823.000    40.0179045480   116.8034566918     21.974    -11.012     -0.063    0.010       1 
136824.000    40.0178035692   116.8034575842     21.994    -11.484      0.128    0.061       1 
136825.000    40.0176973382   116.8034599909     21.986    -12.124      0.229    0.009       1 
136826.000    40.0175849960   116.8034628520     21.995    -12.826      0.260   -0.014       1 
136827.000    40.0174661739   116.8034662733     21.968    -13.548      0.344   -0.044       1 
136828.000    40.0173424359   116.8034707950     22.012    -13.775      0.390    0.011       1 
136829.000    40.0172179393   116.8034756318     22.050    -14.034      0.446    0.098       1 
136830.000    40.0170889076   116.8034815767     22.069    -14.570      0.566    0.026       1 
136831.000    40.0169576975   116.8034889555     22.089    -14.513      0.666    0.002       1 
136832.000    40.0168277919   116.8034969463     22.088    -14.319      0.670    0.035       1 
136833.000    40.0167001943   116.8035052088     22.107    -14.037      0.726    0.034       1 
136834.000    40.0165741699   116.8035146088     22.119    -14.049      0.806    0.037       1 
136835.000    40.0164458103   116.8035246356     22.128    -14.470      0.879    0.007       1 
136836.000    40.0163147349   116.8035349945     22.134    -14.524      0.897    0.029       1 
136837.000    40.0161846404   116.8035453745     22.161    -14.366      0.851   -0.003       1 
136838.000    40.0160556265   116.8035544023     22.163    -14.299      0.719   -0.007       1 
136839.000    40.0159272867   116.8035618459     22.172    -14.150      0.599    0.004       1 
136840.000    40.0158010028   116.8035686826     22.177    -13.901      0.579    0.006       1 
136841.000    40.0156767884   116.8035757492     22.186    -13.764      0.604    0.005       1 
136842.000    40.0155519913   116.8035830413     22.185    -13.978      0.632   -0.008       1 
136843.000    40.0154265569   116.8035908118     22.192    -13.827      0.679   -0.012       1 
136844.000    40.0153031024   116.8035988625     22.201    -13.593      0.699    0.006       1 
136845.000    40.0151806956   116.8036069072     22.212    -13.688      0.682    0.021       1 
136846.000    40.0150559678   116.8036146978     22.220    -14.012      0.657    0.000       1 
136847.000    40.0149291651   116.8036222601     22.224    -14.058      0.623    0.022       1 
136848.000    40.0148034932   116.8036289976     22.236    -13.846      0.551   -0.005       1 
136849.000    40.0146798178   116.8036350573     22.246    -13.616      0.518    0.013       1 
136850.000    40.0145572385   116.8036408393     22.264    -13.756      0.491    0.022       1 
136851.000    40.0144313020   116.8036470472     22.272    -14.193      0.565    0.026       1 
136852.000    40.0143032051   116.8036544851     22.274    -14.153      0.663   -0.006       1 
136853.000    40.0141763791   116.8036622737     22.291    -14.101      0.645    0.052       1 
136854.000    40.0140473661   116.8036698577     22.302    -14.574      0.682   -0.002       1 
136855.000    40.0139136819   116.8036779725     22.314    -15.114      0.698   -0.005       1 
136856.000    40.0137751788   116.8036863687     22.349    -15.638      0.724    0.029       1 
136857.000    40.0136320379   116.8036946375     22.386    -16.062      0.691    0.040       1 
136858.000    40.0134882050   116.8037023596     22.411    -15.827      0.636    0.006       1 
136859.000    40.0133472504   116.8037093682     22.427    -15.483      0.578    0.005       1 
136860.000    40.0132089114   116.8037159224     22.432    -15.242      0.561    0.048       1 
136861.000    40.0130729392   116.8037230447     22.441    -14.962      0.612   -0.022       1 
136862.000    40.0129393626   116.8037309037     22.454    -14.704      0.688    0.030       1 
136863.000    40.0128069429   116.8037389644     22.472    -14.777      0.710    0.013       1 
136864.000    40.0126722489   116.8037467925     22.486    -15.158      0.643    0.036       1 
136865.000    40.0125338249   116.8037539580     22.465    -15.587      0.612   -0.037       1 
136866.000    40.0123917893   116.8037607678     22.490    -15.869      0.570    0.013       1 
136867.000    40.0122497391   116.8037671357     22.487    -15.628      0.529    0.019       1 
136868.000    40.0121105878   116.8037737003     22.508    -15.316      0.627    0.012       1 
136869.000    40.0119721240   116.8037817955     22.511    -15.553      0.712    0.027       1 
136870.000    40.0118308379   116.8037904649     22.519    -15.692      0.756    0.018       1 
136871.000    40.0116907176   116.8037991940     22.528    -15.388      0.731    0.021       1 
136872.000    40.0115533981   116.8038071917     22.537    -15.128      0.647    0.011       1 
136873.000    40.0114183195   116.8038143874     22.539    -14.874      0.584   -0.017       1 
136874.000    40.0112852647   116.8038211584     22.536    -14.761      0.586    0.009       1 
136875.000    40.0111510152   116.8038285495     22.536    -15.070      0.668   -0.017       1 
136876.000    40.0110134882   116.8038367438     22.536    -15.464      0.703    0.002       1 
136877.000    40.0108726026   116.8038444064     22.551    -15.707      0.614    0.007       1 
136878.000    40.0107322192   116.8038514069     22.565    -15.424      0.578    0.010       1 
136879.000    40.0105939980   116.8038581456     22.545    -15.322      0.597   -0.096       1 
136880.000    40.0104558795   116.8038655239     22.563    -15.381      0.646    0.008       1 
136881.000    40.0103161328   116.8038742429     22.556    -15.690      0.819    0.017       1 
136882.000    40.0101729508   116.8038850063     22.575    -16.104      0.943    0.010       1 
136883.000    40.0100277979   116.8038952924     22.597    -16.033      0.824    0.005       1 
136884.000    40.0098848567   116.8039036935     22.604    -15.754      0.662    0.007       1 
136885.000    40.0097406195   116.8039108310     22.600    -16.368      0.605   -0.002       1 
136886.000    40.0095896157   116.8039176325     22.594    -17.163      0.600   -0.005       1 
136887.000    40.0094318025   116.8039250689     22.579    -17.832      0.659   -0.072       1 
136888.000    40.0092701163   116.8039331456     22.547    -17.933      0.734    0.181       1 
136889.000    40.0091100472   116.8039428526     22.527    -17.579      0.905   -0.024       1 
136890.000    40.0089536736   116.8039552264     22.559    -17.157      1.114    0.027       1 
136891.000    40.0088008761   116.8039695792     22.565    -16.818      1.226    0.030       1 
136892.000    40.0086500835   116.8039822709     22.551    -16.655      0.988   -0.007       1 
136893.000    40.0085015667   116.8039924033     22.536    -16.323      0.799    0.016       1 
136894.000    40.0083562782   116.8040017828     22.498    -15.957      0.813   -0.120       1 
136895.000    40.0082132775   116.8040109772     22.527    -15.918      0.796   -0.006       1 
136896.000    40.0080686336   116.8040194894     22.518    -16.223      0.691   -0.026       1 
