GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
269455.000    40.1109825827   116.6490870338     30.105     -0.046     -6.494   -0.053       1 
269456.000    40.1109815361   116.6490094972     30.061     -0.183     -6.678   -0.035       1 
269457.000    40.1109797347   116.6489301550     30.045     -0.201     -6.782   -0.001       1 
269458.000    40.1109776800   116.6488513708     30.043     -0.255     -6.719   -0.015       1 
269459.000    40.1109753585   116.6487726519     30.043     -0.264     -6.703    0.018       1 
269460.000    40.1109733500   116.6486937011     30.048     -0.179     -6.777    0.001       1 
269461.000    40.1109719928   116.6486133845     30.045     -0.100     -6.884   -0.003       1 
269462.000    40.1109712769   116.6485317574     30.049     -0.097     -7.043    0.027       1 
269463.000    40.1109704917   116.6484482372     30.071     -0.085     -7.123    0.029       1 
269464.000    40.1109696897   116.6483656728     30.091     -0.084     -6.966    0.002       1 
269465.000    40.1109687099   116.6482846073     30.093     -0.116     -6.820   -0.008       1 
269466.000    40.1109673230   116.6482060389     30.090     -0.178     -6.586   -0.002       1 
269467.000    40.1109653589   116.6481304323     30.101     -0.253     -6.317    0.010       1 
269468.000    40.1109630387   116.6480577218     30.118     -0.257     -6.110    0.013       1 
269469.000    40.1109608928   116.6479859706     30.133     -0.234     -6.103    0.019       1 
269470.000    40.1109589179   116.6479147576     30.148     -0.210     -6.037    0.003       1 
269471.000    40.1109571148   116.6478444100     30.157     -0.174     -5.937   -0.006       1 
269472.000    40.1109555897   116.6477750212     30.156     -0.163     -5.927   -0.005       1 
269473.000    40.1109541614   116.6477049317     30.167     -0.185     -6.050   -0.001       1 
269474.000    40.1109524443   116.6476324957     30.184     -0.213     -6.355    0.003       1 
269475.000    40.1109505507   116.6475551016     30.194     -0.213     -6.780    0.000       1 
269476.000    40.1109485690   116.6474752239     30.196     -0.167     -6.782    0.010       1 
269477.000    40.1109474847   116.6473954249     30.199     -0.107     -6.881   -0.001       1 
269478.000    40.1109460169   116.6473129057     30.183     -0.200     -7.203   -0.044       1 
269479.000    40.1109440028   116.6472269643     30.160     -0.236     -7.409    0.004       1 
269480.000    40.1109421742   116.6471398828     30.150     -0.186     -7.399   -0.025       1 
269481.000    40.1109407304   116.6470535760     30.140     -0.205     -7.351    0.002       1 
269482.000    40.1109382351   116.6469680297     30.144     -0.334     -7.197    0.005       1 
269483.000    40.1109346677   116.6468853980     30.145     -0.424     -6.917    0.006       1 
269484.000    40.1109308336   116.6468028078     30.135     -0.415     -7.224   -0.019       1 
269485.000    40.1109274088   116.6467152056     30.138     -0.333     -7.745    0.023       1 
269486.000    40.1109245934   116.6466209024     30.153     -0.314     -8.279   -0.006       1 
269487.000    40.1109217744   116.6465203028     30.148     -0.311     -8.885   -0.006       1 
269488.000    40.1109191030   116.6464124869     30.134     -0.298     -9.381   -0.004       1 
269489.000    40.1109170074   116.6463036799     30.162     -0.187     -9.115    0.016       1 
269490.000    40.1109155956   116.6461987756     30.167     -0.096     -8.705    0.007       1 
269491.000    40.1109151415   116.6461017733     30.170     -0.015     -7.739    0.014       1 
269492.000    40.1109150839   116.6460168867     30.182     -0.001     -6.696    0.020       1 
269493.000    40.1109154816   116.6459461924     30.182      0.070     -5.346    0.001       1 
269494.000    40.1109160592   116.6458914883     30.182      0.002     -4.019    0.011       1 
269495.000    40.1109158665   116.6458506903     30.189     -0.039     -2.987    0.000       1 
269496.000    40.1109154713   116.6458212859     30.195     -0.036     -2.031    0.001       1 
269497.000    40.1109150626   116.6458004732     30.196     -0.047     -1.523   -0.002       1 
269498.000    40.1109147154   116.6457853562     30.197     -0.036     -1.050    0.003       1 
269499.000    40.1109144762   116.6457754929     30.198     -0.019     -0.607   -0.001       1 
269500.000    40.1109143977   116.6457722525     30.198     -0.004      0.033   -0.005       1 
269501.000    40.1109144064   116.6457722888     30.197      0.004     -0.001    0.000       1 
269502.000    40.1109144161   116.6457722902     30.196     -0.000     -0.002   -0.002       1 
269503.000    40.1109144283   116.6457722835     30.195     -0.002     -0.003   -0.003       1 
269504.000    40.1109144428   116.6457722773     30.194     -0.002     -0.002   -0.003       1 
269505.000    40.1109144243   116.6457708365     30.193     -0.008     -0.282    0.001       1 
269506.000    40.1109142806   116.6457642223     30.192     -0.037     -1.023    0.004       1 
269507.000    40.1109137870   116.6457459124     30.195     -0.076     -2.081    0.007       1 
269508.000    40.1109128816   116.6457146483     30.203     -0.129     -3.216   -0.000       1 
269509.000    40.1109115260   116.6456723620     30.217     -0.160     -3.983    0.007       1 
269510.000    40.1109101888   116.6456191455     30.227     -0.106     -5.072    0.007       1 
269511.000    40.1109095578   116.6455573927     30.220     -0.003     -5.230   -0.019       1 
269512.000    40.1109097764   116.6454973638     30.210      0.024     -4.980   -0.008       1 
269513.000    40.1109099357   116.6454405010     30.210      0.059     -4.726   -0.003       1 
269514.000    40.1109127944   116.6453858426     30.193      0.571     -4.364   -0.032       1 
269515.000    40.1109194000   116.6453422687     30.180      0.819     -3.010   -0.005       1 
269516.000    40.1109282642   116.6453142119     30.179      1.069     -1.944   -0.018       1 
269517.000    40.1109405162   116.6452943591     30.175      1.504     -1.451   -0.010       1 
269518.000    40.1109557545   116.6452790667     30.169      1.767     -1.214   -0.001       1 
269519.000    40.1109744353   116.6452641308     30.170      2.495     -1.364    0.007       1 
269520.000    40.1110013942   116.6452495425     30.183      3.356     -0.975    0.002       1 
269521.000    40.1110351301   116.6452416867     30.190      4.124     -0.357    0.001       1 
269522.000    40.1110778109   116.6452397181     30.197      5.281     -0.038    0.018       1 
269523.000    40.1111299634   116.6452397463     30.210      6.296      0.043    0.019       1 
269524.000    40.1111892583   116.6452406360     30.220      6.614      0.106    0.001       1 
269525.000    40.1112472174   116.6452420986     30.228      6.282      0.136    0.009       1 
269526.000    40.1113049349   116.6452429881     30.238      6.511      0.039    0.011       1 
269527.000    40.1113638766   116.6452433923     30.242      6.620      0.040    0.003       1 
269528.000    40.1114260517   116.6452443758     30.250      7.160      0.109    0.016       1 
269529.000    40.1114925455   116.6452452717     30.259      7.674      0.045    0.012       1 
269530.000    40.1115635311   116.6452455125     30.269      8.040     -0.022    0.017       1 
269531.000    40.1116362987   116.6452450260     30.278      8.094     -0.069    0.007       1 
269532.000    40.1117097365   116.6452440846     30.295      8.264     -0.107    0.029       1 
269533.000    40.1117865918   116.6452433702     30.303      8.746      0.009    0.005       1 
269534.000    40.1118649071   116.6452442472     30.311      8.645      0.120    0.010       1 
269535.000    40.1119428911   116.6452449661     30.316      8.734      0.053    0.023       1 
269536.000    40.1120220506   116.6452455134     30.322      8.862      0.036    0.025       1 
269537.000    40.1121026352   116.6452460919     30.338      9.049      0.065    0.023       1 
269538.000    40.1121848222   116.6452470652     30.347      9.245      0.100    0.013       1 
269539.000    40.1122690452   116.6452482494     30.356      9.429      0.057    0.014       1 
269540.000    40.1123533164   116.6452472775     30.367      9.341     -0.196    0.015       1 
269541.000    40.1124383631   116.6452455363     30.380      9.487     -0.034   -0.011       1 
269542.000    40.1125254523   116.6452459376     30.381      9.950      0.110   -0.023       1 
269543.000    40.1126180194   116.6452478760     30.382     10.543      0.218    0.001       1 
269544.000    40.1127151789   116.6452508282     30.385     11.096      0.282   -0.009       1 
269545.000    40.1128163936   116.6452541094     30.389     11.200      0.263   -0.007       1 
269546.000    40.1129154949   116.6452568748     30.380     10.804      0.222   -0.007       1 
269547.000    40.1130108284   116.6452589086     30.378     10.346      0.129    0.016       1 
269548.000    40.1131023749   116.6452602701     30.385      9.997      0.094    0.004       1 
269549.000    40.1131910306   116.6452613470     30.380      9.695      0.079   -0.008       1 
269550.000    40.1132769224   116.6452621631     30.375      9.402      0.086   -0.007       1 
269551.000    40.1133601083   116.6452639268     30.381      9.103      0.215   -0.017       1 
269552.000    40.1134405752   116.6452669765     30.381      8.781      0.275   -0.003       1 
269553.000    40.1135183889   116.6452697340     30.381      8.442      0.174   -0.001       1 
269554.000    40.1135941019   116.6452715506     30.379      8.407      0.112   -0.002       1 
269555.000    40.1136706653   116.6452724118     30.377      8.638      0.036    0.014       1 
269556.000    40.1137494492   116.6452726307     30.397      8.860      0.007    0.027       1 
269557.000    40.1138303511   116.6452732343     30.407      9.104      0.098   -0.019       1 
269558.000    40.1139135077   116.6452740691     30.393      9.345      0.047    0.009       1 
