   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
279733.000    40.1896861569   116.2277130341     49.774     17.207     -6.742   -0.224       1 
279734.000    40.1898414920   116.2276338974     49.561     17.296     -6.728   -0.232       1 
279735.000    40.1899975031   116.2275547074     49.307     17.339     -6.767   -0.237       1 
279736.000    40.1901538013   116.2274752689     49.032     17.359     -6.748   -0.311       1 
279737.000    40.1903097723   116.2273968828     48.722     17.271     -6.629   -0.316       1 
279738.000    40.1904655464   116.2273191826     48.365     17.344     -6.642   -0.362       1 
279739.000    40.1906221870   116.2272408367     48.021     17.445     -6.729   -0.348       1 
279740.000    40.1907800421   116.2271608091     47.687     17.655     -6.887   -0.308       1 
279741.000    40.1909403973   116.2270792299     47.339     17.907     -6.980   -0.322       1 
279742.000    40.1911026354   116.2269970214     46.984     18.149     -7.032   -0.356       1 
279743.000    40.1912671770   116.2269136930     46.646     18.362     -7.152   -0.326       1 
279744.000    40.1914335695   116.2268292214     46.362     18.575     -7.240   -0.216       1 
279745.000    40.1916013495   116.2267439522     46.190     18.697     -7.280   -0.098       1 
279746.000    40.1917705556   116.2266579658     46.134     18.859     -7.351   -0.033       1 
279747.000    40.1919408500   116.2265716895     46.154     18.956     -7.342    0.097       1 
279748.000    40.1921118723   116.2264857344     46.248     18.986     -7.296    0.088       1 
279749.000    40.1922828080   116.2263997718     46.338     18.975     -7.368    0.091       1 
279750.000    40.1924537010   116.2263129670     46.414     19.014     -7.434    0.095       1 
279751.000    40.1926254169   116.2262260751     46.506     19.139     -7.378    0.107       1 
279752.000    40.1927980307   116.2261397591     46.603     19.166     -7.303    0.104       1 
279753.000    40.1929700793   116.2260550162     46.698     18.987     -7.109    0.088       1 
279754.000    40.1931396472   116.2259724328     46.806     18.664     -7.004    0.114       1 
279755.000    40.1933068557   116.2258899520     46.893     18.494     -7.062    0.091       1 
279756.000    40.1934732588   116.2258071810     46.994     18.520     -7.036    0.107       1 
279757.000    40.1936406002   116.2257251657     47.083     18.616     -6.976    0.074       1 
279758.000    40.1938081444   116.2256437220     47.159     18.617     -6.950    0.074       1 
279759.000    40.1939756948   116.2255615376     47.239     18.612     -7.044    0.080       1 
279760.000    40.1941432774   116.2254786907     47.337     18.630     -7.077    0.122       1 
279761.000    40.1943118437   116.2253948379     47.437     18.780     -7.175    0.116       1 
279762.000    40.1944816799   116.2253102926     47.555     18.932     -7.235    0.113       1 
279763.000    40.1946528099   116.2252247158     47.653     19.077     -7.325    0.085       1 
279764.000    40.1948255214   116.2251382951     47.743     19.281     -7.396    0.082       1 
279765.000    40.1949999708   116.2250514755     47.842     19.458     -7.386    0.106       1 
279766.000    40.1951762769   116.2249644077     47.925     19.694     -7.460    0.058       1 
279767.000    40.1953545864   116.2248762267     48.008     19.943     -7.547    0.129       1 
279768.000    40.1955356218   116.2247869300     48.186     20.258     -7.645    0.217       1 
279769.000    40.1957197239   116.2246964895     48.451     20.590     -7.777    0.313       1 
279770.000    40.1959063627   116.2246042567     48.822     20.853     -7.910    0.407       1 
279771.000    40.1960952756   116.2245106210     49.283     21.092     -7.992    0.508       1 
279772.000    40.1962861297   116.2244158292     49.846     21.296     -8.099    0.584       1 
279773.000    40.1964788586   116.2243203312     50.406     21.491     -8.132    0.567       1 
279774.000    40.1966733828   116.2242242606     51.002     21.687     -8.205    0.595       1 
279775.000    40.1968692124   116.2241275984     51.595     21.786     -8.281    0.584       1 
279776.000    40.1970659507   116.2240295810     52.173     21.919     -8.373    0.576       1 
279777.000    40.1972642020   116.2239310970     52.763     22.112     -8.379    0.562       1 
279778.000    40.1974639837   116.2238326399     53.338     22.257     -8.401    0.611       1 
279779.000    40.1976648572   116.2237334548     53.942     22.360     -8.474    0.614       1 
279780.000    40.1978666688   116.2236334457     54.536     22.437     -8.541    0.567       1 
279781.000    40.1980692545   116.2235325089     55.055     22.518     -8.635    0.468       1 
279782.000    40.1982725439   116.2234306517     55.484     22.635     -8.666    0.395       1 
279783.000    40.1984770174   116.2233286488     55.828     22.742     -8.654    0.301       1 
279784.000    40.1986822895   116.2232275891     56.099     22.831     -8.545    0.240       1 
279785.000    40.1988884156   116.2231267857     56.312     22.928     -8.628    0.104       1 
279786.000    40.1990955744   116.2230249677     56.392     23.074     -8.744    0.028       1 
279787.000    40.1993041197   116.2229218018     56.390     23.246     -8.849   -0.094       1 
279788.000    40.1995141723   116.2228176511     56.259     23.413     -8.918   -0.003       1 
279789.000    40.1997259824   116.2227128195     56.087     23.608     -8.959   -0.252       1 
279790.000    40.1999396366   116.2226073787     55.826     23.854     -8.945   -0.312       1 
279791.000    40.2001553262   116.2225032739     55.483     23.973     -8.777   -0.382       1 
279792.000    40.2003704509   116.2224009905     55.023     23.777     -8.625   -0.522       1 
279793.000    40.2005836070   116.2222998437     54.529     23.566     -8.662   -0.511       1 
279794.000    40.2007950474   116.2221977307     54.045     23.469     -8.750   -0.492       1 
279795.000    40.2010065620   116.2220951017     53.537     23.543     -8.729   -0.518       1 
279796.000    40.2012193864   116.2219927330     53.087     23.748     -8.701   -0.373       1 
279797.000    40.2014346666   116.2218903020     52.763     24.044     -8.751   -0.229       1 
279798.000    40.2016521442   116.2217870703     52.642     24.238     -8.861   -0.009       1 
279799.000    40.2018709974   116.2216829356     52.703     24.353     -8.886    0.085       1 
279800.000    40.2020901877   116.2215786433     52.845     24.351     -8.875    0.155       1 
279801.000    40.2023100737   116.2214746317     53.000     24.469     -8.829    0.162       1 
279802.000    40.2025308757   116.2213701736     53.148     24.566     -8.961    0.175       1 
279803.000    40.2027524508   116.2212646174     53.307     24.655     -8.993    0.147       1 
279804.000    40.2029750248   116.2211584441     53.473     24.778     -9.049    0.143       1 
279805.000    40.2031988295   116.2210523981     53.630     24.922     -9.032    0.136       1 
279806.000    40.2034237540   116.2209460034     53.778     25.021     -9.068    0.115       1 
279807.000    40.2036485322   116.2208392603     53.919     24.893     -9.095    0.157       1 
279808.000    40.2038720703   116.2207330445     54.052     24.804     -8.991    0.127       1 
279809.000    40.2040948198   116.2206274198     54.184     24.632     -8.940    0.146       1 
279810.000    40.2043161120   116.2205223939     54.290     24.560     -8.923    0.123       1 
279811.000    40.2045372392   116.2204175766     54.393     24.525     -8.933    0.102       1 
279812.000    40.2047584266   116.2203122370     54.485     24.576     -8.994    0.129       1 
279813.000    40.2049804520   116.2202063965     54.609     24.696     -9.029    0.060       1 
279814.000    40.2052034478   116.2201001725     54.698     24.837     -9.062    0.112       1 
