   GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
     (sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
279733.000    40.1896851860   116.2277100001     49.778     17.212     -6.742   -0.219       1 
279734.000    40.1898405293   116.2276308589     49.566     17.293     -6.728   -0.230       1 
279735.000    40.1899965357   116.2275516714     49.312     17.342     -6.767   -0.240       1 
279736.000    40.1901528383   116.2274722305     49.037     17.357     -6.748   -0.313       1 
279737.000    40.1903088184   116.2273938395     48.726     17.271     -6.629   -0.318       1 
279738.000    40.1904645952   116.2273161379     48.370     17.340     -6.642   -0.362       1 
279739.000    40.1906212289   116.2272377956     48.026     17.448     -6.729   -0.352       1 
279740.000    40.1907790746   116.2271577730     47.692     17.657     -6.887   -0.308       1 
279741.000    40.1909394312   116.2270761930     47.343     17.908     -6.980   -0.327       1 
279742.000    40.1911016727   116.2269939828     46.988     18.151     -7.032   -0.357       1 
279743.000    40.1912662113   116.2269106559     46.650     18.362     -7.152   -0.326       1 
279744.000    40.1914326033   116.2268261845     46.366     18.576     -7.240   -0.221       1 
279745.000    40.1916003823   116.2267409159     46.194     18.701     -7.280   -0.099       1 
279746.000    40.1917695888   116.2266549293     46.138     18.858     -7.351   -0.034       1 
279747.000    40.1919398880   116.2265686502     46.157     18.958     -7.342    0.095       1 
279748.000    40.1921109164   116.2264826919     46.251     18.989     -7.296    0.088       1 
279749.000    40.1922818434   116.2263967341     46.342     18.973     -7.368    0.092       1 
279750.000    40.1924527326   116.2263099314     46.418     19.009     -7.434    0.093       1 
279751.000    40.1926244575   116.2262230346     46.511     19.140     -7.378    0.108       1 
279752.000    40.1927970816   116.2261367130     46.606     19.166     -7.303    0.102       1 
279753.000    40.1929691439   116.2260519628     46.701     18.989     -7.109    0.088       1 
279754.000    40.1931387106   116.2259693801     46.810     18.662     -7.004    0.109       1 
279755.000    40.1933059049   116.2258869068     46.897     18.492     -7.062    0.088       1 
279756.000    40.1934723126   116.2258041332     46.996     18.514     -7.036    0.111       1 
279757.000    40.1936396661   116.2257221115     47.085     18.609     -6.976    0.075       1 
279758.000    40.1938072091   116.2256406686     47.162     18.618     -6.950    0.078       1 
279759.000    40.1939747519   116.2255584881     47.242     18.602     -7.044    0.081       1 
279760.000    40.1941423294   116.2254756439     47.340     18.632     -7.077    0.124       1 
279761.000    40.1943108931   116.2253917923     47.439     18.779     -7.175    0.119       1 
279762.000    40.1944807264   116.2253072487     47.558     18.933     -7.235    0.113       1 
279763.000    40.1946518539   116.2252216733     47.657     19.073     -7.325    0.089       1 
279764.000    40.1948245657   116.2251352524     47.747     19.280     -7.396    0.083       1 
279765.000    40.1949990246   116.2250484277     47.845     19.460     -7.386    0.107       1 
279766.000    40.1951753299   116.2249613604     47.929     19.695     -7.460    0.059       1 
279767.000    40.1953536404   116.2248731788     48.011     19.944     -7.547    0.132       1 
279768.000    40.1955346790   116.2247838805     48.190     20.264     -7.645    0.212       1 
279769.000    40.1957187804   116.2246934404     48.455     20.589     -7.777    0.312       1 
279770.000    40.1959054147   116.2246012099     48.826     20.855     -7.910    0.407       1 
279771.000    40.1960943256   116.2245075753     49.288     21.098     -7.992    0.514       1 
279772.000    40.1962851788   116.2244127839     49.850     21.298     -8.099    0.587       1 
279773.000    40.1964779115   116.2243172839     50.409     21.497     -8.132    0.568       1 
279774.000    40.1966724374   116.2242212124     51.006     21.689     -8.205    0.590       1 
279775.000    40.1968682625   116.2241245526     51.599     21.789     -8.281    0.581       1 
279776.000    40.1970649953   116.2240265382     52.178     21.922     -8.373    0.580       1 
279777.000    40.1972632545   116.2239280500     52.767     22.112     -8.379    0.566       1 
279778.000    40.1974630391   116.2238295913     53.342     22.256     -8.401    0.614       1 
279779.000    40.1976639095   116.2237304079     53.946     22.360     -8.474    0.616       1 
279780.000    40.1978657174   116.2236304006     54.540     22.442     -8.541    0.568       1 
279781.000    40.1980682980   116.2235294666     55.059     22.521     -8.635    0.463       1 
279782.000    40.1982715859   116.2234276101     55.488     22.638     -8.666    0.404       1 
