GPSTime         Latitude        Longitude      H-Ell      Vel-N      Vel-E    Vel-U       Q  
(sec)            (Deg)            (Deg)        (m)      (m/s)      (m/s)    (m/s)          
319187.000    40.1993389338   116.2227673315     57.010    -25.918      9.509    0.266       1 
319188.000    40.1991046649   116.2228795264     57.167    -26.032      9.586    0.145       1 
319189.000    40.1988708472   116.2229914809     57.244    -25.841      9.481    0.035       1 
319190.000    40.1986390406   116.2231026840     57.156    -25.676      9.493   -0.141       1 
319191.000    40.1984081763   116.2232140736     56.978    -25.561      9.455   -0.217       1 
319192.000    40.1981793100   116.2233246898     56.654    -25.204      9.412   -0.459       1 
319193.000    40.1979537825   116.2234351187     56.169    -24.851      9.445   -0.615       1 
319194.000    40.1977316946   116.2235467623     55.520    -24.503      9.537   -0.775       1 
319195.000    40.1975123512   116.2236584235     54.766    -24.227      9.458   -0.759       1 
319196.000    40.1972948158   116.2237683556     53.988    -24.082      9.261   -0.759       1 
319197.000    40.1970789799   116.2238766974     53.234    -23.843      9.200   -0.804       2 
319198.000    40.1968651250   116.2239843236     52.444    -23.632      9.134   -0.781       2 
319199.000    40.1966531559   116.2240914203     51.685    -23.439      9.087   -0.769       2 
319200.000    40.1964428748   116.2241976497     50.922    -23.265      9.000   -0.701       1 
319201.000    40.1962342759   116.2243026397     50.247    -23.074      8.878   -0.720       1 
319202.000    40.1960273865   116.2244058580     49.579    -22.871      8.698   -0.590       1 
319203.000    40.1958223327   116.2245070351     49.005    -22.682      8.536   -0.466       1 
319204.000    40.1956194197   116.2246064196     48.588    -22.388      8.368   -0.403       1 
319205.000    40.1954190315   116.2247042488     48.301    -22.158      8.300   -0.241       1 
319206.000    40.1952198517   116.2248019272     48.146    -22.136      8.332   -0.074       1 
319207.000    40.1950203311   116.2249001729     48.043    -22.192      8.383   -0.114       1 
319208.000    40.1948205434   116.2249989451     47.973    -22.159      8.423   -0.048       1 
319209.000    40.1946213766   116.2250976659     47.881    -22.093      8.395   -0.073       1 
319210.000    40.1944226377   116.2251964822     47.774    -22.047      8.436   -0.099       2 
319211.000    40.1942239718   116.2252956060     47.656    -22.051      8.444   -0.099       2 
319212.000    40.1940252693   116.2253946022     47.564    -22.060      8.424   -0.079       2 
319213.000    40.1938270300   116.2254934200     47.493    -21.975      8.410   -0.088       2 
319214.000    40.1936290171   116.2255920508     47.411    -22.009      8.391   -0.113       2 
319215.000    40.1934306216   116.2256905076     47.311    -22.011      8.358   -0.101       1 
319216.000    40.1932324234   116.2257883322     47.216    -22.038      8.278   -0.053       1 
