+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(基站) = " E:/NavData/IntegratedNavData/20200703wnlbs/GSL1-2020_07_03.20o "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.20O "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS "

+ (3)  重要处理参数
-      处理模式 = " 动态差分后处理(PPK) "
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "
-      卫星定位系统 = "  +GPS +北斗 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 11:22:51 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
-      ECEF X       = ECEF X                         
-      ECEF Y       = ECEF Y                         
-      ECEF Z       = ECEF Z                         
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell         ECEF X         ECEF Y         ECEF Z  
     (sec)            (Deg)            (Deg)        (m)            (m)            (m)            (m)  
451961.000    30.4666946869   114.6597596660      8.388   -2295682.551    5000419.633    3215076.906 
451962.000    30.4666948557   114.6597596192      8.385   -2295682.542    5000419.624    3215076.920 
451963.000    30.4666968597   114.6597586294      8.404   -2295682.416    5000419.577    3215077.122 
451964.000    30.4667017141   114.6597552273      8.394   -2295682.001    5000419.457    3215077.580 
451965.000    30.4667076709   114.6597487399      8.383   -2295681.291    5000419.404    3215078.144 
451966.000    30.4667131490   114.6597400365      8.435   -2295680.422    5000419.513    3215078.694 
451967.000    30.4667187290   114.6597288277      8.438   -2295679.314    5000419.680    3215079.228 
451968.000    30.4667220845   114.6597212871      8.452   -2295678.582    5000419.821    3215079.556 
451969.000    30.4667235119   114.6597180675      8.467   -2295678.273    5000419.889    3215079.700 
451970.000    30.4667257569   114.6597133388      8.466   -2295677.808    5000419.964    3215079.914 
451971.000    30.4667307900   114.6597046582      8.476   -2295676.936    5000420.062    3215080.400 
451972.000    30.4667397864   114.6596909689      8.513   -2295675.543    5000420.180    3215081.278 
451973.000    30.4667557121   114.6596730867      8.534   -2295673.616    5000420.099    3215082.811 
451974.000    30.4667796811   114.6596550009      8.571   -2295671.489    5000419.629    3215085.120 
451975.000    30.4668118901   114.6596408508      8.589   -2295669.505    5000418.564    3215088.207 
451976.000    30.4668535928   114.6596277786      8.596   -2295667.389    5000416.963    3215092.195 
451977.000    30.4669041511   114.6596156626      8.623   -2295665.155    5000414.887    3215097.040 
