+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/5/5.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703143107_around_wnlbs.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/GNSS/5.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/Loose "

+ (3)  重要处理参数
-      处理模式 = " Loosely Couple "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = "  0.040,-0.150,-0.060 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/06 10:48:57 "
-      时间(数据) = " 2020/07/03 06:31:46 ~ 2020/07/03 07:21:06 "
-      时间(处理) = " 2020/07/03 06:32:33 ~ 2020/07/03 07:21:06 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
-      Roll         = 横滚                             
-      Pitch        = 俯仰                             
-      Heading      = 航向                             
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell          Roll         Pitch       Heading  
     (sec)            (Deg)            (Deg)        (m)         (Deg)         (Deg)         (Deg)  
455554.000    30.4875717490   114.5639935490     27.451    3.31843593    0.27286448  198.52659386 
455555.000    30.4875121918   114.5639673916     27.291    3.42922580    0.15063078  198.04545662 
455556.000    30.4874547264   114.5639433806     27.171    3.36618891    0.20711400  197.37850532 
455557.000    30.4873999898   114.5639212571     27.074    3.51743142    0.24803161  196.98005092 
455558.000    30.4873485734   114.5639000920     26.958    3.62314285    0.10241484  197.30685955 
455559.000    30.4873005135   114.5638799419     26.862    3.65744056    0.32809752  197.65101263 
455560.000    30.4872561443   114.5638610983     26.778    3.56503214    0.34769344  197.90759180 
455561.000    30.4872159757   114.5638438396     26.697    3.44293322    0.32398807  198.14307925 
455562.000    30.4871759604   114.5638263221     26.619    3.25839700    0.64393494  198.50219146 
455563.000    30.4871284973   114.5638050326     26.528    3.47001738    0.94596892  198.90082645 
455564.000    30.4870732668   114.5637797941     26.431    3.67828060    1.09432119  199.37636156 
455565.000    30.4870115845   114.5637509289     26.308    3.82555129    1.04033126  199.91729653 
455566.000    30.4869450009   114.5637189368     26.173    3.63203108    0.93374041  200.48677623 
455567.000    30.4868794484   114.5636865187     26.041    3.57960749    0.67471643  200.98623150 
455568.000    30.4868166630   114.5636555514     25.917    3.87494821    0.86217689  200.45677690 
455569.000    30.4867562668   114.5636279478     25.809    4.12648565    0.76123510  198.89614731 
455570.000    30.4866988217   114.5636040137     25.709    4.16167983    0.67206053  197.28443173 
455571.000    30.4866454392   114.5635834764     25.610    4.00851205    0.53072138  196.07453307 
455572.000    30.4865985581   114.5635657182     25.511    3.95836980    0.35648215  195.98528579 
455573.000    30.4865613901   114.5635514703     25.435    3.97678239    0.22809217  196.05783338 
455574.000    30.4865373130   114.5635422356     25.393    3.94331942    0.33645165  196.11092172 
455575.000    30.4865192254   114.5635352866     25.360    4.05115833    0.35336161  196.10582695 
455576.000    30.4865050063   114.5635298323     25.331    4.16525692    0.34447000  196.07040292 
455577.000    30.4864948555   114.5635259748     25.316    4.14289098    0.44992761  196.00401733 
455578.000    30.4864888424   114.5635236654     25.302    4.23104676    0.43046057  196.00457927 
455579.000    30.4864876586   114.5635232195     25.300    4.24365355    0.56514717  195.98430368 
455580.000    30.4864876735   114.5635232372     25.300    4.25429052    0.56833352  195.98058942 
455581.000    30.4864876586   114.5635232380     25.300    4.24968909    0.59344491  195.98142272 
455582.000    30.4864876601   114.5635232289     25.300    4.24384469    0.63276954  195.97877154 
455583.000    30.4864876632   114.5635232303     25.300    4.24316677    0.63875821  195.97836845 
455584.000    30.4864876659   114.5635232326     25.300    4.24534633    0.66208070  195.97982209 
455585.000    30.4864876675   114.5635232388     25.301    4.25241565    0.66606600  195.97850015 
455586.000    30.4864876657   114.5635232389     25.300    4.25788238    0.66588547  195.98411025 
455587.000    30.4864876715   114.5635232404     25.300    4.25975849    0.66593360  195.98883272 
455588.000    30.4864876729   114.5635232491     25.299    4.26274468    0.66534087  195.99095442 
455589.000    30.4864876694   114.5635232333     25.299    4.25370708    0.67012411  195.99592990 
455590.000    30.4864876701   114.5635232291     25.298    4.25457348    0.66651135  195.99906806 
455591.000    30.4864876705   114.5635232309     25.298    4.24704093    0.65707380  196.00689660 
455592.000    30.4864876697   114.5635232311     25.296    4.24728843    0.65757396  196.00850239 
455593.000    30.4864876718   114.5635232311     25.295    4.23997628    0.64923648  196.00445568 
455594.000    30.4864876754   114.5635232287     25.296    4.24371631    0.65840124  195.99639859 
455595.000    30.4864876770   114.5635232252     25.296    4.24503503    0.66289654  195.99346959 
455596.000    30.4864875049   114.5635231678     25.297    4.24106461    0.66949386  195.98691578 
455597.000    30.4864870861   114.5635230329     25.297    4.23397497    0.67354722  195.98277161 
455598.000    30.4864866164   114.5635228534     25.296    4.22587870    0.68271654  195.97760292 
455599.000    30.4864859981   114.5635226104     25.292    4.21297990    0.69352345  195.97258377 
455600.000    30.4864852648   114.5635223286     25.290    4.19622952    0.71186051  195.96820080 
455601.000    30.4864844061   114.5635220162     25.290    4.18490103    0.74613116  195.94270333 
455602.000    30.4864832839   114.5635216085     25.290    4.17340874    0.75708122  195.91523586 
455603.000    30.4864818254   114.5635210664     25.286    4.18893752    0.73682271  195.88760431 
455604.000    30.4864800434   114.5635204015     25.280    4.21928699    0.72850670  195.84886415 
455605.000    30.4864778889   114.5635196223     25.274    4.23584040    0.72172499  195.80039996 
455606.000    30.4864753911   114.5635187209     25.268    4.23966934    0.69399631  195.74119801 
455607.000    30.4864725099   114.5635176579     25.264    4.24316937    0.69400231  195.67323608 
455608.000    30.4864693628   114.5635165146     25.256    4.24684005    0.68189871  195.58996679 
455609.000    30.4864655721   114.5635151130     25.244    4.44728533    0.66460881  195.49836965 
455610.000    30.4864613306   114.5635137163     25.238    4.35522922    0.67699753  195.19473615 
455611.000    30.4864568550   114.5635124949     25.233    4.37380024    0.75540208  194.31810092 
455612.000    30.4864519637   114.5635113933     25.227    4.35624685    0.79842182  193.09720396 
455613.000    30.4864469248   114.5635105177     25.219    4.24826462    0.83689991  191.61973314 
455614.000    30.4864416417   114.5635096950     25.207    4.34063171    0.90844085  190.16115160 
455615.000    30.4864360356   114.5635088350     25.193    4.26545297    0.86763223  189.00125752 
