+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/2/2.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703133220_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/GNSS/2.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/2/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:48:42 "
-      时间(数据) = " 2020/07/03 05:32:41 ~ 2020/07/03 05:54:17 "
-      时间(处理) = " 2020/07/03 05:33:00 ~ 2020/07/03 05:47:41 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell  
     (sec)            (Deg)            (Deg)        (m)  
451981.000    30.4671458124   114.6595711076      8.687 
451982.000    30.4672126657   114.6595614157      8.653 
451983.000    30.4672805575   114.6595517521      8.662 
451984.000    30.4673479263   114.6595425985      8.651 
451985.000    30.4674143704   114.6595335923      8.643 
451986.000    30.4674798545   114.6595242145      8.651 
451987.000    30.4675447304   114.6595143589      8.655 
451988.000    30.4676073586   114.6595053091      8.651 
451989.000    30.4676663545   114.6594959463      8.664 
451990.000    30.4677239164   114.6594857924      8.661 
451991.000    30.4677782028   114.6594743857      8.661 
451992.000    30.4678297421   114.6594619798      8.668 
451993.000    30.4678824754   114.6594483707      8.705 
451994.000    30.4679393886   114.6594331230      8.718 
451995.000    30.4679958771   114.6594167130      8.736 
451996.000    30.4680432547   114.6594020098      8.761 
451997.000    30.4680696980   114.6593916165      8.771 
451998.000    30.4680898095   114.6593834358      8.785 
451999.000    30.4681146748   114.6593742553      8.796 
452000.000    30.4681495946   114.6593636922      8.807 
452001.000    30.4681937672   114.6593536738      8.818 
452002.000    30.4682457926   114.6593461369      8.817 
452003.000    30.4683020993   114.6593409874      8.824 
452004.000    30.4683545204   114.6593363915      8.832 
452005.000    30.4683984653   114.6593303303      8.841 
452006.000    30.4684314222   114.6593220882      8.856 
452007.000    30.4684547379   114.6593115724      8.878 
452008.000    30.4684746366   114.6592961753      8.880 
452009.000    30.4684867069   114.6592724664      8.870 
452010.000    30.4684868688   114.6592445986      8.834 
452011.000    30.4684726794   114.6592169214      8.792 
452012.000    30.4684401500   114.6591987342      8.771 
452013.000    30.4683952692   114.6591934909      8.741 
452014.000    30.4683420228   114.6591985024      8.729 
452015.000    30.4682808421   114.6592078843      8.725 
452016.000    30.4682115978   114.6592182149      8.715 
452017.000    30.4681358397   114.6592297031      8.710 
452018.000    30.4680546781   114.6592419237      8.711 
452019.000    30.4679701768   114.6592543492      8.699 
452020.000    30.4678827271   114.6592668169      8.667 
452021.000    30.4677914706   114.6592794670      8.666 
452022.000    30.4676974015   114.6592932474      8.658 
452023.000    30.4676005932   114.6593079656      8.659 
452024.000    30.4675004278   114.6593241179      8.624 
452025.000    30.4673963508   114.6593419844      8.613 
452026.000    30.4672878067   114.6593611921      8.598 
452027.000    30.4671761000   114.6593815605      8.592 
452028.000    30.4670623796   114.6594027623      8.586 
452029.000    30.4669452593   114.6594250496      8.591 
452030.000    30.4668250986   114.6594481386      8.592 
452031.000    30.4667047918   114.6594713658      8.570 
452032.000    30.4665840090   114.6594947582      8.566 
452033.000    30.4664641891   114.6595179127      8.541 
452034.000    30.4663472100   114.6595399873      8.532 
452035.000    30.4662302979   114.6595609856      8.525 
452036.000    30.4661117519   114.6595815945      8.492 
452037.000    30.4659937196   114.6596026922      8.437 
452038.000    30.4658769431   114.6596266090      8.445 
452039.000    30.4657586570   114.6596516856      8.455 
452040.000    30.4656372044   114.6596758062      8.456 
452041.000    30.4655131395   114.6597001457      8.462 
452042.000    30.4653882668   114.6597248000      8.423 
452043.000    30.4652631636   114.6597487916      8.381 
452044.000    30.4651368836   114.6597720761      8.379 
452045.000    30.4650105047   114.6597946515      8.437 
452046.000    30.4648858647   114.6598169052      8.484 
452047.000    30.4647617431   114.6598391789      8.447 
452048.000    30.4646359129   114.6598614389      8.475 
452049.000    30.4645081284   114.6598826803      8.498 
452050.000    30.4643788930   114.6599028273      8.504 
452051.000    30.4642511134   114.6599217329      8.463 
452052.000    30.4641240395   114.6599413647      8.554 
452053.000    30.4639964073   114.6599612281      8.586 
452054.000    30.4638674396   114.6599812683      8.606 
452055.000    30.4637371281   114.6600015514      8.643 
452056.000    30.4636052424   114.6600212801      8.669 
452057.000    30.4634720490   114.6600422403      8.702 
452058.000    30.4633376511   114.6600645330      8.750 
452059.000    30.4632028035   114.6600872075      8.769 
452060.000    30.4630665837   114.6601085791      8.816 
452061.000    30.4629285866   114.6601285790      8.844 
452062.000    30.4627901226   114.6601470782      8.861 
452063.000    30.4626519550   114.6601659879      8.872 
452064.000    30.4625126550   114.6601861426      8.900 
452065.000    30.4623713014   114.6602069586      8.906 
452066.000    30.4622279578   114.6602283797      8.926 
452067.000    30.4620839010   114.6602500872      8.938 
452068.000    30.4619396099   114.6602712710      8.962 
452069.000    30.4617936289   114.6602920517      8.969 
452070.000    30.4616464719   114.6603129169      8.949 
452071.000    30.4614990330   114.6603336456      8.939 
452072.000    30.4613515249   114.6603546713      8.953 
452073.000    30.4612047589   114.6603764497      8.974 
452074.000    30.4610570311   114.6603990683      8.993 
452075.000    30.4609083338   114.6604222562      9.001 
