+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/4/4.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703135800highway_2.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/GNSS/4.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/4/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 14:49:46 "
-      时间(数据) = " 2020/07/03 05:58:21 ~ 2020/07/03 06:31:43 "
-      时间(处理) = " 2020/07/03 05:58:26 ~ 2020/07/03 06:30:12 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell  
     (sec)            (Deg)            (Deg)        (m)  
453507.000    30.4540820846   114.5848467552     20.443 
453508.000    30.4541524035   114.5846924825     20.484 
453509.000    30.4542237706   114.5845346765     20.566 
453510.000    30.4542962319   114.5843737067     20.662 
453511.000    30.4543692333   114.5842101910     20.728 
453512.000    30.4544425332   114.5840445949     20.838 
453513.000    30.4545160811   114.5838767979     20.917 
453514.000    30.4545901669   114.5837070605     21.002 
453515.000    30.4546645533   114.5835358655     21.126 
453516.000    30.4547387235   114.5833632512     21.204 
453517.000    30.4548130914   114.5831891590     21.258 
453518.000    30.4548882186   114.5830137299     21.327 
453519.000    30.4549646365   114.5828372082     21.388 
453520.000    30.4550425046   114.5826593375     21.441 
453521.000    30.4551211676   114.5824805188     21.459 
453522.000    30.4552004504   114.5823010696     21.487 
453523.000    30.4552793629   114.5821200476     21.523 
453524.000    30.4553587438   114.5819372866     21.545 
453525.000    30.4554384678   114.5817534448     21.542 
453526.000    30.4555188882   114.5815684397     21.517 
453527.000    30.4555993660   114.5813804715     21.496 
453528.000    30.4556801054   114.5811890256     21.467 
453529.000    30.4557608902   114.5809939584     21.418 
453530.000    30.4558423949   114.5807956779     21.363 
453531.000    30.4559248951   114.5805947297     21.300 
453532.000    30.4560085176   114.5803909315     21.202 
453533.000    30.4560943056   114.5801844656     21.068 
453534.000    30.4561836553   114.5799759427     20.917 
453535.000    30.4562750037   114.5797645742     20.775 
453536.000    30.4563674001   114.5795499106     20.632 
453537.000    30.4564609982   114.5793321518     20.484 
453538.000    30.4565561545   114.5791122736     20.309 
453539.000    30.4566508351   114.5788940133     20.139 
453540.000    30.4567450179   114.5786796060     19.964 
453541.000    30.4568387621   114.5784672268     19.799 
453542.000    30.4569321131   114.5782531913     19.629 
453543.000    30.4570259621   114.5780369957     19.497 
453544.000    30.4571212626   114.5778183303     19.329 
453545.000    30.4572184805   114.5775964905     19.179 
453546.000    30.4573171319   114.5773711222     19.017 
453547.000    30.4574166563   114.5771418360     18.849 
453548.000    30.4575174947   114.5769088495     18.659 
453549.000    30.4576204118   114.5766727529     18.489 
453550.000    30.4577250476   114.5764336335     18.301 
453551.000    30.4578314735   114.5761915778     18.105 
453552.000    30.4579394731   114.5759466724     17.896 
453553.000    30.4580492562   114.5756995385     17.672 
453554.000    30.4581598017   114.5754537116     17.475 
453555.000    30.4582684351   114.5752117888     17.297 
453556.000    30.4583747982   114.5749735228     17.128 
453557.000    30.4584802196   114.5747379633     16.950 
453558.000    30.4585849950   114.5745032906     16.795 
453559.000    30.4586897689   114.5742698710     16.620 
453560.000    30.4587949082   114.5740384430     16.444 
453561.000    30.4588985949   114.5738085427     16.265 
453562.000    30.4589999505   114.5735798278     16.064 
453563.000    30.4591002496   114.5733502829     15.890 
453564.000    30.4592010443   114.5731194589     15.710 
453565.000    30.4593033862   114.5728873242     15.529 
453566.000    30.4594067946   114.5726533272     15.357 
453567.000    30.4595092293   114.5724174784     15.162 
453568.000    30.4596112527   114.5721821900     15.072 
453569.000    30.4597118350   114.5719476810     14.984 
453570.000    30.4598085440   114.5717135278     14.988 
453571.000    30.4599030364   114.5714781583     15.040 
453572.000    30.4599972131   114.5712413454     15.163 
453573.000    30.4600912511   114.5710029302     15.344 
453574.000    30.4601846384   114.5707632124     15.583 
453575.000    30.4602771153   114.5705227442     15.873 
453576.000    30.4603685078   114.5702820542     16.264 
453577.000    30.4604585953   114.5700407184     16.705 
453578.000    30.4605473803   114.5697985360     17.241 
453579.000    30.4606354735   114.5695562391     17.773 
453580.000    30.4607227908   114.5693137788     18.383 
453581.000    30.4608091506   114.5690711951     18.992 
453582.000    30.4608942277   114.5688287547     19.561 
453583.000    30.4609784081   114.5685862978     20.139 
453584.000    30.4610609843   114.5683431882     20.714 
453585.000    30.4611424799   114.5680994545     21.324 
453586.000    30.4612226735   114.5678554483     21.851 
453587.000    30.4613011614   114.5676114943     22.401 
453588.000    30.4613782326   114.5673667515     22.883 
453589.000    30.4614540791   114.5671207147     23.334 
453590.000    30.4615289515   114.5668731619     23.724 
453591.000    30.4616022034   114.5666235351     24.075 
453592.000    30.4616746809   114.5663718801     24.391 
453593.000    30.4617462324   114.5661181282     24.663 
453594.000    30.4618167327   114.5658619251     24.889 
453595.000    30.4618873008   114.5656039515     25.066 
453596.000    30.4619576390   114.5653456915     25.214 
453597.000    30.4620272496   114.5650898637     25.303 
453598.000    30.4620962449   114.5648370357     25.368 
453599.000    30.4621631429   114.5645861229     25.386 
453600.000    30.4622281286   114.5643371872     25.350 
453601.000    30.4622914405   114.5640904568     25.295 
