+ (1)  软件版本信息
-      软件版本 = " version:2.3.0725 "
-      版权声明 = " 武汉迈普时空导航科技有限公司@CopyRight 2011-2018 "

+ (2)  数据路径
-      工程路径 = " E:/NavData/IntegratedNavData/20200703wnlbs/5/5.ini "
-      数据(惯导) = " E:/NavData/IntegratedNavData/20200703wnlbs/Com18_0703143107_around_wnlbs.bin "
-      数据(流动) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/GNSS/5.pos "
-      数据(结果) = " E:/NavData/IntegratedNavData/20200703wnlbs/5/Loose "

+ (3)  重要处理参数
-      处理模式 = " 松组合 "
-      惯导仪器型号 = "  "
-      杆臂安装信息 = " -0.700,-0.250,-0.700 "杆臂量取至L1相位中心
-      目标杆臂信息 = " -0.700,-0.250,-0.700 "
-      基准站的坐标 = "   30 29 17.598715, 114 33 26.740074, 72.2410(m),  0.0000(m),GSL1-2020_07_03 "

+ (4)  时间信息
-      时间(导出) = " 2020/07/13 15:03:36 "
-      时间(数据) = " 2020/07/03 06:31:46 ~ 2020/07/03 07:21:06 "
-      时间(处理) = " 2020/07/03 06:32:33 ~ 2020/07/03 07:21:06 "

+ (5)  结果描述
-      平面投影信息 = 3度带投影,带号38,中央经线114,投影类型:高斯投影

+ (6)  文本输出信息
-      GPSTime      = GPS周内秒                         
-      Latitude     = 纬度                             
-      Longitude    = 经度                             
-      H-Ell        = 椭球高                            
----------------------------------END OF HEADER--------------------------------------

   GPSTime         Latitude        Longitude      H-Ell  
     (sec)            (Deg)            (Deg)        (m)  
455554.000    30.4875779243   114.5639966282     28.092 
455555.000    30.4875183811   114.5639703941     27.934 
455556.000    30.4874609490   114.5639463087     27.814 
455557.000    30.4874062384   114.5639241196     27.716 
455558.000    30.4873547969   114.5639029787     27.602 
455559.000    30.4873067446   114.5638828758     27.503 
455560.000    30.4872623630   114.5638640754     27.418 
455561.000    30.4872221776   114.5638468589     27.338 
455562.000    30.4871821703   114.5638294186     27.255 
455563.000    30.4871347239   114.5638081667     27.161 
455564.000    30.4870794917   114.5637829704     27.062 
455565.000    30.4870177832   114.5637541546     26.939 
455566.000    30.4869511547   114.5637222504     26.806 
455567.000    30.4868855508   114.5636898891     26.677 
455568.000    30.4868228202   114.5636588317     26.551 
455569.000    30.4867624979   114.5636310016     26.444 
455570.000    30.4867051172   114.5636068569     26.345 
455571.000    30.4866517674   114.5635861782     26.249 
455572.000    30.4866048717   114.5635684087     26.152 
455573.000    30.4865676887   114.5635541638     26.078 
455574.000    30.4865436190   114.5635449432     26.034 
455575.000    30.4865255363   114.5635379819     26.001 
455576.000    30.4865113211   114.5635325099     25.972 
455577.000    30.4865011825   114.5635286499     25.956 
455578.000    30.4864951700   114.5635263299     25.942 
455579.000    30.4864940004   114.5635258843     25.938 
455580.000    30.4864940160   114.5635259005     25.939 
455581.000    30.4864940034   114.5635259027     25.938 
455582.000    30.4864940086   114.5635258953     25.937 
455583.000    30.4864940123   114.5635258968     25.937 
455584.000    30.4864940172   114.5635258999     25.937 
455585.000    30.4864940195   114.5635259051     25.938 
455586.000    30.4864940176   114.5635259054     25.937 
455587.000    30.4864940232   114.5635259073     25.937 
455588.000    30.4864940246   114.5635259159     25.936 
455589.000    30.4864940211   114.5635259019     25.936 
455590.000    30.4864940213   114.5635258979     25.935 
455591.000    30.4864940203   114.5635259013     25.935 
455592.000    30.4864940195   114.5635259017     25.933 
455593.000    30.4864940208   114.5635259017     25.932 
455594.000    30.4864940257   114.5635258981     25.933 
455595.000    30.4864940278   114.5635258943     25.933 
455596.000    30.4864938566   114.5635258367     25.934 
455597.000    30.4864934381   114.5635257022     25.934 
455598.000    30.4864929693   114.5635255232     25.932 
455599.000    30.4864923519   114.5635252814     25.929 
455600.000    30.4864916201   114.5635250015     25.927 
455601.000    30.4864907653   114.5635246881     25.926 
455602.000    30.4864896450   114.5635242786     25.926 
455603.000    30.4864881861   114.5635237305     25.922 
455604.000    30.4864864057   114.5635230570     25.916 
455605.000    30.4864842530   114.5635222694     25.910 
455606.000    30.4864817550   114.5635213592     25.905 
455607.000    30.4864788765   114.5635202870     25.901 
455608.000    30.4864757317   114.5635191323     25.893 
455609.000    30.4864719484   114.5635176958     25.881 
455610.000    30.4864677174   114.5635162708     25.875 
455611.000    30.4864632829   114.5635149364     25.869 
455612.000    30.4864584390   114.5635136792     25.863 
455613.000    30.4864534506   114.5635126234     25.854 
455614.000    30.4864482205   114.5635115990     25.841 
455615.000    30.4864426412   114.5635105929     25.827 
455616.000    30.4864369434   114.5635095566     25.815 
455617.000    30.4864309716   114.5635085636     25.806 
455618.000    30.4864249027   114.5635076252     25.796 
455619.000    30.4864194703   114.5635068551     25.786 
455620.000    30.4864153352   114.5635062180     25.781 
455621.000    30.4864127264   114.5635058257     25.777 
455622.000    30.4864126336   114.5635058113     25.779 
455623.000    30.4864126333   114.5635058117     25.778 
455624.000    30.4864126395   114.5635058118     25.776 
455625.000    30.4864126485   114.5635058150     25.775 
455626.000    30.4864126496   114.5635058121     25.774 
455627.000    30.4864126476   114.5635058067     25.774 
455628.000    30.4864126489   114.5635058005     25.776 
455629.000    30.4864126511   114.5635058017     25.777 
455630.000    30.4864126527   114.5635058059     25.777 
455631.000    30.4864126552   114.5635058049     25.777 
455632.000    30.4864126484   114.5635058002     25.777 
455633.000    30.4864126453   114.5635057963     25.778 
455634.000    30.4864126473   114.5635057973     25.779 
455635.000    30.4864126417   114.5635057986     25.780 
455636.000    30.4864126382   114.5635058034     25.780 
455637.000    30.4864126318   114.5635057963     25.780 
455638.000    30.4864126268   114.5635057949     25.783 
455639.000    30.4864126177   114.5635058062     25.784 
455640.000    30.4864126185   114.5635058035     25.785 
455641.000    30.4864126230   114.5635058003     25.786 
455642.000    30.4864126223   114.5635058060     25.785 
455643.000    30.4864126175   114.5635058064     25.783 
455644.000    30.4864126173   114.5635057985     25.782 
455645.000    30.4864126140   114.5635057951     25.782 
455646.000    30.4864126083   114.5635057994     25.783 
455647.000    30.4864126015   114.5635057929     25.784 
455648.000    30.4864126103   114.5635057979     25.784 
